Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,10:02.71,Weini KELATI FREZGHI,01 DEC 1996,ERI,1f2,,"New York, NY (USA)",11 MAR 2016,1059
2,10:14.97,Libby DAVIDSON,28 MAY 1999,USA,2f2,,"New York, NY (USA)",11 MAR 2016,1022
3,10:18.30,Jessica LAWSON,25 JAN 1999,USA,3f2,,"New York, NY (USA)",11 MAR 2016,1012
4,10:19.91,Diana VIZZA,19 APR 1998,USA,4f2,,"New York, NY (USA)",11 MAR 2016,1007
5,10:20.55,Abbe GOLDSTEIN,18 JUN 1999,USA,5f2,,"New York, NY (USA)",11 MAR 2016,1005
6,10:26.11,Sara PLATEK,20 OCT 1998,USA,6f2,,"New York, NY (USA)",11 MAR 2016,989
7,10:27.96,Aislinn DEVLIN,,USA,7f2,,"New York, NY (USA)",11 MAR 2016,983
8,10:28.92,Erin FEENEY,,USA,8f2,,"New York, NY (USA)",11 MAR 2016,980
9,10:31.40,Margie CULLEN,17 MAR 1998,USA,9f2,,"New York, NY (USA)",11 MAR 2016,973
10,10:31.62,Maddy TREVISAN,,USA,1f1,,"New York, NY (USA)",11 MAR 2016,972
11,10:32.38,Elly HENES,13 OCT 1998,USA,10f2,,"New York, NY (USA)",11 MAR 2016,970
12,10:33.01,Eliza REGO,,USA,11f2,,"New York, NY (USA)",11 MAR 2016,968
13,10:34.81,Kelsey CHMIEL,01 AUG 2001,USA,12f2,,"New York, NY (USA)",11 MAR 2016,963
14,10:35.04,Bethlehem TAYE,,USA,1f3,,"New York, NY (USA)",11 MAR 2016,962
15,10:40.45,Kylee RAFTIS,1999,CAN,2f1,,"New York, NY (USA)",11 MAR 2016,947
16,10:41.40,Jacqueline GAUGHAN,1999,USA,3f1,,"New York, NY (USA)",11 MAR 2016,944
17,10:42.06,Maria COFFIN,27 JUN 1999,USA,4f1,,"New York, NY (USA)",11 MAR 2016,942
18,10:43.80,Baylee JONES,,USA,5f1,,"New York, NY (USA)",11 MAR 2016,937
19,10:44.28,Jessi LARSON,,USA,6f1,,"New York, NY (USA)",11 MAR 2016,936
