Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:13.17,Tirunesh DIBABA,01 OCT 1985,ETH,1,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1216
2,9:37.97,Sheila REID,02 AUG 1989,CAN,2,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1136
3,9:38.68,Mary CAIN,03 MAY 1996,USA,3,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1133
4,9:38.78,Nicole SIFUENTES,30 JUN 1986,CAN,4,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1133
5,9:39.48,Tara ERDMANN,14 JUN 1989,USA,5,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1131
6,9:41.59,Sarah BROWN,15 OCT 1986,USA,6,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1124
7,9:49.00,Ashley HIGGINSON,17 MAR 1989,USA,7,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1101
8,9:51.91,Brenda MARTINEZ,08 SEP 1987,USA,8,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1092
9,10:05.40,Gotytom GEBRESLASE,15 JAN 1995,ETH,9,,"Reggie Lewis Center, Boston, MA (USA)",02 FEB 2013,1051
10,10:12.23,Wesley FRAZIER,03 SEP 1995,USA,1f2,,"New York, NY (USA)",10 MAR 2013,1030
11,10:17.15,Julie MCCONVILLE,,USA,2f2,,"New York, NY (USA)",10 MAR 2013,1015
12,10:22.46,Audrey BELF,28 DEC 1996,USA,3f2,,"New York, NY (USA)",10 MAR 2013,999
13,10:23.77,Caroline ALCORTA,27 MAY 1996,USA,4f2,,"New York, NY (USA)",10 MAR 2013,995
14,10:28.93,Katie LEMBO,11 APR 1996,USA,5f2,,"New York, NY (USA)",10 MAR 2013,980
15,10:29.26,Saenger MARISSA,,USA,6f2,,"New York, NY (USA)",10 MAR 2013,979
16,10:29.60,Maggie DRAZBA,17 SEP 1995,USA,7f2,,"New York, NY (USA)",10 MAR 2013,978
17,10:32.35,Allie KLIMKIEWICZ,,USA,8f2,,"New York, NY (USA)",10 MAR 2013,970
18,10:38.12,Erin DIETZ,30 JUN 1997,USA,1,,"Boston, MA (USA)",23 FEB 2013,953
