Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:58.89,Katelyn TUOHY,18 MAR 2002,USA,1f2,,"New York, NY (USA)",11 MAR 2018,1071
2,10:02.36,Kelsey CHMIEL,01 AUG 2001,USA,2f2,,"New York, NY (USA)",11 MAR 2018,1060
3,10:09.20,Jacqueline GAUGHAN,1999,USA,1f2,,"Boston, MA (USA)",03 MAR 2018,1039
4,10:16.13,Jacqueline GAUGHAN,1999,USA,3f2,,"New York, NY (USA)",11 MAR 2018,1018
5,10:24.39,Kayla WINDEMULLER,01 AUG 2000,USA,4f2,,"New York, NY (USA)",11 MAR 2018,994
6,10:25.33,Ericka VANDERLENDE,,USA,5f2,,"New York, NY (USA)",11 MAR 2018,991
7,10:31.84,Elizabeth STOCKMAN,,USA,2f2,,"Boston, MA (USA)",03 MAR 2018,972
8,10:34.70,Reilly SIEBERT,,USA,6f2,,"New York, NY (USA)",11 MAR 2018,963
9,10:35.05,Julia ROBITAILLE,,USA,1f1,,"New York, NY (USA)",11 MAR 2018,962
10,10:35.71,Beth DONNELLEY,,USA,2f1,,"New York, NY (USA)",11 MAR 2018,960
11,10:37.98,Abbey GREEN,,USA,7f2,,"New York, NY (USA)",11 MAR 2018,954
12,10:38.79,Grace PING,07 JUL 2003,USA,8f2,,"New York, NY (USA)",11 MAR 2018,951
13,10:40.37,Taylor EWERT,21 NOV 2001,USA,3f1,,"New York, NY (USA)",11 MAR 2018,947
14,10:41.47,Julia DAVID-SMITH,24 JAN 2003,USA,1f2,,"New York, NY (USA)",09 MAR 2018,944
15,10:41.99,Sarah TRAINOR,23 MAY 2002,USA,1,,"New York, NY (USA)",19 JAN 2018,942
16,10:42.05,Dana LYNCH,,USA,2f2,,"New York, NY (USA)",09 MAR 2018,942
17,10:42.51,Elizabeth STOCKMAN,,USA,9f2,,"New York, NY (USA)",11 MAR 2018,941
18,10:44.98,Niki NARAYANI,,USA,3f2,,"New York, NY (USA)",09 MAR 2018,934
