Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:00.48,Genzebe DIBABA,08 FEB 1991,ETH,1,,"National Indoor Arena, Birmingham (GBR)",15 FEB 2014,1257
2,9:21.04,Sally KIPYEGO,19 DEC 1985,KEN,1,,"Reggie Lewis Center, Boston, MA (USA)",08 FEB 2014,1190
3,9:21.59,Hiwot AYALEW,06 MAR 1990,ETH,2,,"National Indoor Arena, Birmingham (GBR)",15 FEB 2014,1188
4,9:26.19,Jenny SIMPSON,23 AUG 1986,USA,2,,"Reggie Lewis Center, Boston, MA (USA)",08 FEB 2014,1173
5,9:36.00,Jordan HASAY,21 SEP 1991,USA,3,,"Reggie Lewis Center, Boston, MA (USA)",08 FEB 2014,1142
6,9:42.41,Stephanie TWELL,17 AUG 1989,GBR,3,,"National Indoor Arena, Birmingham (GBR)",15 FEB 2014,1122
7,9:45.97,Lidya CHEPKURUI,23 AUG 1984,KEN,4,,"National Indoor Arena, Birmingham (GBR)",15 FEB 2014,1111
8,9:46.77,Josephine MOULTRIE,19 NOV 1990,GBR,5,,"National Indoor Arena, Birmingham (GBR)",15 FEB 2014,1108
9,9:49.08,Gotytom GEBRESLASE,15 JAN 1995,ETH,4,,"Reggie Lewis Center, Boston, MA (USA)",08 FEB 2014,1101
10,9:50.65,Helen CLITHEROE,02 JAN 1974,GBR,6,,"National Indoor Arena, Birmingham (GBR)",15 FEB 2014,1096
11,9:52.16,Shannon ROWBURY,19 SEP 1984,USA,5,,"Reggie Lewis Center, Boston, MA (USA)",08 FEB 2014,1091
12,9:55.21,Gabriele GRUNEWALD,25 JUN 1986,USA,6,,"Reggie Lewis Center, Boston, MA (USA)",08 FEB 2014,1082
13,10:08.05,Tess BARRETT,09 FEB 1996,USA,1f2,,"New York, NY (USA)",16 MAR 2014,1043
14,10:10.90,Audrey BELF,28 DEC 1996,USA,2f2,,"New York, NY (USA)",16 MAR 2014,1034
15,10:12.02,Annie HEFFERNAN,05 JUL 1996,USA,3f2,,"New York, NY (USA)",16 MAR 2014,1031
16,10:12.95,Hannah DEBALSI,25 FEB 1998,USA,1,,"Boston, MA (USA)",01 MAR 2014,1028
17,10:17.36,Hannah DEBALSI,25 FEB 1998,USA,4f2,,"New York, NY (USA)",16 MAR 2014,1015
18,10:21.52,Haley DORRIS,,USA,1,,"Fresno, CA (USA)",17 FEB 2014,1002
19,10:21.85,Makena MORLEY,21 NOV 1996,USA,5f2,,"New York, NY (USA)",16 MAR 2014,1001
20,10:22.13,Kimberly COSCIA,,USA,2,,"Fresno, CA (USA)",17 FEB 2014,1000
21,10:27.48,Denise BRANCH,,USA,6f2,,"New York, NY (USA)",16 MAR 2014,984
22,10:35.11,Caroline ALCORTA,27 MAY 1996,USA,7f2,,"New York, NY (USA)",16 MAR 2014,962
23,10:36.63,Bella BURDA,16 SEP 1997,USA,1,,"New York, NY (USA)",24 FEB 2014,958
24,10:36.90,Valerie WIERENGA,,USA,1f1,,"New York, NY (USA)",16 MAR 2014,957
25,10:36.91,Abbey WHEELER,29 OCT 1998,USA,8f2,,"New York, NY (USA)",16 MAR 2014,957
26,10:37.35,Katie LEMBO,11 APR 1996,USA,9f2,,"New York, NY (USA)",16 MAR 2014,956
27,10:37.63,Kenzie WEILER,,USA,2f1,,"New York, NY (USA)",16 MAR 2014,955
28,10:38.38,Abby MCNULTY,25 FEB 1996,USA,1f2,,"Boston, MA (USA)",28 JAN 2014,953
29,10:39.40,Julia HEYMACH,20 NOV 1998,USA,1f2,,"New York, NY (USA)",14 MAR 2014,950
30,10:39.79,Evelyn CHAVEZ,08 MAR 1996,GUA,2f2,,"New York, NY (USA)",14 MAR 2014,949
31,10:40.03,Anna FLYNN,,USA,10f2,,"New York, NY (USA)",16 MAR 2014,948
32,10:40.27,Sara PLATEK,20 OCT 1998,USA,11f2,,"New York, NY (USA)",16 MAR 2014,947
33,10:42.19,Stephanie RYALL,1997,CAN,12f2,,"New York, NY (USA)",16 MAR 2014,942
34,10:44.81,Mackenzie BARRY,28 SEP 1996,USA,3f1,,"New York, NY (USA)",16 MAR 2014,934
35,10:46.57,Abby MCNULTY,25 FEB 1996,USA,1,,"Boston, MA (USA)",28 DEC 2013,929
36,10:47.12,Isabella Marie DOBSON,,USA,3,,"Fresno, CA (USA)",17 FEB 2014,927
37,10:47.78,Rachel COLEMAN,1996,USA,4f1,,"New York, NY (USA)",16 MAR 2014,926
38,10:48.01,Jess WOJNICKI,,USA,5f1,,"New York, NY (USA)",16 MAR 2014,925
39,10:48.07,Kaleigh ROBERTS,,USA,3f2,,"New York, NY (USA)",14 MAR 2014,925
40,10:48.16,Claire HOWLETT,08 OCT 1996,USA,1,,"New York, NY (USA)",21 DEC 2013,925
