Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,13:27.53,Arne GABIUS,22 MAR 1981,GER,1,,Düsseldorf (GER),29 JAN 2015,1160
2,13:27.60,Lopez LOMONG,01 JAN 1985,USA,1,,"New York, NY (USA)",14 FEB 2015,1159
3,13:27.80,Ryan HILL,31 JAN 1990,USA,2,,"New York, NY (USA)",14 FEB 2015,1159
4,13:28.00,Suguru OSAKO,23 MAY 1991,JPN,3,,"New York, NY (USA)",14 FEB 2015,1158
5,13:28.64,Donald CABRAL,12 DEC 1989,USA,4,,"New York, NY (USA)",14 FEB 2015,1155
5,13:28.64,Andrew BUMBALOUGH,14 MAR 1987,USA,5,,"New York, NY (USA)",14 FEB 2015,1155
7,13:30.79,Aweke AYALEW,23 FEB 1993,BRN,2,,Düsseldorf (GER),29 JAN 2015,1148
8,13:31.85,Aras KAYA,04 APR 1994,KEN,1f1,,Moskva (RUS),17 FEB 2015,1144
9,13:33.35,Cameron LEVINS,28 MAR 1989,CAN,6,,"New York, NY (USA)",14 FEB 2015,1138
10,13:40.94,Brian SHRADER,22 JUL 1991,USA,1,,"Bloomington, IN (USA)",12 DEC 2014,1111
11,13:41.05,Victor Kimutai CHUMO,19 MAR 1987,KEN,3,,Düsseldorf (GER),29 JAN 2015,1110
12,13:41.41,Nicholas CHEPSEBA,12 OCT 1994,KEN,2f1,,Moskva (RUS),17 FEB 2015,1109
13,13:41.90,Matt TEGENKAMP,19 JAN 1982,USA,7,,"New York, NY (USA)",14 FEB 2015,1107
14,13:42.17,Thomas FARRELL,23 MAR 1991,GBR,8,,"New York, NY (USA)",14 FEB 2015,1106
15,13:47.09,Craig LUTZ,07 NOV 1992,USA,2,,"Bloomington, IN (USA)",12 DEC 2014,1089
16,13:48.36,Eric JENKINS,24 NOV 1991,USA,1,,"Fayetteville, AR (USA)",13 MAR 2015,1084
17,13:49.55,Kemoy CAMPBELL,14 JAN 1991,JAM,2,,"Fayetteville, AR (USA)",13 MAR 2015,1080
18,13:49.74,Yevgeniy RYBAKOV,27 FEB 1985,RUS,3f1,,Moskva (RUS),17 FEB 2015,1080
19,13:50.33,Igor MAKSIMOV,26 APR 1992,RUS,4f1,,Moskva (RUS),17 FEB 2015,1077
20,13:52.79,Parker STINSON,03 MAR 1992,USA,3,,"Fayetteville, AR (USA)",13 MAR 2015,1069
21,13:53.18,Edwin KIBICHIY,02 APR 1992,KEN,3,,"Bloomington, IN (USA)",12 DEC 2014,1067
22,13:53.44,Anatoliy RYBAKOV,27 FEB 1985,RUS,5f1,,Moskva (RUS),17 FEB 2015,1066
23,13:53.64,Jason WITT,09 DEC 1989,USA,4,,"Fayetteville, AR (USA)",13 MAR 2015,1066
24,13:54.25,Marc SCOTT,21 DEC 1993,GBR,5,,"Fayetteville, AR (USA)",13 MAR 2015,1064
