Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,12:51.61,,William KINCAID,21 SEP 1992,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1295
2,12:54.99,,Joe KLECKER,16 NOV 1996,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1282
3,13:03.78,,Graham BLANKS,24 APR 2002,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1248
4,13:06.42,,Ky ROBINSON,27 FEB 2002,AUS,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1238
5,13:06.66,,Sam ATKIN,14 MAR 1993,GBR,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1237
6,13:09.37,,Athanas KIOKO,26 FEB 1995,KEN,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1227
7,13:10.96,,Jonas RAESS,08 MAR 1994,SUI,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1221
8,13:11.01,,Dylan JACOBS,15 JUN 2000,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1221
9,13:11.12,,Benjamin FLANAGAN,11 JAN 1995,CAN,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1221
10,13:11.60,,Mike FOPPEN,29 NOV 1996,NED,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1219
11,13:12.78,,Sam PARSONS,18 JUN 1994,GER,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1214
12,13:13.61,,Parker WOLFE,27 JUL 2003,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1211
13,13:14.64,,Geordie BEAMISH,24 OCT 1996,NZL,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1207
14,13:14.85,,Habtom SAMUEL,30 NOV 2003,ERI,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1207
15,13:15.38,,Amon KEMBOI,,KEN,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1205
16,13:15.82,,Morgan BEADLESCOMB,01 JUN 1998,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1203
17,13:17.65,,Robin HENDRIX,14 JAN 1995,BEL,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1196
18,13:19.44,,Willy FINK,07 MAR 1994,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1189
19,13:20.94,,Kasey KNEVELBAARD,02 SEP 1996,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1184
20,13:21.20,,Liam MURPHY,04 FEB 2002,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1183
21,13:21.28,,Alex MAIER,,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1183
22,13:22.05,,Charles HICKS,25 JUL 2001,GBR,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1180
23,13:22.52,,Wesley KIPTOO,1999,KEN,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1178
24,13:22.92,,Davor Aaron BIENENFELD,25 SEP 1997,GER,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1177
25,13:22.96,,Nico YOUNG,27 JUL 2002,USA,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1176
26,13:22.98,,James WEST,30 JAN 1996,GBR,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1176
27,13:23.30,,Eduardo HERRERA,23 SEP 1997,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1175
28,13:23.34,,Brian BARRAZA,16 MAY 1995,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1175
29,13:24.09,,Romain LEGENDRE,06 JAN 2000,FRA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1172
30,13:24.32,,Patrick KIPROP,,KEN,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1171
31,13:24.36,,Kirami Collin YEGO,26 MAR 1999,KEN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1171
32,13:25.51,,Jackson SHARP,21 AUG 2000,AUS,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1167
33,13:26.11,,Carter SOLOMON,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1165
34,13:26.34,,Denis KIPNGETICH,07 JAN 2003,KEN,14f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1164
35,13:26.69,,Isaac UPDIKE,21 MAR 1992,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1163
36,13:28.03,,Bob LIKING,16 MAY 2002,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1158
37,13:28.46,,Dillon POWELL,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1156
38,13:28.85,,Barry KEANE,19 NOV 1997,IRL,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1155
39,13:29.26,,Drew BOSLEY,08 OCT 2000,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1153
40,13:29.30,,Joey NOKES,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1153
41,13:29.33,,Mason FERLIC,05 AUG 1993,USA,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1153
42,13:29.35,,Loic SCOMPARIN,23 MAY 2001,FRA,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1153
43,13:29.48,,Theo QUAX,27 DEC 1999,NZL,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1152
44,13:29.61,,Ian SHANKLIN,1998,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1152
45,13:29.76,,Yamato YOSHII,14 FEB 2002,JPN,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1151
46,13:29.91,,Andrew ALEXANDER,10 FEB 1999,CAN,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1151
47,13:29.95,,Dylan SCHUBERT,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1151
48,13:29.96,,Ryan FORD,26 OCT 1997,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1151
49,13:30.56,,Evans KIPLAGAT,07 MAY 2005,KEN,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1148
50,13:30.74,,Travis MAHONEY,25 JUL 1990,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1148
51,13:31.25,,Matthew WILKINSON,27 DEC 1998,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1146
52,13:31.87,,Yasin SADO,,USA,7f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1144
53,13:31.92,,Matt STRANGIO,31 JUL 2001,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1144
54,13:31.98,,Antonio LÓPEZ,15 APR 2000,ESP,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1143
55,13:32.08,,Luke COMBS,,USA,8f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1143
56,13:32.81,,Thomas GEORGE,06 FEB 1996,GBR,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1140
57,13:33.09,,Jeremy COUGHLER,03 NOV 1995,CAN,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1139
58,13:33.49,,Devin HART,,USA,3,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1138
59,13:33.61,,Sanele MASONDO,24 MAR 2002,RSA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1137
60,13:33.83,,Tommy BRADY,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1137
61,13:34.24,,James CORRIGAN,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1135
62,13:34.30,,Creed THOMPSON,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1135
63,13:34.90,,Anthony CAMERIERI,29 FEB 2000,USA,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1133
64,13:35.03,,Tai DINGER,18 NOV 1995,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1132
65,13:35.71,,Ian HARRISON,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1130
66,13:35.87,,Alex PHILLIP,,USA,15f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1129
67,13:35.99,,Darragh MCELHINNEY,09 NOV 2000,IRL,16f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1129
68,13:36.09,,Frank LARA,25 SEP 1995,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1128
69,13:36.86,,Ben SHEARER,,USA,9f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1126
70,13:38.09,,Joey BERRIATUA,16 JUN 1995,USA,5,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1121
71,13:38.12,,Casey CLINGER,09 OCT 1998,USA,2,,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1121
72,13:38.46,,Evan BURKE,25 SEP 2001,CAN,6,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1120
73,13:39.61,,Abraham LONGOSIWA,,KEN,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1116
74,13:39.88,,Derek JOHNSON,11 OCT 1999,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1115
75,13:40.54,,Daniel SCHAFFER,05 FEB 1998,USA,17f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1112
76,13:40.96,,Micheal POWER,27 JAN 1999,IRL,7,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1111
77,13:41.59,,Toby GILLEN,23 MAY 2001,AUS,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1109
78,13:42.05,,Victor KIPROP,,KEN,14f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1107
79,13:42.20,,Brodey HASTY,15 NOV 1999,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1106
80,13:42.27,,Cole SPROUT,03 DEC 2001,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1106
81,13:42.53,,Patrick ANDERSON,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1105
82,13:42.54,,Eric CASAREZ,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1105
