Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,13:08.25,Shadrack KIPCHIRCHIR,22 FEB 1989,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1231
2,13:08.87,Marc SCOTT,21 DEC 1993,GBR,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1229
3,13:09.05,Edward CHESEREK,02 FEB 1994,KEN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1228
4,13:10.07,Eric JENKINS,24 NOV 1991,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1224
5,13:12.53,Emmanuel BOR,14 APR 1988,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1215
6,13:13.38,Matthew HUGHES,03 AUG 1989,CAN,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1212
7,13:15.72,Paul Kipngetich TANUI,22 DEC 1990,KEN,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",24 JAN 2020,1203
8,13:16.95,Tyler DAY,18 DEC 1996,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",24 JAN 2020,1199
9,13:17.15,Willy FINK,07 MAR 1994,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1198
10,13:21.17,Hillary BOR,22 NOV 1989,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1183
11,13:22.32,Eric JENKINS,24 NOV 1991,USA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",24 JAN 2020,1179
12,13:24.04,Edwin KURGAT,,KEN,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",07 DEC 2019,1172
13,13:24.07,Vladimir NIKITIN,05 AUG 1992,RUS,1,,"LFK CSKA, Moskva (RUS)",27 FEB 2020,1172
14,13:24.67,Andrew BAYER,03 FEB 1990,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1170
15,13:25.41,Paul Kipngetich TANUI,22 DEC 1990,KEN,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1167
16,13:25.56,Donald CABRAL,12 DEC 1989,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",07 DEC 2019,1167
17,13:27.61,Matt BAXTER,06 AUG 1994,NZL,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",24 JAN 2020,1159
