Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,13:01.26,,Galen RUPP,08 MAY 1986,USA,1,,"Boston, MA (USA) (i)",16 JAN 2014,1258
2,13:04.35,,Samuel CHELANGA,23 FEB 1985,KEN,2,,"Boston, MA (USA) (i)",16 JAN 2014,1246
3,13:19.16,,Cameron LEVINS,28 MAR 1989,CAN,3,,"Boston, MA (USA) (i)",16 JAN 2014,1190
4,13:40.94,,Brian SHRADER,22 JUL 1991,USA,1,,"Bloomington, IN (USA) (i)",12 DEC 2014,1111
5,13:42.56,,Maksim KOROLEV,17 JAN 1992,KAZ,1f1,,"Boston, MA (USA) (i)",25 JAN 2014,1105
6,13:44.21,,Anatoliy RYBAKOV,27 FEB 1985,RUS,1f1,,Moskva (RUS) (i),19 FEB 2014,1099
7,13:44.70,,Yevgeniy RYBAKOV,27 FEB 1985,RUS,2f1,,Moskva (RUS) (i),19 FEB 2014,1097
8,13:46.67,,Edward CHESEREK,02 FEB 1994,KEN,1,,"Albuquerque, NM (USA) (i)",14 MAR 2014,1090
9,13:47.09,,Craig LUTZ,07 NOV 1992,USA,2,,"Bloomington, IN (USA) (i)",12 DEC 2014,1089
10,13:51.22,,James LEAKOS,13 MAY 1992,USA,1f1,,"Boston, MA (USA) (i)",08 FEB 2014,1074
11,13:52.83,,Lawi LALANG,15 JUN 1991,KEN,2,,"Albuquerque, NM (USA) (i)",14 MAR 2014,1069
12,13:53.18,,Edwin KIBICHIY,02 APR 1992,KEN,3,,"Bloomington, IN (USA) (i)",12 DEC 2014,1067
13,13:53.81,,Yuriy CHECHUN,05 JUL 1986,RUS,3f1,,Moskva (RUS) (i),19 FEB 2014,1065
14,13:54.46,,Parker STINSON,03 MAR 1992,USA,3,,"Albuquerque, NM (USA) (i)",14 MAR 2014,1063
15,13:54.93,,Jared WARD,09 SEP 1988,USA,4,,"Albuquerque, NM (USA) (i)",14 MAR 2014,1061
16,13:55.42,,Igor MAKSIMOV,26 APR 1992,RUS,4f1,,Moskva (RUS) (i),19 FEB 2014,1059
17,13:55.84,,Joe ROSA,07 APR 1993,PUR,5,,"Albuquerque, NM (USA) (i)",14 MAR 2014,1058
18,13:56.66,,Luke CALDWELL,02 AUG 1991,GBR,6,,"Albuquerque, NM (USA) (i)",14 MAR 2014,1055
19,13:58.03,,Caleb HOOVER,22 JUL 1992,USA,4,,"Bloomington, IN (USA) (i)",12 DEC 2014,1050
20,13:58.29,,Andrey KARPIN,04 JAN 1982,RUS,5f1,,Moskva (RUS) (i),19 FEB 2014,1049
