Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,13:44.34,William KINCAID,21 SEP 1992,USA,1f1,,"Bloomington, IN (USA)",11 DEC 2015,1099
2,13:44.89,Futsum ZIENASELLASSIE,16 DEC 1992,ERI,2f1,,"Bloomington, IN (USA)",11 DEC 2015,1097
3,13:47.89,Edward CHESEREK,02 FEB 1994,KEN,1,,"Birmingham, AL (USA)",11 MAR 2016,1086
4,13:49.62,Reid BUCHANAN,03 FEB 1993,USA,3f1,,"Bloomington, IN (USA)",11 DEC 2015,1080
5,13:49.64,Andrey MINZHULIN,06 SEP 1987,RUS,1f1,,Moskva (RUS),25 FEB 2016,1080
6,13:49.82,David ELLIOTT,21 JUL 1993,USA,4f1,,"Bloomington, IN (USA)",11 DEC 2015,1079
7,13:49.86,Luis VARGAS,,USA,5f1,,"Bloomington, IN (USA)",11 DEC 2015,1079
8,13:50.48,Gilbert KIRUI,,KEN,1f1,,"Boston, MA (USA)",05 DEC 2015,1077
9,13:50.57,Rinas AKHMADEYEV,25 MAY 1989,RUS,2f1,,Moskva (RUS),25 FEB 2016,1077
10,13:50.70,Thomas CURTIN,08 AUG 1993,USA,2,,"Birmingham, AL (USA)",11 MAR 2016,1076
11,13:50.83,Anatoliy RYBAKOV,27 FEB 1985,RUS,3f1,,Moskva (RUS),25 FEB 2016,1076
12,13:51.37,Ilgizar SAFIULIN,09 DEC 1992,RUS,4f1,,Moskva (RUS),25 FEB 2016,1074
13,13:51.66,Andrey FARNOSOV,09 JUL 1980,RUS,5f1,,Moskva (RUS),25 FEB 2016,1073
14,13:52.22,Pierce MURPHY,23 AUG 1993,USA,3,,"Birmingham, AL (USA)",11 MAR 2016,1071
15,13:52.26,Futsum ZIENASELLASSIE,16 DEC 1992,USA,4,,"Birmingham, AL (USA)",11 MAR 2016,1071
16,13:52.49,Ben HUBERS,22 DEC 1988,CAN,6f1,,"Bloomington, IN (USA)",11 DEC 2015,1070
17,13:52.75,Luis VARGAS,,USA,5,,"Birmingham, AL (USA)",11 MAR 2016,1069
18,13:53.22,Morgan PEARSON,22 SEP 1993,USA,6,,"Birmingham, AL (USA)",11 MAR 2016,1067
19,13:53.29,Jordan MANN,12 JAN 1993,USA,2f1,,"Boston, MA (USA)",05 DEC 2015,1067
20,13:53.34,Kieran CLEMENTS,20 NOV 1993,GBR,3f1,,"Boston, MA (USA)",05 DEC 2015,1067
21,13:53.52,Ryan WALLING,10 DEC 1992,USA,7,,"Birmingham, AL (USA)",11 MAR 2016,1066
22,13:53.55,Igor MAKSIMOV,26 APR 1992,RUS,6f1,,Moskva (RUS),25 FEB 2016,1066
23,13:53.64,Colin BENNIE,03 JUN 1995,USA,8,,"Birmingham, AL (USA)",11 MAR 2016,1066
24,13:54.49,Nikolay CHAVKIN,24 APR 1984,RUS,7f1,,Moskva (RUS),25 FEB 2016,1063
25,13:55.04,Oleg ILYIN,01 MAR 1989,RUS,8f1,,Moskva (RUS),25 FEB 2016,1061
26,13:55.73,Arsene GUILLOREL,18 JAN 1994,FRA,1f2,,"Birmingham, AL (USA)",27 FEB 2016,1058
27,13:56.77,Ryan WALLING,10 DEC 1992,USA,1,,"Fayetteville, AR (USA)",27 FEB 2016,1055
28,13:57.60,Zachary HERRIOTT,,USA,1f1,,"Boston, MA (USA)",30 JAN 2016,1052
29,13:58.27,Jacob THOMSON,29 NOV 1994,USA,2,,"Fayetteville, AR (USA)",27 FEB 2016,1050
30,14:00.09,Andrey RUSAKOV,21 JUL 1992,RUS,9f1,,Moskva (RUS),25 FEB 2016,1043
31,14:00.27,Jake LEINGANG,06 SEP 1994,USA,9,,"Birmingham, AL (USA)",11 MAR 2016,1043
32,14:00.47,Philo GERMANO,01 MAY 1995,USA,2f1,,"Boston, MA (USA)",30 JAN 2016,1042
33,14:00.67,Daniel EVERETT,27 MAY 1993,USA,10,,"Birmingham, AL (USA)",11 MAR 2016,1041
