Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,13:44.86,,Brent HAUSER,28 MAR 1977,USA,1,,"Boston, MA (USA) (i)",25 JAN 2002,1097
2,13:46.87,,Tom MCARDLE,21 AUG 1981,USA,2,,"Boston, MA (USA) (i)",25 JAN 2002,1090
3,13:49.80,,Alistair Ian CRAGG,13 JUN 1980,RSA,1,,"Fayetteville, AR (USA) (i)",08 MAR 2002,1079
4,13:50.35,,Jorge TORRES,22 AUG 1980,USA,2,,"Fayetteville, AR (USA) (i)",08 MAR 2002,1077
5,13:50.51,,Dathan RITZENHEIN,30 DEC 1982,USA,3,,"Fayetteville, AR (USA) (i)",08 MAR 2002,1077
6,13:52.64,,Graeme REID,14 APR 1979,GBR,1,,"Boston, MA (USA) (i)",09 FEB 2002,1069
7,13:53.17,,Chris GRAFF,05 OCT 1975,USA,3,,"Boston, MA (USA) (i)",25 JAN 2002,1067
8,13:57.23,,Jason HUBBARD,20 JAN 1975,USA,1,,"Indianapolis, IN (USA) (i)",26 JAN 2002,1053
9,13:57.71,,Daniel LINCOLN,22 OCT 1980,USA,4,,"Fayetteville, AR (USA) (i)",08 MAR 2002,1051
10,13:59.25,,Brian SELL,11 APR 1979,USA,2,,"Indianapolis, IN (USA) (i)",26 JAN 2002,1046
11,13:59.35,,Chris POWER,1981,USA,3,,"Indianapolis, IN (USA) (i)",26 JAN 2002,1046
