Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
177,14:03.20,,Luke MARSANSKIS,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,1032
178,14:03.23,,Peter VISSER,13 FEB 2003,USA,5,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1032
178,14:03.23,,Evan BRENNAN,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,1032
180,14:03.35,,Grant MATTHAI,,USA,5,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,1032
181,14:03.60,,Carlos SANTOS,,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",22 FEB 2024,1031
182,14:03.93,,Sam LAWLER,,USA,13f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1030
183,14:04.10,,Craig LAUTENSLAGER,30 MAR 1993,NZL,5f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1029
184,14:04.12,,Andrew WHITINGER,,USA,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1029
185,14:04.34,,Gunner SCHLENDER,,USA,12f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1028
186,14:04.67,,Daniel SCHAFFER,05 FEB 1998,USA,20f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1027
187,14:04.84,,Matthew NEILL,10 OCT 2001,IRL,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1027
188,14:05.10,,Mark HUIZAR,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1026
189,14:05.35,,Aidan PUFFER,,USA,6,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1025
190,14:05.43,,Zack MUNSON,,USA,7,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1025
191,14:05.46,,François GUILHOT,19 AUG 2001,FRA,1f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,1025
192,14:05.66,,Peter HEROLD,05 JUN 2000,USA,16f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1024
193,14:05.79,,Jack SCHERER,,USA,8,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1023
194,14:05.92,,Aidan MATTHAI,,USA,8,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,1023
195,14:05.95,,Giovanni COPPLOE,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1023
196,14:06.38,,Patrick KOON,,USA,6f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1021
197,14:06.39,,Zachary LEACHMAN,,USA,4f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1021
198,14:06.62,,Denis CHERTYKOV,07 MAY 1994,RUS,1,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,1021
199,14:06.64,,Jacob PYEATT,,USA,7f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1021
200,14:06.85,,Michael MORGAN,29 NOV 2002,IRL,3f2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,1020
201,14:06.88,,Thomas TERMOTE,27 JUN 2002,FRA,8f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1020
201,14:06.88,,Muluken TEWALT,20 JAN 2003,USA,5f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1020
203,14:06.91,,William ZEGARSKI,,USA,17f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1020
204,14:07.03,,Luke COFFIN,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,1019
205,14:07.09,,Dawson GUNN,,USA,9f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1019
206,14:07.46,,Edwin KIPROP,05 JUN 2003,KEN,1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,1018
207,14:07.47,,Connor ACKLEY,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1018
208,14:07.52,,Callum SHERRY,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1017
209,14:07.69,,Edward BIRD,11 JAN 2005,GBR,10,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1017
210,14:07.76,,Abraham CHELANGAM,,UGA,1,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,1017
211,14:07.79,,Milo SKAPINSKY,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1017
212,14:07.96,,Luke MILLER,,USA,6f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1016
213,14:08.24,,Kevin ANTCZAK,14 JUL 2002,USA,7f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1015
214,14:08.29,,Noah HUFNAGEL,02 JUL 1998,USA,1f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,1015
215,14:08.40,,Reese VANNERSON,,USA,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1014
216,14:08.69,,Abraham LONGOSIWA,,KEN,18f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1013
216,14:08.69,,Alexander KORCZYNSKI,,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",22 FEB 2024,1013
218,14:09.09,,Ian CROWE-WRIGHT,17 MAR 1995,GBR,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1012
219,14:09.12,,Hunter KITCHEN,,USA,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1012
220,14:09.18,,Freddy COLLINS,,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,1012
221,14:09.27,,Sean CARNEY,,USA,10f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1011
222,14:09.43,,Nicholas GOLDSTEIN,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1011
223,14:09.52,,Shane COFFEY,24 APR 2001,IRL,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1011
224,14:09.53,,Braden NICHOLSON,,USA,9,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,1011
225,14:09.56,,Sean KAY,27 AUG 2002,IRL,4,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,1010
226,14:09.63,,John LUCEY,,USA,12f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1010
227,14:09.66,,Aleksey POPOV,17 JUN 1987,RUS,2,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,1010
228,14:09.71,,Sam WILHELM,,USA,10,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1010
229,14:09.92,,Edward SULLIVAN,,USA,8f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1009
230,14:09.96,,Jacob HUNTER,,USA,9f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1009
231,14:10.17,,Christopher LEPORE,,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,1008
232,14:10.18,,Paul KNIGHT,,USA,11,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1008
233,14:10.55,,Cole DINSDALE,16 JAN 1998,CAN,15f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1007
234,14:10.61,,Enrique SALAZAR,,USA,11,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,1007
235,14:10.65,,Sawyer DAGAN,,USA,10f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1007
236,14:10.86,,Mark BOYLE,,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1006
237,14:11.08,,Nate KAWALEC,,USA,17f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1005
238,14:11.10,,Marius VEDVIK,18 MAR 1992,NOR,1,,"Leikvang Friidrettshall, Bergen (NOR) (i)",09 FEB 2024,1005
239,14:11.13,,Ivan APPLETON,,USA,7f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1005
240,14:11.17,,Wouter VAN DEN AKKER,2003,NED,16f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1005
241,14:11.47,,Nathaniel TAMMINGA,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1004
242,14:11.55,,Keller NORLAND,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1004
243,14:11.59,,Patrick MULLEN,,USA,8f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1004
244,14:11.60,,Silas DERFEL,,USA,14f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1004
245,14:11.85,,Brian KIPTOO,15 APR 2000,KEN,2,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,1003
246,14:11.89,,William AITKEN,,GBR,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1003
247,14:12.00,,Assaf HARARI,03 JUL 2001,ISR,11f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1002
248,14:12.09,,Aiden BRITT,,USA,13,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1002
249,14:12.13,,Noah FISHER,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1002
250,14:12.42,,Gitch HAYES,,USA,9f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1001
251,14:12.44,,Arthur COSSON,20 AUG 2000,FRA,15f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1001
252,14:12.72,,John O'MALLEY,,USA,17f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1000
253,14:12.75,,Lukas EHRLE,07 NOV 2004,GER,10f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1000
254,14:12.82,,Toby GUALTER,27 NOV 2000,NZL,11f2,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,999
255,14:12.86,,Jared KREIS,20 DEC 2001,USA,12f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,999
256,14:12.87,,Tomer MUALEM,06 OCT 2003,ISR,11f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,999
257,14:12.92,,Nathan WALKER,,USA,5,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,999
258,14:13.31,,Matthew RICHTMAN,,USA,9,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,998
259,14:13.41,,Lowell HENSGEN,,USA,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,997
260,14:13.54,,Mason LOVE,,USA,2f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,997
261,14:13.75,,Aden SMITH,,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,996
262,14:13.79,,Will MINNETTE,,USA,16f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,996
263,14:13.87,,Jonathan CHUNG,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,996
264,14:13.92,,Eli BENNETT,,USA,3,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,996
265,14:13.97,,James LAWRENCE,,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,995
266,14:13.99,,Luke VENHUIZEN,,USA,6,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,995
266,14:13.99,,Will CAHILL,,USA,18f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,995
268,14:14.01,,Erik LE ROUX,,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,995
268,14:14.01,,Tyler SCHERMERHORN,,USA,12,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,995
270,14:14.25,,Kevin AGNEW,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,994
271,14:14.37,,Ben FLEISCHER,01 SEP 2000,USA,3f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,994
272,14:14.52,,Colin CERNIK,,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,994
273,14:14.57,,Paul BERGERON,,USA,2f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,993
274,14:14.90,,Max WEHRLI,,USA,4,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,992
275,14:15.01,,Andrew LANE,,USA,8,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,992
276,14:15.12,,Lachlan WELLINGTON,25 JUN 2001,GBR,1,,"Armory Track&Field Center, New York, NY (USA) (i)",24 FEB 2024,992
277,14:15.25,,Noah JENKINS,,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,991
278,14:15.31,,Joe FARLEY,,USA,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,991
279,14:15.51,,Daniel APPLEFORD,,USA,17f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,990
280,14:15.92,,Adam HESSLER,,USA,1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 FEB 2024,989
281,14:15.95,,Kenan PALA,05 MAR 2004,USA,6,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,989
282,14:16.00,,Joshua DESOUZA,27 JUN 2000,CAN,2,,"Armory Track&Field Center, New York, NY (USA) (i)",24 FEB 2024,989
283,14:16.02,,Andrew HAMMEL,,USA,12f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,988
284,14:16.03,,Justin MUMFORD,,USA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,988
285,14:16.08,,Isaac ALONZO,,USA,9,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,988
286,14:16.13,,Carter CHEESEMAN,27 DEC 2000,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,988
287,14:16.33,,Aleksey GUSHCHIN,26 JAN 1989,RUS,3,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,987
288,14:16.60,,Will RYAN,06 JAN 2004,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,987
288,14:16.60,,Ryan WATSON,,USA,18f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,987
290,14:16.83,,Carson NOECKER,,USA,2,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,986
291,14:16.86,,Jack GREGORSKI,,USA,1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,986
292,14:16.91,,Kevin MCDERMOTT,,USA,12,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,985
293,14:16.95,,Jack KELKE,,USA,3,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,985
294,14:17.04,,Jackson WATTS,,USA,14,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,985
295,14:17.42,,Braedon PALMER,,USA,2,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,984
296,14:17.61,,Eric HAMER,23 MAR 1997,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,983
297,14:17.85,,Ethan GEIGER,,USA,15,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,982
298,14:17.96,,Matthew MASON,2002,CAN,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,982
299,14:18.00,,Eddie ZEURCHER,,USA,16,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,982
300,14:18.14,,Harry COLBERT,05 MAR 2005,IRL,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,981
301,14:18.35,,Tomislav NOVOSEL,21 SEP 1999,CRO,1,,"Velesajam Hall, Zagreb (CRO) (i)",17 FEB 2024,981
302,14:18.36,,Aaron HIMES,,USA,18f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,981
303,14:18.39,,Alexander KIRKLAND,,USA,5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,980
304,14:18.52,,Anish NANJAPPA,24 APR 2002,USA,7,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,980
305,14:18.61,,Peter WALSDORF,,USA,19f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,980
306,14:18.68,,Hudson HURST,,USA,20f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,980
307,14:18.78,,Matthew HANSEN,01 SEP 2004,AUS,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,979
308,14:18.87,,Mathis CHAVAND,17 MAY 2002,FRA,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,979
309,14:19.00,,Kyler MCNATT,,USA,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,978
310,14:19.03,,Declan TUNNEY,,USA,17,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,978
311,14:19.17,,Jayden NATS,,USA,5,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,978
312,14:19.21,,Owen SMITH,,USA,10,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,978
313,14:19.38,,Mitchell HOPF,,USA,13f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,977
314,14:19.40,,Devin WADE,,USA,15f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,977
315,14:19.61,,Gus GANNON,09 JUL 2003,AUS,4,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,976
316,14:19.94,,Lars MITCHEL,,USA,5,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,975
317,14:19.95,,Ben JASTER,,USA,3f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,975
318,14:20.01,,Carson BEDICS,,USA,18,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,975
319,14:20.04,,Robert HANNON,,USA,6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,975
320,14:20.05,,John HIGINBOTHAM,,USA,14f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,975
321,14:20.38,,Ethan WECHSLER,,USA,16f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,974
322,14:20.88,,Loeden RODRIGUES,,USA,4f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,972
323,14:20.90,,Tyler CLARK,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,972
324,14:20.98,,Charles NAMIOT,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,972
325,14:21.03,,Michael FAMA,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,972
326,14:21.34,,Dereck ELKINS,,USA,19,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,971
327,14:21.78,,Matthew PORTER,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,969
328,14:21.82,,Dominic NOLAN,29 NOV 1994,GBR,20f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,969
329,14:22.01,,Noel LOPEZ,,USA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,968
329,14:22.01,,Brady YODER,,USA,6,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,968
331,14:22.24,,Emmet ANDERSON,,USA,1,,"Minnesota Fieldhouse, Minneapolis, MN (USA) (i)",16 FEB 2024,968
332,14:22.33,,Owen WHITE,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,967
333,14:22.39,,Aaron WILLINGHAM,24 MAY 1997,USA,15f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,967
334,14:22.53,,Liam BACK,01 JAN 2002,NZL,5f2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,967
335,14:22.64,,Evan PARDO,,USA,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,966
336,14:23.08,,Mason BROWN,,USA,6,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,965
337,14:23.14,,James KNOCKTON,13 MAR 2005,GBR,5,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,965
338,14:23.18,,Wesley BOND,25 AUG 2002,USA,5f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,964
339,14:23.34,,Will KELLY,,USA,14,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,964
340,14:23.43,,John MALACH,,USA,18f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,964
341,14:23.55,,William BENOIT,,USA,8f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,963
342,14:23.59,,Victor SHITSAMA,28 SEP 1998,KEN,10,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,963
343,14:23.68,,Jonas GERTSEN,15 DEC 1998,DEN,1,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,963
344,14:23.78,,Daniel ABDALA,,USA,2,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,962
345,14:23.85,,Jett KNIGHT,,USA,9,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,962
346,14:24.05,,Ryan HODGE,,USA,16f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,961
347,14:24.07,,Matthew FOWLER,,USA,19f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,961
348,14:24.17,,Alex BROWN,,USA,7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,961
349,14:24.18,,Dawson MAYBERRY,,USA,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,961
350,14:24.34,,Andrew MAH,01 FEB 2000,USA,20f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,961
351,14:24.35,,Caleb SILVER,,USA,17f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,960
352,14:24.36,,Nick GILLES,,USA,7,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,960
353,14:24.69,,Sam OTIS,06 SEP 2002,USA,18f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,959
354,14:24.88,,Jona BODIRSKY,2001,GER,3,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,959
355,14:25.10,,Dalton MORTENSEN,,USA,9f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,958
356,14:25.33,,Jayde ROSSLEE,05 JAN 2004,RSA,7,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,957
357,14:25.36,,Jamie BURNS,,GBR,3,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,957
358,14:25.73,,Muhammed AHMED,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,956
359,14:25.79,,Josh SMITH,,USA,8,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,956
360,14:25.80,,Ryan PAJAK,,USA,4f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,956
361,14:25.84,,Daniel RACLE,12 DEC 1999,GBR,4,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,956
362,14:25.87,,Shay MCEVOY,01 JUN 2001,IRL,6,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,955
363,14:25.99,,Youssef ASSLOUJ,14 JUL 2001,MAR,1,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,955
363,14:25.99,,Malav MEHTA,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,955
365,14:26.04,,Max BONENBERGER,,USA,20f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,955
366,14:26.28,,Matthew HILL,,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,954
367,14:26.38,,Mason NORMAN,,USA,7,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,954
368,14:26.43,,Cody LARSON,,USA,4,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,954
369,14:26.62,,Alex HISLOP,,USA,2,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,953
370,14:26.69,,Sam CRAIG,,USA,10,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,953
371,14:26.77,,Potr SHVETSOV,14 JUL 1999,RUS,4,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,952
372,14:26.78,,Samuel WHITTAKER,,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,952
373,14:27.08,,Andrew KAYE,,USA,21f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,951
374,14:27.11,,Eric PETERSEN,,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,951
