Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:15.23,,Belal Mansoor ALI,17 OCT 1988,BRN,1,,Stockholm (SWE),07 AUG 2007,1174
2,2:15.86,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2,,Stockholm (SWE),07 AUG 2007,1160
3,2:16.25,,Bernard LAGAT,12 DEC 1974,USA,3,,Stockholm (SWE),07 AUG 2007,1151
4,2:16.27,,Yassine BENSGHIR,03 JAN 1983,MAR,4,,Stockholm (SWE),07 AUG 2007,1150
5,2:16.99,,Andrew BADDELEY,20 JUN 1982,GBR,5,,Stockholm (SWE),07 AUG 2007,1134
6,2:17.73,,Mehdi BAALA,17 AUG 1978,FRA,1,,"Stade Raymond Petit, Tomblaine (FRA)",18 SEP 2007,1117
7,2:18.12,,Edwin LETTING,15 MAY 1984,KEN,6,,Stockholm (SWE),07 AUG 2007,1109
8,2:18.68,,Gary REED,25 OCT 1981,CAN,7,,Stockholm (SWE),07 AUG 2007,1096
9,2:18.75,,Arnoud OKKEN,20 APR 1982,NED,2,,Karlsruhe (GER) (i),11 FEB 2007,1167
10,2:18.79,,Abdelslam KENNOUCHE,07 OCT 1980,ALG,1,,Montgeron (FRA),12 MAY 2007,1094
11,2:18.92,,Rizak DIRSHE,05 JAN 1972,SWE,8,,Stockholm (SWE),07 AUG 2007,1091
12,2:19.14,,Abdelaati IGUIDER,25 MAR 1987,MAR,9,,Stockholm (SWE),07 AUG 2007,1086
13,2:19.33,,Edward Kibet MUTAI,28 AUG 1984,KEN,1,,Longeville (FRA),15 JUL 2007,1082
14,2:19.47,,Tarek BOUKENSA,19 NOV 1981,ALG,3,,Karlsruhe (GER) (i),11 FEB 2007,1151
15,2:19.54,,Anter ZERGUELAINE,04 JAN 1985,ALG,4,,Karlsruhe (GER) (i),11 FEB 2007,1149
16,2:19.57,,Guillaume ÉRAUD,01 JUL 1981,FRA,2,,Longeville (FRA),15 JUL 2007,1076
17,2:19.73,,Abdelghani HAMOUMRAOUI,1983,ALG,3,,Longeville (FRA),15 JUL 2007,1073
18,2:19.88,,Álvaro FERNÁNDEZ CEREZO,07 APR 1981,ESP,10,,Stockholm (SWE),07 AUG 2007,1070
19,2:20.19,,Walid MELIANI,18 MAR 1984,ALG,4,,Longeville (FRA),15 JUL 2007,1063
20,2:20.21,,Abdelkader MAHMOUDI,16 JAN 1983,FRA,5,,Longeville (FRA),15 JUL 2007,1062
21,2:20.31,,Dmitrijs JURKEVIČS,07 JAN 1987,LAT,1,,Kohila (EST),29 MAY 2007,1060
22,2:20.73,,Wolfram MÜLLER,08 JUL 1981,GER,1,,Sondershausen (GER),05 SEP 2007,1051
23,2:20.75,,Abraham CHEPKIRWOK,18 NOV 1988,UGA,5,,Karlsruhe (GER) (i),11 FEB 2007,1121
24,2:20.79,,Dávid TAKÁCS,15 FEB 1986,HUN,6,,Karlsruhe (GER) (i),11 FEB 2007,1121
25,2:20.84,,Miguel QUESADA,18 SEP 1979,ESP,7,,Karlsruhe (GER) (i),11 FEB 2007,1119
26,2:20.93,,Florent LACASSE,21 JAN 1981,FRA,8,,Karlsruhe (GER) (i),11 FEB 2007,1117
27,2:21.11,,Rob MYERS,05 AUG 1980,USA,1,,Naimette-Xhovémont (BEL),25 JUL 2007,1043
28,2:21.12,,James NOLAN,27 JAN 1977,IRL,9,,Karlsruhe (GER) (i),11 FEB 2007,1113
29,2:21.14,,Bartosz NOWICKI,26 FEB 1984,POL,1,,Königs Wusterhausen (GER),09 SEP 2007,1042
30,2:21.18,,Nikolai VEDEHIN,09 OCT 1985,EST,2,,Kohila (EST),29 MAY 2007,1041
31,2:21.45,,Azzine BOUDJEMA,17 SEP 1982,ALG,6,,Longeville (FRA),15 JUL 2007,1036
32,2:21.77,,Hugo DE HAAN,06 NOV 1984,NED,1,,Lisse (NED),05 MAY 2007,1029
33,2:21.82,,Anthony CHIULLI,04 APR 1985,USA,1,,"Ames, IA (USA) (i)",24 FEB 2007,0
34,2:21.96,,James MCILROY,30 DEC 1976,GBR,1,,Grangemouth (GBR),31 JUL 2007,1025
35,2:22.0h,,Carl MACKENZIE,11 APR 1987,NZL,1,,Wellington (NZL),23 MAR 2007,1024
