Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:14.88,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1182
2,2:16.08,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1155
3,2:16.17,Nicholas Kiplangat KIPKOECH,22 OCT 1992,KEN,2,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1153
4,2:16.27,Jake WIGHTMAN,11 JUL 1994,GBR,2,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1150
4,2:16.27,Jonathan KITILIT,24 APR 1994,KEN,3,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1150
6,2:16.58,Adam KSZCZOT,02 SEP 1989,POL,3,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1143
7,2:16.59,Yassine HETHAT,30 AUG 1991,ALG,4,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1143
8,2:16.79,Jackson Mumbwa KIVUVA,11 AUG 1989,KEN,5,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1139
9,2:16.85,Antoine GAKEME,24 DEC 1991,BDI,4,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1137
10,2:16.89,Cornelius TUWEI,14 MAY 1993,KEN,6,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1136
11,2:16.98,Kipyegon BETT,01 FEB 1998,KEN,5,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1134
12,2:17.13,Fouad EL KAAM,27 MAY 1988,MAR,1,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2018,1131
13,2:17.18,Andrew OSAGIE,19 FEB 1988,GBR,6,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1130
14,2:17.19,Tamás KAZI,16 MAY 1985,HUN,7,,"Sóstói Stadion, Székesfehérvár (HUN)",02 JUL 2018,1129
15,2:17.24,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2018,1128
16,2:17.40,Alfred KIPKETER,28 DEC 1996,KEN,7,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1125
17,2:17.42,Solomon LEKUTA,03 OCT 1999,KEN,1,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1124
18,2:18.07,George Meitamei MANANGOI,29 NOV 2000,KEN,2,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1110
19,2:18.09,Michał ROZMYS,13 MAR 1995,POL,3,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2018,1109
20,2:18.23,Baptiste MISCHLER,23 NOV 1997,FRA,3,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1106
21,2:18.30,Andreas KRAMER,13 APR 1997,SWE,8,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1105
