Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:16.96,,Andreas KRAMER,13 APR 1997,SWE,1,,"Slottsskogsvallen, Göteborg (SWE)",18 JUN 2023,1135
2,2:17.08,,Ole Jakob SOLBU,19 AUG 2003,NOR,2,,"Slottsskogsvallen, Göteborg (SWE)",18 JUN 2023,1132
3,2:19.03,,Ignacio FONTES,22 JUN 1998,ESP,1,,"Pista Atletismo Vitória, Albufeira (POR)",14 MAY 2023,1088
4,2:19.25,,Andrew COSCORAN,18 JUN 1996,IRL,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1156
5,2:19.31,,Luke MCCANN,12 MAR 1998,IRL,1,,"Armory Track&Field Center, New York, NY (USA) (i)",28 JAN 2023,1154
6,2:19.32,,Hinata MAEDA,08 SEP 2003,JPN,1,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",21 OCT 2023,1082
7,2:19.39,,Festus LAGAT,10 OCT 1996,KEN,2,,"Armory Track&Field Center, New York, NY (USA) (i)",28 JAN 2023,1152
8,2:19.67,,Filip SASÍNEK,08 JAN 1996,CZE,1f1,,"Městský stadion Střelnice, Domažlice (CZE)",13 AUG 2023,1074
9,2:19.91,,Benjamin ALLEN,17 APR 1998,USA,3,,"Armory Track&Field Center, New York, NY (USA) (i)",28 JAN 2023,1141
10,2:19.97,,Kaishi KITAMURA,16 SEP 2003,JPN,2,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",21 OCT 2023,1068
11,2:20.02,,Joao BUSSOTTI NEVES,10 MAY 1993,ITA,1,,"Palaindoor, Padova (ITA) (i)",11 FEB 2023,1138
12,2:20.06,,Eric HOLT,12 MAY 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 FEB 2023,1137
13,2:20.07,,Edmund DU PLESSIS,05 APR 2002,RSA,1,,"Pilditch Stadium, Pretoria (RSA)",18 FEB 2023,1066
14,2:20.29,,Juan Diego CASTRO,17 MAY 2000,CRC,1,,"Sports Performance Center, Lubbock, TX (USA) (i)",25 FEB 2023,1132
15,2:20.43,,Hiroto TAKAMURA,09 DEC 2002,JPN,3,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",21 OCT 2023,1058
16,2:20.46,,James SEELIGER,15 DEC 1999,RSA,2,,"Pilditch Stadium, Pretoria (RSA)",18 FEB 2023,1057
17,2:20.52,,Blaik SLAVINSKI,,USA,1f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",08 DEC 2023,1127
18,2:20.70,,Clayton MURPHY,26 FEB 1995,USA,1,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",21 JAN 2023,1123
19,2:20.81,,Nehemiah TOO,13 APR 1995,KEN,2,,"Sports Performance Center, Lubbock, TX (USA) (i)",25 FEB 2023,1120
20,2:20.89,,Takieddine HEDEILLI,06 JUN 1996,ALG,2,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",21 JAN 2023,1118
21,2:20.90,,Robert HEPPENSTALL,28 FEB 1997,CAN,3,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",21 JAN 2023,1118
