Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
44,2:21.16,,Hamish CARSON,01 NOV 1988,NZL,3,,"Forest Stadium, Sopot (POL)",30 AUG 2021,1042
45,2:21.25,,Jacob DUMFORD,,USA,2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",30 JAN 2021,1110
46,2:21.32,,Nikolay VERBITSKIY,16 DEC 1995,ANA,3,,"Salyut Stadion, Dolgoprudny (RUS)",24 JUL 2021,1038
47,2:21.34,,Pieter CLAUS,01 MAR 1993,BEL,1,,"Gerard Bontinckstadion, Sint-Niklaas (BEL)",17 AUG 2021,1038
48,2:21.37,,Tim AßMANN,03 NOV 2000,GER,6f1,,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1037
49,2:21.43,,Nathan GILLIS,25 FEB 1997,GBR,2,,"Cardiff Athletic Stadium, Cardiff (GBR)",21 APR 2021,1036
50,2:21.52,,Louis VANDERMESSEN,02 APR 2001,BEL,2,,"Stade communautaire d'athlétisme, Bruay-la-Buissiere (FRA)",08 MAY 2021,1034
51,2:21.58,,Simon DENISSEL,22 MAY 1990,FRA,3,,"Stade communautaire d'athlétisme, Bruay-la-Buissiere (FRA)",08 MAY 2021,1033
52,2:21.63,,Willy FINK,07 MAR 1994,USA,3f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1102
53,2:21.65,,Nehemiah TOO,13 APR 1995,KEN,3f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1101
54,2:21.75,,Alexander LOMONG,30 SEP 1997,SSD,4f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1099
55,2:21.85,,Darius KIPYEGO,05 SEP 2002,USA,5f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1097
56,2:21.89,,Alexander STITT,10 JUL 2001,AUS,6f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1096
57,2:21.98,,Sergey DUBROVSKIY,20 JAN 1995,RUS,4,,"Salyut Stadion, Dolgoprudny (RUS)",24 JUL 2021,1024
58,2:21.99,,Maël GOUYETTE,21 MAY 1999,FRA,4f1,,"Stade R. Quintard, Cerizay (FRA)",13 JUL 2021,1024
59,2:22.00,,Oussama CHERRAD,06 MAR 2000,ALG,2,,"Stade Bateau Casse, Algiers (ALG)",27 MAR 2021,1024
59,2:22.00,,Clement DHAINAUT,22 JAN 1997,FRA,1,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1024
61,2:22.31,,Florian VAUTHRIN,18 DEC 1990,FRA,1f1,,"Stadion Kieselhumes, Saarbrücken (GER)",22 JUL 2021,1017
62,2:22.32,,Paul ANSELMINI,02 AUG 2003,FRA,2,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1017
63,2:22.41,,Alex AMANKWA,02 MAR 1992,GHA,3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",30 JAN 2021,1084
64,2:22.42,,Hiroki MATSUEDA,20 MAY 1993,JPN,3,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",30 OCT 2021,1015
65,2:22.44,,Jack LUNN,16 OCT 2001,AUS,3f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1014
66,2:22.53,,Adam PYKE,27 NOV 1995,AUS,4f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1012
67,2:22.56,,Arthur GERVAIS,28 FEB 2000,FRA,4,,"Stade communautaire d'athlétisme, Bruay-la-Buissiere (FRA)",08 MAY 2021,1012
68,2:22.66,,Kenneth HAGEN,05 FEB 1996,USA,4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",30 JAN 2021,1079
69,2:22.80,,Maxime WRZESINSKI,02 DEC 2001,FRA,5,,"Stade communautaire d'athlétisme, Bruay-la-Buissiere (FRA)",08 MAY 2021,1007
70,2:22.81,,Bashir MOSAVEL-LO,01 APR 1999,USA,4f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1075
71,2:22.87,,Jakub DAVIDÍK,20 JAN 2002,CZE,1,,Cheb (CZE),13 SEP 2021,1005
72,2:22.92,,Victor PALUMBO,1993,USA,5,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1073
73,2:22.93,,Mohamed Amine DRABLI,21 APR 2000,ALG,3,,"Stade Bateau Casse, Algiers (ALG)",27 MAR 2021,1004
74,2:23.06,,Ian RITCHIE,,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 MAR 2021,1070
75,2:23.10,,David CARTIEL,06 MAY 2004,ESP,1,,Torrevieja (ESP),11 JUL 2021,1000
76,2:23.11,,Didrik WARLO,12 JAN 1999,NOR,1,,"Bærum Idrettspark, Rud, Bærum (NOR) (i)",13 FEB 2021,1069
76,2:23.11,,Matthew RIZZO,,USA,1f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",04 DEC 2021,1069
78,2:23.15,,Garrett O'TOOLE,22 MAR 1996,USA,1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 JAN 2021,1068
79,2:23.19,,Benjamin FLEMING,12 APR 1999,USA,5f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1067
80,2:23.24,,Danil STRELNIKOV,03 MAY 1992,RUS,2,,"IFKiS OGPU Arena, Orenburg (RUS) (i)",30 JAN 2021,1066
80,2:23.24,,Yasunari KUSU,21 AUG 1993,JPN,4,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",30 OCT 2021,997
82,2:23.27,,Anton KULYATIN,31 AUG 1991,RUS,2,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,1065
83,2:23.40,,Nikolay GORIN,03 JAN 1995,RUS,3,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,1062
84,2:23.49,,Amon KEMBOI,,KEN,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 JAN 2021,1060
85,2:23.58,,Robby ANDREWS,29 MAR 1991,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 MAR 2021,1058
86,2:23.59,,Ethan MILLS,07 JUN 2001,USA,1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",19 FEB 2021,1058
87,2:23.61,,Antonio LÓPEZ,15 APR 2000,ESP,6f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1058
88,2:23.70,,Takieddine HEDEILLI,06 JUN 1996,ALG,1,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2021,1056
88,2:23.70,,Marius DE BRUYN,15 MAY 1996,BEL,6,,"Stade communautaire d'athlétisme, Bruay-la-Buissiere (FRA)",08 MAY 2021,988
90,2:23.76,,Hakim SALEH,21 MAY 1996,CZE,6,,"Stromovka, Praha (CZE) (i)",23 JAN 2021,1054
91,2:23.86,,Nico BOKETTA,29 JUL 2002,CZE,1,,Domažlice (CZE),17 SEP 2021,984
92,2:23.88,,Konstantin TOLOKONNIKOV,26 FEB 1996,RUS,5,,"Salyut Stadion, Dolgoprudny (RUS)",24 JUL 2021,984
93,2:23.91,,Alex KAY,2000,USA,7f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1051
94,2:23.92,,Igor RASHCHUPKIN,03 SEP 1997,RUS,1f3,,"Znamenskikh Arena, Moskva (RUS) (i)",11 JAN 2021,1051
95,2:23.96,,Owen LIKINS,,USA,2,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2021,1050
96,2:23.98,,Kieran TAYLOR,,USA,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 JAN 2021,1050
97,2:23.99,,Rabi Mohamoud MUBARAK,22 MAR 2000,QAT,7,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021,981
98,2:24.02,,Robert HEPPENSTALL,28 FEB 1997,CAN,1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",20 FEB 2021,1049
99,2:24.05,,Cyril MEERSSEMAN,13 FEB 2001,FRA,3,,"Stade Charléty, Paris (FRA)",28 AUG 2021,980
99,2:24.05,,Antonio ABREGO,,USA,1,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",11 DEC 2021,1048
101,2:24.12,,Benoit CAMPION,12 FEB 1998,FRA,1,,"Stade Louis II, Monaco (MON)",09 JUL 2021,979
102,2:24.13,,Mateusz KUCHMAN,14 AUG 2001,POL,1f1,,"Arena, Toruń (POL) (i)",18 JAN 2021,1046
103,2:24.14,,Benjamin NIBBELINK,20 APR 2000,USA,2,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",19 FEB 2021,1046
104,2:24.27,,David WHITFIELD,07 JUL 1999,USA,3,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",19 FEB 2021,1043
105,2:24.28,,Tyler LEESER,30 MAR 1999,USA,4,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",19 FEB 2021,1043
106,2:24.36,,Crayton CARROZZA,26 AUG 1999,USA,3,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2021,1041
107,2:24.40,,Sean DOLAN,19 MAR 2001,USA,1,,"Army-Gillis FH, West Point, NY (USA) (i)",06 FEB 2021,1040
