Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,19.56,-0.8,Usain BOLT,21 AUG 1986,JAM,1,,Kingston (JAM),01 MAY 2010,1294
2,19.72,+1.8,Walter DIX,31 JAN 1986,USA,1,,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1264
2,19.72,+0.1,Tyson GAY,09 AUG 1982,USA,1,,"Stade Louis II, Monaco (MON)",22 JUL 2010,1264
4,19.78,+0.1,Yohan BLAKE,26 DEC 1989,JAM,2,,"Stade Louis II, Monaco (MON)",22 JUL 2010,1255
5,19.79,+0.4,Wallace SPEARMON,24 DEC 1984,USA,1,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1253
6,19.97,0.0,Asafa POWELL,23 NOV 1982,JAM,1,,Kingston (JAM),27 JUN 2010,1225
7,19.99,+2.0,Curtis MITCHELL,11 MAR 1989,USA,1h1,,"Miramar, FL (USA)",10 JUL 2010,1222
8,20.08,+0.4,Churandy MARTINA,03 JUL 1984,AHO,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1207
9,20.10,+0.4,Ryan BAILEY,13 APR 1989,USA,3,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1204
10,20.11,+0.4,Steve MULLINGS,29 NOV 1982,JAM,4,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1203
11,20.14,+0.1,Xavier CARTER,08 DEC 1985,USA,4,,"Stade Louis II, Monaco (MON)",22 JUL 2010,1198
12,20.16,+1.2,Christophe LEMAITRE,11 JUN 1990,FRA,1,,Valence (FRA),10 JUL 2010,1195
13,20.23,+1.5,Simon MAGAKWE,14 MAY 1986,RSA,1,,Potchefstroom (RSA),17 APR 2010,1184
13,20.23,+0.6,Angelo TAYLOR,29 DEC 1978,USA,2,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1184
15,20.24,+1.1,Maurice MITCHELL,22 DEC 1989,USA,1f1,,"Greensboro, NC (USA)",29 MAY 2010,1182
16,20.29,+0.6,Rondel SORRILLO,24 JAN 1986,TTO,1f2,,"Greensboro, NC (USA)",29 MAY 2010,1175
16,20.29,+0.4,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,5,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1175
18,20.30,+0.5,Andrew HOWE,12 MAY 1985,ITA,1,,Milano (ITA),09 SEP 2010,1173
19,20.31,+1.2,Brandon BYRAM,11 SEP 1988,USA,1h2,,"Miramar, FL (USA)",10 JUL 2010,1172
20,20.36,+1.3,Amr Ibrahim Mostafa SEOUD,10 JUN 1986,EGY,1,,"Nyayo National Stadium, Nairobi (KEN)",01 AUG 2010,1164
21,20.37,+1.0,Richard THOMPSON,07 JUN 1985,TTO,1,,Port-of-Spain (TTO),27 JUN 2010,1162
22,20.38,+1.2,Kenji FUJIMITSU,01 MAY 1986,JPN,1,,Marugame (JPN),05 JUN 2010,1161
22,20.38,+1.0,Martial MBANDJOCK,14 OCT 1985,FRA,1,,"Stade Raymond Petit, Tomblaine (FRA)",25 JUN 2010,1161
22,20.38,+0.6,Sebastian ERNST,11 OCT 1984,GER,1,,Mannheim (GER),04 JUL 2010,1161
22,20.38,-0.8,Christian MALCOLM,03 JUN 1979,GBR,2,,"Estadio Olímpico, Barcelona (ESP)",30 JUL 2010,1165
26,20.39,+1.3,Ben Youssef MEITÉ,11 NOV 1986,CIV,2,,"Nyayo National Stadium, Nairobi (KEN)",01 AUG 2010,1159
27,20.40,0.0,Marlon DEVONISH,01 JUN 1976,GBR,2,,Luzern (SUI),08 AUG 2010,1158
28,20.41,-0.4,Nilson Andre DE OLIVEIRA,30 JAN 1986,BRA,1f2,,Rio de Janeiro (BRA),23 MAY 2010,1158
28,20.41,+0.1,Rakieem SALAAM,05 APR 1990,USA,1h6,,"Austin, TX (USA)",28 MAY 2010,1156
30,20.42,+1.5,Leigh JULIUS,25 MAR 1985,RSA,2,,Potchefstroom (RSA),17 APR 2010,1155
30,20.42,+0.6,Marc SCHNEEBERGER,05 JUL 1981,SUI,3,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1155
32,20.43,-1.3,Mario FORSYTHE,30 OCT 1985,JAM,1,,Heusden-Zolder (BEL),10 JUL 2010,1160
32,20.43,+0.4,Leon BAPTISTE,23 MAY 1985,GBR,1sf1,,New Delhi (IND),10 OCT 2010,1153
32,20.43,+1.4,Femi OGUNODE,15 MAY 1991,QAT,1,,Guangzhou (CHN),25 NOV 2010,1153
35,20.44,+1.1,Fred ROSE,29 JUL 1989,USA,1f1,,"Baton Rouge, LA (USA)",17 APR 2010,1152
36,20.46,+1.4,Greg NIXON,12 SEP 1981,USA,1f1,,"Los Angeles, CA (USA)",10 APR 2010,1149
36,20.46,+1.2,Paul HESSION,27 JAN 1983,IRL,1f2,,"Puskás Ferenc Stadion, Budapest (HUN)",20 JUN 2010,1149
36,20.46,+0.4,Ainsley WAUGH,17 SEP 1981,JAM,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1149
39,20.47,+1.8,Evander WELLS,07 DEC 1987,USA,1f2,,"Gainesville, FL (USA)",02 APR 2010,1147
40,20.48,-0.8,Marvin ANDERSON,12 MAY 1982,JAM,4,,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1150
41,20.49,-0.1,Daniel Alfonso GRUESO,30 JUL 1985,COL,1,,Mayagüez (PUR),17 APR 2010,1144
41,20.49,+0.3,Justin WALKER,30 NOV 1990,USA,1,,"Arlington, TX (USA)",16 MAY 2010,1144
41,20.49,+1.0,David ALERTE,18 SEP 1984,FRA,3,,"Stade Raymond Petit, Tomblaine (FRA)",25 JUN 2010,1144
41,20.49,0.0,Rasheed DWYER,29 JAN 1989,JAM,2,,Mayagüez (PUR),27 JUL 2010,1144
41,20.49,+0.1,Lansford Winston SPENCE,15 DEC 1982,JAM,2,,New Delhi (IND),10 OCT 2010,1144
46,20.50,+1.8,Shawn CRAWFORD,14 JAN 1978,USA,6,,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1143
47,20.51,+1.9,Aziz OUHADI,24 JUL 1984,MAR,1sf3,,"Nyayo National Stadium, Nairobi (KEN)",28 JUL 2010,1141
48,20.52,,Antonio SALES,26 JAN 1989,USA,2f1,,"Fayetteville, AR (USA) (i)",12 MAR 2010,1207
48,20.52,+1.1,Jeffrey LAWAL-BALOGUN,02 JUL 1986,GBR,2f1,,La Chaux-de-Fonds (SUI),04 JUL 2010,1139
50,20.53,+1.1,Terrell WILKS,30 DEC 1989,USA,2f1,,"Greensboro, NC (USA)",29 MAY 2010,1138
50,20.53,+0.7,Josh SCOTT,03 SEP 1985,USA,1,,"Charlotte, NC (USA)",29 MAY 2010,1138
52,20.54,+1.0,Matthew DAVIES,18 APR 1985,AUS,1f1,,Perth (AUS),19 FEB 2010,1136
52,20.54,+1.5,Thuso MPUANG,01 MAR 1984,RSA,3,,Potchefstroom (RSA),17 APR 2010,1136
52,20.54,-0.7,Chris LAWSON,12 MAR 1983,USA,2f1,,"Atlanta, GA (USA)",15 MAY 2010,1140
52,20.54,+1.3,Darrion BENT,17 SEP 1990,JAM,1f1,,Sundsvall (SWE),08 AUG 2010,1136
56,20.55,0.0,Oral THOMPSON,11 DEC 1982,JAM,1f1,,St-Martin (FRA),08 MAY 2010,1135
56,20.55,0.0,Michael RODGERS,24 APR 1985,USA,1,,Osaka (JPN),08 MAY 2010,1135
58,20.57,+1.5,Gerald PHIRI,06 OCT 1988,ZAM,2f3,,"Austin, TX (USA)",29 MAY 2010,1132
59,20.58,-0.6,Shota IIZUKA,25 JUN 1991,JPN,1h2,,Shizuoka (JPN),03 MAY 2010,1133
60,20.59,,Marcus ROWLAND,11 MAR 1990,USA,1h3,,"Fayetteville, AR (USA) (i)",12 MAR 2010,1196
60,20.59,-2.4,Leroy DIXON,20 JUN 1983,USA,1sf1,,"Drake Stadium, Des Moines, IA (USA)",27 JUN 2010,1143
60,20.59,0.0,Brendan CHRISTIAN,11 DEC 1983,ANT,4,,Mayagüez (PUR),27 JUL 2010,1129
