Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7.05,,Murielle AHOURÉ,23 AUG 1987,CIV,1,,"New York, NY (USA) (i)",14 FEB 2015,1202
1,7.05,,Dafne SCHIPPERS,15 JUN 1992,NED,1,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1202
3,7.08,,Remona BURCHELL,15 SEP 1991,JAM,1,,"Lexington, KY (USA) (i)",28 FEB 2015,1192
3,7.08,,Tianna BARTOLETTA,30 AUG 1985,USA,1,,"Boston, MA (USA) (i)",01 MAR 2015,1192
3,7.08,,Dina ASHER-SMITH,04 DEC 1995,GBR,2,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1192
3,7.08,,Verena SAILER,16 OCT 1985,GER,1sf3,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1192
7,7.10,,Ezinne OKPARAEBO,03 MAR 1988,NOR,4,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1185
8,7.11,,Michelle-Lee AHYE,10 APR 1992,TTO,2,,"New York, NY (USA) (i)",14 FEB 2015,1182
8,7.11,,Mujinga KAMBUNDJI,17 JUN 1992,SUI,5,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1182
8,7.11,,Olesya POVH,18 OCT 1987,UKR,6,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1182
11,7.13,+0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,,Kingston (JAM),31 JAN 2015,1175
12,7.14,,Jessica YOUNG-WARREN,06 APR 1987,USA,2h2,,"Barclaycard Arena, Birmingham (GBR) (i)",21 FEB 2015,1171
13,7.15,,Jasmine TODD,23 DEC 1993,USA,1f2,,"Seattle, WA (USA) (i)",17 JAN 2015,1168
13,7.15,,Jenna PRANDINI,20 NOV 1992,USA,1h1,,"Fayetteville, AR (USA) (i)",13 MAR 2015,1168
13,7.15,,Dezerea BRYANT,27 APR 1993,USA,1h2,,"Fayetteville, AR (USA) (i)",13 MAR 2015,1168
16,7.18,,Flings OWUSU-AGYAPONG,16 OCT 1988,GHA,1f2,,"New York, NY (USA) (i)",16 JAN 2015,1158
16,7.18,,Ky WESTBROOK,25 FEB 1996,USA,2f2,,"Seattle, WA (USA) (i)",17 JAN 2015,1158
16,7.18,,Muna LEE,30 OCT 1981,USA,1f1,,"Flagstaff, AZ (USA) (i)",31 JAN 2015,1158
16,7.18,,Gemma ACHEAMPONG,13 FEB 1993,GHA,1,,"Annapolis, MD (USA) (i)",22 FEB 2015,1158
20,7.19,,Kelly-Ann BAPTISTE,14 OCT 1986,TTO,1,,"Baton Rouge, LA (USA) (i)",20 FEB 2015,1154
20,7.19,,Yongli WEI,11 OCT 1991,CHN,1f1,,Shanghai (CHN) (i),01 MAR 2015,1154
20,7.19,,Jamile SAMUEL,24 APR 1992,NED,7,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1154
20,7.19,,Khamica BINGHAM,15 JUN 1994,CAN,1,,Windsor (CAN) (i),12 MAR 2015,1154
24,7.20,,Morolake AKINOSUN,17 MAY 1994,USA,1f1,,"Albuquerque, NM (USA) (i)",07 FEB 2015,1151
24,7.20,,Carina HORN,09 MAR 1989,RSA,2,,Berlin (GER) (i),14 FEB 2015,1151
24,7.20,,Ewa SWOBODA,26 JUL 1997,POL,8,,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1151
27,7.21,,Natalia POHREBNIAK,19 FEB 1988,UKR,1f2,,Zaporozhye (UKR) (i),27 JAN 2015,1147
27,7.21,,Tiffany TOWNSEND,14 JUN 1989,USA,4,,"New York, NY (USA) (i)",14 FEB 2015,1147
27,7.21,,Shayla SANDERS,06 JAN 1994,USA,1h2,,"Lexington, KY (USA) (i)",27 FEB 2015,1147
30,7.22,,Cierra WHITE,29 APR 1993,USA,2f1,,"Albuquerque, NM (USA) (i)",07 FEB 2015,1144
30,7.22,,Ivet LALOVA-COLLIO,18 MAY 1984,BUL,2,,Łódź (POL) (i),17 FEB 2015,1144
30,7.22,,Mikele BARBER,04 OCT 1980,USA,2h2,,"Boston, MA (USA) (i)",01 MAR 2015,1144
33,7.23,,TyNia GAITHER,16 MAR 1993,BAH,2f2,,"Seattle, WA (USA) (i)",28 FEB 2015,1141
33,7.23,,Alexandra BURGHARDT,28 APR 1994,GER,2h3,,"O2 Arena, Praha (CZE) (i)",07 MAR 2015,1141
33,7.23,,Mikiah BRISCO,14 JUL 1996,USA,4h1,,"Fayetteville, AR (USA) (i)",13 MAR 2015,1141
36,7.24,,Rebekka HAASE,02 JAN 1993,GER,1,,Chemnitz (GER) (i),31 JAN 2015,1137
