Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
49,7.28,,Kim GEVAERT,05 AUG 1978,BEL,5h2,,Gent (BEL) (i),09 FEB 2003,1124
49,7.28,,Angela DAIGLE-BOWEN,28 MAY 1976,USA,2sf1,,"Boston, MA (USA) (i)",01 MAR 2003,1124
53,7.29,,Georgia KOKLONI,07 MAY 1981,GRE,4,,Athina (GRE) (i),06 MAR 2003,1121
53,7.29,,Lolo JONES,05 AUG 1982,USA,3h2,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1121
55,7.30,,Chequetta BEARFIELD,16 APR 1980,USA,2,,"Salt Lake City, UT (USA) (i)",25 JAN 2003,1117
55,7.30,,Roxana DÍAZ,17 MAY 1981,CUB,5,,Athina (GRE) (i),06 MAR 2003,1117
55,7.30,,Fana ASHBY,15 JUN 1981,TTO,1h2,,"Carbondale, IL (USA) (i)",07 MAR 2003,1117
55,7.30,,Heather SAMUEL,06 JUL 1970,ANT,5sf1,,"National Indoor Arena, Birmingham (GBR) (i)",14 MAR 2003,1117
55,7.30,,LaVerne JONES-FERRETTE,16 SEP 1981,ISV,4h2,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1117
60,7.31,,Nadine HENTSCHKE,27 JAN 1982,GER,5,,Leipzig (GER) (i),23 FEB 2003,1114
60,7.31,,SaDonna THORNTON,16 AUG 1978,USA,4,,"Boston, MA (USA) (i)",01 MAR 2003,1114
62,7.32,,Endurance OJOKOLO,29 SEP 1975,NGR,3h1,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2003,1111
62,7.32,,Sylvie MBALLA ELOUNDOU,21 APR 1977,FRA,1sf1,,Clermont-Ferrand (FRA) (i),01 MAR 2003,1111
62,7.32,,Danielle CARRUTHERS,22 DEC 1979,USA,2sf2,,"Bloomington, IN (USA) (i)",01 MAR 2003,1111
62,7.32,,Wangping QIN,16 JUN 1982,CHN,3,,Wien (AUT) (i),09 MAR 2003,1111
66,7.33,,Saša PROKOFJEV,28 NOV 1971,SLO,1,,Celje (SLO) (i),15 FEB 2003,1107
66,7.33,,Odiah SIDIBÉ,13 JAN 1970,FRA,1,,Reims (FRA) (i),15 FEB 2003,1107
66,7.33,,Tetyana TKALICH,30 MAY 1975,UKR,2h1,,Sumy (UKR) (i),21 FEB 2003,1107
66,7.33,,Priscilla SCHLIEP,26 AUG 1982,CAN,1sf2,,"Ames, IA (USA) (i)",08 MAR 2003,1107
66,7.33,,Monica TWUM,14 MAR 1978,GHA,3h1,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1107
66,7.33,,Aleah WILLIAMS,07 JAN 1981,USA,5h2,,"Fayetteville, AR (USA) (i)",14 MAR 2003,1107
66,7.33,,Marshevet HOOKER,25 SEP 1984,USA,1,,"Landover, MD (USA) (i)",16 MAR 2003,1107
73,7.34,,Olga KHALANDYREVA,13 NOV 1981,RUS,5,,Moskva (RUS) (i),25 FEB 2003,1104
73,7.34,,Irina KHABAROVA,18 MAR 1966,RUS,3sf2,,Moskva (RUS) (i),25 FEB 2003,1104
73,7.34,,Petya PENDAREVA,20 JAN 1971,BUL,2h4,,"National Indoor Arena, Birmingham (GBR) (i)",14 MAR 2003,1104
76,7.35,,Mikele BARBER,04 OCT 1980,USA,1,,"Blacksburg, VA (USA) (i)",18 JAN 2003,1101
76,7.35,,Tameka BORDERS,16 FEB 1974,USA,1h1,,"West Lafayette, IN (USA) (i)",18 JAN 2003,1101
76,7.35,,Jakki BAILEY,04 OCT 1984,USA,1,,"Seattle, WA (USA) (i)",01 FEB 2003,1101
76,7.35,,Kadiatou CAMARA,04 MAY 1981,MLI,1,,Moskva (RUS) (i),23 FEB 2003,1101
76,7.35,,Susan BURNSIDE-DEACON,03 FEB 1980,GBR,2,,Birmingham (GBR) (i),01 MAR 2003,1101
81,7.36,,Ebony SHOTWELL,27 JAN 1982,USA,2h1,,"Lexington, KY (USA) (i)",25 JAN 2003,1097
81,7.36,,Consuella MOORE,29 AUG 1981,USA,1,,"University Park, PA (USA) (i)",31 JAN 2003,1097
81,7.36,,Martina FEUSI,17 JUN 1974,SUI,3h3,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2003,1097
81,7.36,,Aksana DRAHUN,19 APR 1981,BLR,4,,Minsk (BLR) (i),07 FEB 2003,1097
81,7.36,,Inger MILLER,12 JUN 1972,USA,4,,"New York, NY (USA) (i)",07 FEB 2003,1097
81,7.36,,Peta-Gaye DOWDIE,18 JAN 1977,JAM,1h2,,"South Bend, IN (USA) (i)",08 FEB 2003,1097
81,7.36,,Cydonie MOTHERSILL,19 MAR 1978,CAY,1h2,,"Fayetteville, AR (USA) (i)",14 FEB 2003,1097
81,7.36,,Illia MILES,11 JAN 1982,USA,1h1,,"Blacksburg, VA (USA) (i)",15 FEB 2003,1097
81,7.36,,Yuliya TIMOFEYEVA,1972,RUS,6,,Moskva (RUS) (i),25 FEB 2003,1097
81,7.36,,Delphine COMBE,06 DEC 1974,FRA,2sf1,,Clermont-Ferrand (FRA) (i),01 MAR 2003,1097
81,7.36,,Aksel GÜRCAN,02 JAN 1973,TUR,2,,Athina (GRE) (i),04 MAR 2003,1097
81,7.36,,LaShauntea MOORE,31 JUL 1983,USA,2,,"Carbondale, IL (USA) (i)",08 MAR 2003,1097
81,7.36,,Aurelia TRYWIAŃSKA-KOLLASCH,09 MAY 1976,POL,2h1,,"Ames, IA (USA) (i)",12 DEC 2003,1097
81,7.36,,Priya HOZE,30 MAR 1983,USA,2h1,,"Ames, IA (USA) (i)",12 DEC 2003,1097
95,7.37,,Melocia CLARKE,03 APR 1979,JAM,1,,"West Lafayette, IN (USA) (i)",18 JAN 2003,1094
95,7.37,,Kimesha OTEY,28 MAY 1981,USA,2h1,,"Blacksburg, VA (USA) (i)",15 FEB 2003,1094
95,7.37,,LaKadron IVERY,23 JUN 1983,USA,1h3,,"Lincoln, NE (USA) (i)",28 FEB 2003,1094
95,7.37,,Teneeshia JONES,28 JAN 1979,USA,3sf1,,"Boston, MA (USA) (i)",01 MAR 2003,1094
95,7.37,,Erica WHIPPLE,04 DEC 1982,USA,2,,"Ames, IA (USA) (i)",08 MAR 2003,1094
95,7.37,,Janice DAVIS,27 OCT 1984,USA,1,,"New York, NY (USA) (i)",16 MAR 2003,1094
101,7.38,,Shana ROBINSON,13 FEB 1981,USA,1,,"Lincoln, NE (USA) (i)",25 JAN 2003,1091
101,7.38,,Olga GONCHAROVA,30 MAY 1977,RUS,4,,Samara (RUS) (i),26 JAN 2003,1091
101,7.38,,Nataliya PYHYDA,30 JAN 1981,UKR,5,,Sumy (UKR) (i),21 FEB 2003,1091
101,7.38,,Tasha DOWNING,05 JUL 1970,USA,4sf2,,"Boston, MA (USA) (i)",01 MAR 2003,1091
101,7.38,,Severina CRAVID,01 JUL 1978,POR,1sf2,,Valencia (ESP) (i),02 MAR 2003,1091
101,7.38,,Joan Uduak EKAH,20 NOV 1981,NGR,7,,Athina (GRE) (i),06 MAR 2003,1091
101,7.38,,Monique HALL,09 OCT 1980,USA,2,,"Baton Rouge, LA (USA) (i)",07 MAR 2003,1091
101,7.38,,Toyin OLUPONA,29 JAN 1983,CAN,2,,"South Bend, IN (USA) (i)",08 MAR 2003,1091
101,7.38,,Shalonda SOLOMON,19 DEC 1985,USA,2,,"New York, NY (USA) (i)",16 MAR 2003,1091
110,7.39,,Natalya MIKHAYLOVSKAYA,20 NOV 1975,RUS,4,,Yekaterinburg (RUS) (i),07 JAN 2003,1087
110,7.39,,Timicka CLARKE,09 NOV 1980,BAH,3,,"Fayetteville, AR (USA) (i)",14 FEB 2003,1087
110,7.39,,Erica MARCHETTI,19 NOV 1981,ITA,2,,Genova (ITA) (i),01 MAR 2003,1087
110,7.39,,Makaridja SANGANOKO,08 MAY 1980,CIV,4h5,,"National Indoor Arena, Birmingham (GBR) (i)",14 MAR 2003,1087
110,7.39,,Kerron STEWART,16 APR 1984,JAM,3,,"New York, NY (USA) (i)",16 MAR 2003,1087
115,7.40,,Yevgeniya LIKHUTA-VALADZKO,24 MAR 1981,BLR,5,,Minsk (BLR) (i),24 JAN 2003,1084
115,7.40,,Nicole WHITMAN,09 NOV 1980,USA,3,,"Salt Lake City, UT (USA) (i)",25 JAN 2003,1084
