Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
54,32:09.28,,Nataliya BERKUT,30 MAY 1975,UKR,1,,Donetsk (UKR),04 JUL 2007,1131
55,32:09.50,,Genet GETANEH,06 JAN 1986,ETH,5,,Valkenswaard (NED),26 JUN 2007,1131
56,32:13.58,,Kayoko FUKUSHI,25 MAR 1982,JPN,1,,Osaka (JPN),29 JUN 2007,1127
57,32:15.15,,Kate O'NEILL,29 JUL 1980,USA,9,,"Palo Alto, CA (USA)",29 APR 2007,1126
58,32:15.84,,Yoshimi OZAKI,01 JUL 1981,JPN,11,,Kobe (JPN),22 APR 2007,1125
59,32:16.83,,Rong CHEN,18 MAY 1988,CHN,7,,Wuhan (CHN),02 NOV 2007,1124
60,32:17.14,,Megumi TANAKA-OSHIMA,04 SEP 1975,JPN,12,,Kobe (JPN),22 APR 2007,1124
61,32:18.07,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,7,,Utrecht (NED),17 MAY 2007,1123
62,32:18.28,,Akane TAIRA,03 NOV 1982,JPN,13,,Kobe (JPN),22 APR 2007,1123
63,32:18.57,,Hiroko MIYAUCHI,19 JUN 1983,JPN,14,,Kobe (JPN),22 APR 2007,1123
64,32:18.87,,Pauline Kiragu WANGURU,26 AUG 1980,KEN,1,,Kita-Kyushu (JPN),12 MAY 2007,1122
65,32:19.25,,Bilha KAMAU,02 JUL 1988,KEN,4,,Kobe (JPN),13 OCT 2007,1122
66,32:20.86,,Galina ALEKSANDROVA,15 OCT 1975,RUS,5,,Zhukovskiy (RUS),14 JUL 2007,1121
67,32:21.04,,Ruth WANJIRU,11 SEP 1981,KEN,4,,Shizuoka (JPN),30 APR 2007,1121
68,32:21.26,,Noriko MATSUOKA,02 MAY 1979,JPN,5,,Kobe (JPN),13 OCT 2007,1120
69,32:21.42,,Mary Teresa CULLEN,17 AUG 1982,IRL,10,,"Palo Alto, CA (USA)",29 APR 2007,1120
70,32:21.79,,Aya MANOME,30 AUG 1982,JPN,15,,Kobe (JPN),22 APR 2007,1120
71,32:23.61,,Rosa María MORATÓ,19 JUN 1979,ESP,5,,Ferrara (ITA),07 APR 2007,1118
72,32:24.0h,,Viktoriya TRUSHENKO,19 JUL 1984,RUS,1,,Zhukovskiy (RUS),29 APR 2007,1118
73,32:24.84,,Irina TIMOFEYEVA,05 APR 1970,RUS,6,,Zhukovskiy (RUS),14 JUL 2007,1117
74,32:27.38,,Xiaolin ZHU,20 FEB 1984,CHN,1,,Suzhou (CHN),09 JUN 2007,1115
75,32:27.63,,Yukiko AKABA,18 OCT 1979,JPN,4,,Fukagawa (JPN),11 JUL 2007,1115
76,32:28.35,,Yuliya VINOKUROVA,17 JUN 1972,RUS,7,,Zhukovskiy (RUS),14 JUL 2007,1114
77,32:29.12,,Fei XUE,08 AUG 1989,CHN,1,,Urumqi (CHN),20 SEP 2007,1113
78,32:29.53,,Nadia EJJAFINI,08 NOV 1977,BRN,1,,Cairo (EGY),23 NOV 2007,1113
79,32:30.37,,Amy CRAGG,21 JAN 1984,USA,11,,"Palo Alto, CA (USA)",29 APR 2007,1112
80,32:31.21,,Emily CHEBET,18 FEB 1986,KEN,8,,"Yanmar Stadium Nagai, Osaka (JPN)",25 AUG 2007,1112
81,32:31.85,,Melissa COOK,22 NOV 1979,USA,12,,"Palo Alto, CA (USA)",29 APR 2007,1111
82,32:31.90,,Blake PHILLIPS-RUSSELL,24 JUL 1975,USA,1,,"Palo Alto, CA (USA)",30 MAR 2007,1111
83,32:32.44,,Doris Chepkwemoi CHANGEYWO,12 DEC 1984,KEN,1,,Hyderabad (IND),15 OCT 2007,1111
