Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
45,31:24.82,,Emily LIPARI,19 NOV 1992,USA,9,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1170
46,31:25.57,,Amy-Eloise MARKOVC,05 AUG 1995,GBR,2,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1170
47,31:28.26,,Mercyline CHELANGAT,17 DEC 1997,UGA,16,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1167
48,31:30.04,,Emily INFELD,21 MAR 1990,USA,4,,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1166
49,31:32.25,,Ednah KURGAT,15 JUN 1991,USA,10,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1164
50,31:33.83,,Emily DURGIN,15 MAY 1994,USA,4,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1162
51,31:35.44,,Ai HOSODA,27 NOV 1995,JPN,2,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1161
52,31:35.67,,Kaede HAGITANI,10 OCT 2000,JPN,2,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1161
53,31:37.26,,Carrie VERDON,08 MAR 1994,USA,11,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1159
54,31:39.39,,Stephanie BRUCE,14 JAN 1984,USA,12,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1157
55,31:39.60,,Sarah INGLIS,28 AUG 1991,GBR,4,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1157
56,31:39.86,,Alina REH,23 MAY 1997,GER,2f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1157
57,31:40.10,,Isobel BATT-DOYLE,14 SEP 1995,AUS,,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1157
58,31:41.29,,Rika KASEDA,02 MAR 1999,JPN,3,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1156
59,31:46.51,,Wuga HE,28 JUL 1998,CHN,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 APR 2022,1151
60,31:47.9h,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",26 APR 2022,1150
61,31:49.01,,Molly GRABILL,31 AUG 1992,USA,10,,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1149
62,31:49.29,,Dolshi TESFU,17 JUN 1999,ERI,18,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1149
63,31:49.46,,Lauren HURLEY,26 JAN 1988,USA,1,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1148
64,31:50.08,,Anchialem HAYMANOT,09 MAY 2001,ETH,17,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1148
65,31:50.58,,Keira D'AMATO,21 OCT 1984,USA,2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 APR 2022,1147
66,31:50.79,,Natsnet AMANUEL,05 NOV 1993,ERI,18,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1147
