Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,30:42.26,,Sally KIPYEGO,19 DEC 1985,KEN,1f1,,"Palo Alto, CA (USA)",04 MAY 2014,1209
2,30:47.59,,Molly HUDDLE,31 AUG 1984,USA,2f1,,"Palo Alto, CA (USA)",04 MAY 2014,1204
3,30:57.30,,Betsy SAINA,30 JUN 1988,KEN,3f1,,"Palo Alto, CA (USA)",04 MAY 2014,1195
4,31:28.07,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1,,Kobe (JPN),20 APR 2014,1167
5,31:39.67,,Jordan HASAY,21 SEP 1991,USA,4f1,,"Palo Alto, CA (USA)",04 MAY 2014,1157
6,31:41.80,,Ayumi HAGIWARA,01 JUN 1992,JPN,2f2,,Yamaguchi (JPN),10 OCT 2014,1155
7,31:42.02,,Julia BLEASDALE,09 SEP 1981,GBR,5f1,,"Palo Alto, CA (USA)",04 MAY 2014,1155
8,31:43.05,,Almenesh BELETE,26 JUL 1989,BEL,6f1,,"Palo Alto, CA (USA)",04 MAY 2014,1154
9,31:45.24,,Doricah OBARE,10 JAN 1990,KEN,7f1,,"Palo Alto, CA (USA)",04 MAY 2014,1152
10,31:48.71,,Kim CONLEY,14 MAR 1986,USA,8f1,,"Palo Alto, CA (USA)",04 MAY 2014,1149
11,31:51.86,,Alia SAEED MOHAMMED,18 MAY 1991,UAE,1,,Incheon (KOR),27 SEP 2014,1146
12,31:52.86,,Clémence CALVIN,17 MAY 1990,FRA,1f1,,Skopje (MKD),07 JUN 2014,1145
13,31:53.09,,Changqin DING,27 NOV 1991,CHN,2,,Incheon (KOR),27 SEP 2014,1145
14,31:53.69,,Kasumi NISHIHARA,01 MAR 1989,JPN,3,,Kobe (JPN),20 APR 2014,1145
15,31:55.56,,Jessica AUGUSTO,08 NOV 1981,POR,2f1,,Skopje (MKD),07 JUN 2014,1143
16,31:55.81,,Yuka TAKASHIMA,12 MAY 1988,JPN,1f1,,Abashiri (JPN),06 JUL 2014,1143
17,31:56.11,,Rina YAMAZAKI,06 MAY 1988,JPN,3f2,,Yamaguchi (JPN),10 OCT 2014,1143
18,32:00.15,,Hanae TANAKA,12 FEB 1990,JPN,5f2,,Yamaguchi (JPN),10 OCT 2014,1139
19,32:00.25,,Eri MAKIKAWA,22 APR 1993,JPN,4,,Kobe (JPN),20 APR 2014,1139
20,32:01.42,,Sara MOREIRA,17 OCT 1985,POR,3f1,,Skopje (MKD),07 JUN 2014,1138
21,32:03.43,,Sairi MAEDA,07 NOV 1991,JPN,6f2,,Yamaguchi (JPN),10 OCT 2014,1136
22,32:03.57,,Karolina NADOLSKA,06 SEP 1981,POL,4f1,,Skopje (MKD),07 JUN 2014,1136
23,32:05.87,,Misaki KATO,15 JUN 1991,JPN,7f2,,Yamaguchi (JPN),10 OCT 2014,1134
24,32:07.08,,Risa TAKENAKA,06 JAN 1990,JPN,3f1,,Abashiri (JPN),06 JUL 2014,1133
25,32:09.35,,Joyce CHEPKIRUI,20 AUG 1988,KEN,1,,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1131
26,32:09.48,,Florence KIPLAGAT,27 FEB 1987,KEN,2,,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1131
27,32:10.82,,Emily CHEBET,18 FEB 1986,KEN,3,,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1130
28,32:11.04,,Joanne PAVEY,20 SEP 1973,GBR,1,,Parliament Hill (GBR),10 MAY 2014,1129
29,32:11.21,,Chieko KIDO,14 MAR 1990,JPN,5,,Kobe (JPN),20 APR 2014,1129
30,32:11.90,,Jip VASTENBURG,21 MAR 1994,NED,1f1,,"Palo Alto, CA (USA)",04 APR 2014,1129
31,32:12.27,,Mao KIYOTA,12 SEP 1993,JPN,6,,Kobe (JPN),20 APR 2014,1128
32,32:12.54,,Sitora KHAMIDOVA,12 MAY 1989,UZB,4,,Incheon (KOR),27 SEP 2014,1128
33,32:14.44,,Miho SHIMIZU,13 MAY 1990,JPN,6f1,,Abashiri (JPN),06 JUL 2014,1126
34,32:14.82,,Valentina GALIMOVA,11 MAY 1986,RUS,1,,Yerino (RUS),09 JUL 2014,1126
35,32:15.20,,Kotomi TAKAYAMA,18 FEB 1993,JPN,10f1,,"Palo Alto, CA (USA)",04 MAY 2014,1126
36,32:15.42,,Miho IHARA,04 FEB 1988,JPN,11f1,,"Palo Alto, CA (USA)",04 MAY 2014,1125
37,32:15.85,,Rachel WARD,11 OCT 1989,USA,12f1,,"Palo Alto, CA (USA)",04 MAY 2014,1125
38,32:16.31,,Yelena NAGOVITSYNA,07 DEC 1982,RUS,2,,Yerino (RUS),09 JUL 2014,1125
39,32:17.05,,Elinor KIRK,26 APR 1989,GBR,2f1,,"Palo Alto, CA (USA)",04 APR 2014,1124
40,32:17.24,,Yuki MITSUNOBU,09 NOV 1992,JPN,7f1,,Abashiri (JPN),06 JUL 2014,1124
41,32:18.81,,Amy CRAGG,21 JAN 1984,USA,3,,"Sacramento, CA (USA)",26 JUN 2014,1123
42,32:19.98,,Salomé ROCHA,25 APR 1990,POR,2f1,,Lisboa (POR),29 MAR 2014,1121
43,32:20.83,,Emma BATES,08 JUL 1992,USA,13f1,,"Palo Alto, CA (USA)",04 MAY 2014,1121
44,32:21.74,,Chaofeng JIA,16 NOV 1988,CHN,5,,Incheon (KOR),27 SEP 2014,1120
45,32:22.06,,Kaoru NAGAO,26 SEP 1989,JPN,7,,Kobe (JPN),20 APR 2014,1120
46,32:22.14,,Grace Mbuthye KIMANZI,01 MAR 1992,KEN,3,,Fukagawa (JPN),25 JUN 2014,1120
47,32:22.21,,Dolores CHECA,27 DEC 1982,ESP,1f1,,Lisboa (POR),29 MAR 2014,1120
48,32:22.22,,Veronica WANJIRU,29 OCT 1989,KEN,1,,Melbourne (AUS),11 DEC 2014,1120
49,32:24.38,,Reia IWADE,08 DEC 1994,JPN,8,,Kobe (JPN),20 APR 2014,1118
50,32:24.54,,Gemma BARRACHINA FERNANDEZ,10 APR 1986,ESP,2f1,,Lisboa (POR),29 MAR 2014,1118
51,32:24.55,,Ayumi SAKAIDA,07 NOV 1985,JPN,8f1,,Abashiri (JPN),06 JUL 2014,1117
52,32:24.73,,Kaho TANAKA,24 JUN 1991,JPN,4,,Fukagawa (JPN),25 JUN 2014,1117
53,32:25.69,,Juliet BOTTORFF,29 JAN 1991,USA,14f1,,"Palo Alto, CA (USA)",04 MAY 2014,1116
54,32:25.76,,Veronica INGLESE,22 NOV 1990,ITA,1,,Ferrara (ITA),17 MAY 2014,1116
55,32:26.03,,Laila HMATOU,26 MAR 1979,FRA,3,,"Letzigrund, Zürich (SUI)",12 AUG 2014,1116
56,32:26.32,,Asahi TAKEUCHI,09 JAN 1995,JPN,9f1,,Abashiri (JPN),06 JUL 2014,1116
57,32:26.53,,Shiho TAKECHI,18 AUG 1990,JPN,10,,Kobe (JPN),20 APR 2014,1116
58,32:26.59,,Eloise WELLINGS,09 NOV 1982,AUS,2,,Melbourne (AUS),11 DEC 2014,1116
59,32:27.36,,Mai SHOJI,09 DEC 1993,JPN,1,,Nagoya (JPN),30 NOV 2014,1115
60,32:27.69,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,6,,Incheon (KOR),27 SEP 2014,1115
61,32:27.75,,Corinna HARRER,19 JAN 1991,GER,1,,Aichach (GER),03 MAY 2014,1115
62,32:28.88,,Rei OHARA,10 AUG 1990,JPN,9f2,,Yamaguchi (JPN),10 OCT 2014,1114
63,32:29.17,,Preeja SREEDHARAN,13 MAR 1982,IND,7,,Incheon (KOR),27 SEP 2014,1113
64,32:29.26,,Sabrina MOCKENHAUPT,06 DEC 1980,GER,2,,Aichach (GER),03 MAY 2014,1113
65,32:29.61,,Lanni MARCHANT,11 APR 1984,CAN,3f1,,"Palo Alto, CA (USA)",04 APR 2014,1113
66,32:29.62,,Albina MAYOROVA,16 MAY 1977,RUS,3,,Yerino (RUS),09 JUL 2014,1113
67,32:31.06,,Emily SISSON,12 OCT 1991,USA,15f1,,"Palo Alto, CA (USA)",04 MAY 2014,1112
68,32:31.15,,Volha MAZURONAK,14 APR 1989,BLR,7,,"Letzigrund, Zürich (SUI)",12 AUG 2014,1112
69,32:31.37,,Yuko MIZUGUCHI,24 MAY 1985,JPN,10f2,,Yamaguchi (JPN),10 OCT 2014,1112
70,32:32.45,,Fionnula BRITTON,24 SEP 1984,IRL,8,,"Letzigrund, Zürich (SUI)",12 AUG 2014,1111
71,32:32.62,,Krisztina PAPP,17 DEC 1982,HUN,9,,"Letzigrund, Zürich (SUI)",12 AUG 2014,1110
72,32:33.35,,Kate AVERY,10 OCT 1991,GBR,4,,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1110
73,32:33.36,,Elizabeth POTTER,27 DEC 1991,GBR,5,,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1110
74,32:34.03,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,11,,"Letzigrund, Zürich (SUI)",12 AUG 2014,1109
75,32:35.90,,Dulce FÉLIX,23 OCT 1982,POR,12,,"Letzigrund, Zürich (SUI)",12 AUG 2014,1108
76,32:36.32,,Sophie DUARTE,31 JUL 1981,FRA,2,,Parliament Hill (GBR),10 MAY 2014,1107
77,32:37.19,,Kara MILLHOUSE,20 MAR 1990,USA,16f1,,"Palo Alto, CA (USA)",04 MAY 2014,1106
78,32:37.50,,Yurie DOI,08 DEC 1988,JPN,13f2,,Yamaguchi (JPN),10 OCT 2014,1106
