Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:13.92,Justyn KNIGHT,19 JUL 1996,CAN,1,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1230
2,8:14.20,Joe KLECKER,16 NOV 1996,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1228
3,8:14.92,Morgan MCDONALD,23 APR 1996,AUS,3,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1224
4,8:17.78,Maximilian THORWIRTH,09 JAN 1995,GER,4,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1207
5,8:19.54,Eric JENKINS,24 NOV 1991,USA,5,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1197
6,8:22.03,Kieran LUMB,02 AUG 1998,CAN,6,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1182
7,8:58.15,Sam RICH,,USA,1f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,980
8,9:02.93,Gary MARTIN,,USA,2f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,955
9,9:04.08,Foster WILFONG,,USA,1f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,949
10,9:05.14,Sam RICH,,USA,1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,944
11,9:05.65,Nicholas BENDTSEN,,USA,3f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,941
12,9:07.55,Ty GARRETT,,USA,2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,931
13,9:08.99,Talha SYED,18 FEB 2003,USA,4f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,924
14,9:09.89,Will JEFFERSON,,USA,1f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,919
15,9:10.50,Micah WILSON,14 JAN 2004,USA,5f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,916
16,9:10.63,Patrick DONNELLY,,USA,2f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,915
17,9:10.86,CJ SINGLETON,23 JAN 2004,USA,3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,914
18,9:11.85,Izaiah STEURY,,USA,6f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,909
19,9:12.28,Damian HACKETT,,USA,7f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,907
20,9:12.59,Blaha EDWARD,,USA,1f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",30 JAN 2021,905
21,9:12.68,Erik LE ROUX,,USA,8f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,905
22,9:13.24,Brogan GIFFIN,,USA,9f3,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,902
23,9:13.85,Gary MARTIN,,USA,1f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,899
24,9:14.91,Nathan MUELLER,,USA,2f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,893
25,9:15.36,Azaan DAWSON,,USA,2f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",30 JAN 2021,891
26,9:16.06,Theo BACHMANN,,USA,3f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,887
27,9:16.60,Matt BOGDAN,,USA,3f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,885
28,9:16.61,Riley HOUGH,,USA,4f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,885
29,9:17.13,James PTACK,,USA,5f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,882
30,9:18.34,Jake GELFAND,,USA,4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,876
31,9:18.39,CJ SINGLETON,23 JAN 2004,USA,1f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",04 DEC 2020,876
32,9:18.90,Brogan GIFFIN,,USA,2f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,873
33,9:19.65,Luke COFFIN,,USA,3f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,869
34,9:20.41,Tommy HAZEN,,USA,1f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,866
35,9:21.27,Brogan GIFFIN,,USA,5,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,861
36,9:21.47,Marco LANGON,31 AUG 2004,USA,3f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",30 JAN 2021,860
37,9:21.51,Declan MCDONNELL,,USA,4f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,860
38,9:21.91,Spenser WOLF,,USA,4f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,858
39,9:22.03,Jimmy MULLARKEY,,USA,5f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,858
40,9:22.27,Timothy SYNOWIEC,,USA,5f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,856
41,9:22.32,Elliott KLECKNER,,USA,2f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,856
42,9:23.33,Myles LISS-RIORDAN,2002,USA,6f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,851
43,9:23.35,Arnav TIKHE,,USA,2f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",04 DEC 2020,851
44,9:23.52,Jones WILLIAM,,USA,6f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,850
45,9:23.76,Bryce LENTZ,24 APR 2003,USA,6,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,849
46,9:23.92,Andrew SCHELL,,USA,7f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,848
47,9:24.18,Ryan BUSH,,USA,8f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,847
48,9:24.21,James PTACK,,USA,9f4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",06 FEB 2021,847
49,9:24.28,Alex MADER,,USA,3f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",27 FEB 2021,846
50,9:24.35,Nolan HESTER,,USA,7f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,846
51,9:24.60,Alex MAINVIELLE,,USA,7,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,845
52,9:24.77,Patrick DONNELLY,,USA,8,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",17 JAN 2021,844
53,9:25.00,Justin MUMFORD,,USA,8f4,,"Norton Sports Center, Louisville, KY (USA)",27 FEB 2021,843
