Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:53.25,Gavin SHERRY,11 MAY 2004,USA,1f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,1007
2,8:58.10,Aidan PUFFER,,USA,2f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,981
3,9:02.58,Gavin SHERRY,11 MAY 2004,USA,1,,"Armory Track&Field Center, New York, NY (USA)",17 JAN 2020,957
4,9:09.63,Anthony MONTE,,USA,1f1,,"Gilliam Indoor Track, College Station, TX (USA)",11 JAN 2020,920
5,9:09.67,Abraham AVILA-MARTINEZ,,USA,2f1,,"Gilliam Indoor Track, College Station, TX (USA)",11 JAN 2020,920
6,9:10.60,Carlos SHULTZ,,USA,1,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,915
7,9:11.08,Nicholas KARAYIANIS,,USA,1,,"Armory Track&Field Center, New York, NY (USA)",25 JAN 2020,913
8,9:12.16,Luke HENSELER,,USA,3f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,907
9,9:12.42,Jack MCLOUGHLIN,,USA,4f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,906
10,9:12.65,Nicholas BENDTSEN,,USA,5f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,905
11,9:12.67,Aidan PUFFER,,USA,2,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,905
12,9:13.40,Daniel O'BRIEN,,USA,3,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,901
13,9:13.93,Jack ELIASON,,USA,4,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,898
14,9:15.44,William CHAFFIN,,USA,1f2,,"Reggie Lewis Center, Boston, MA (USA)",22 FEB 2020,891
15,9:16.98,Joe HAWKES,,USA,5,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,883
16,9:17.13,Martin CHAVEZ,,USA,3f1,,"Gilliam Indoor Track, College Station, TX (USA)",11 JAN 2020,882
17,9:18.02,Luke HENSELER,,USA,1,,"Dartmouth-Leverone FH, Hanover, NH (USA)",11 JAN 2020,878
18,9:18.21,Will SHAUGHNESSY,,USA,6f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,877
19,9:18.91,William CHAFFIN,,USA,1f2,,"Reggie Lewis Center, Boston, MA (USA)",13 FEB 2020,873
20,9:20.65,Matt BOGDAN,,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA)",25 JAN 2020,864
21,9:20.75,Bryce LENTZ,24 APR 2003,USA,1,,"St. Christopher's Indoor Track, Richmond, VA (USA)",24 JAN 2020,864
22,9:20.99,Lisandro BERRY-GAVIRIA,,USA,1,,"USM Fieldhouse, Gorham, ME (USA)",17 FEB 2020,863
23,9:21.27,Will SHAUGHNESSY,,USA,2,,"Armory Track&Field Center, New York, NY (USA)",17 JAN 2020,861
24,9:21.30,Andrew AVILA,,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA)",25 JAN 2020,861
25,9:21.74,Max DIMUCCIO,,USA,7f2,,"Reggie Lewis Center, Boston, MA (USA)",29 FEB 2020,859
26,9:22.47,Michael GRIFFIN,,USA,2f2,,"Reggie Lewis Center, Boston, MA (USA)",13 FEB 2020,855
27,9:22.84,Sean KAY,27 AUG 2002,IRL,2f2,,"Reggie Lewis Center, Boston, MA (USA)",22 FEB 2020,853
28,9:23.06,Michael NORBERG,,USA,3f2,,"Reggie Lewis Center, Boston, MA (USA)",13 FEB 2020,852
29,9:23.17,Callum SHERRY,,USA,3,,"Armory Track&Field Center, New York, NY (USA)",17 JAN 2020,852
30,9:23.66,Bryce LENTZ,24 APR 2003,USA,6,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,849
31,9:24.15,Surafel MENGIST,,USA,7,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,847
32,9:24.28,Gabriel MONTAGUE,,USA,8,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,846
33,9:24.45,Martin RIDDELL,,USA,3,,"Ocean Breeze Athl. Complex, New York, NY (USA)",25 JAN 2020,846
34,9:24.46,Kevin CARLSON,,USA,9,,"Liberty Indoor Complex, Lynchburg, VA (USA)",18 JAN 2020,845
35,9:24.74,Gabriel PLANTY,,USA,4,,"Armory Track&Field Center, New York, NY (USA)",17 JAN 2020,844
