Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:11.33,Ben TRUE,29 DEC 1985,USA,1,,"New York, NY (USA)",11 FEB 2017,1245
2,8:11.56,Ryan HILL,31 JAN 1990,USA,2,,"New York, NY (USA)",11 FEB 2017,1244
3,8:12.63,Andrew BUTCHART,14 OCT 1991,GBR,3,,"New York, NY (USA)",11 FEB 2017,1237
4,8:13.16,Mohammed AHMED,05 JAN 1991,CAN,4,,"New York, NY (USA)",11 FEB 2017,1234
5,8:18.70,Lawi LALANG,15 JUN 1991,KEN,5,,"New York, NY (USA)",11 FEB 2017,1201
6,8:19.61,Garrett HEATH,03 NOV 1985,USA,6,,"New York, NY (USA)",11 FEB 2017,1196
7,8:21.07,Matthew CENTROWITZ,18 OCT 1989,USA,7,,"New York, NY (USA)",11 FEB 2017,1188
8,8:26.17,Morgan PEARSON,22 SEP 1993,USA,8,,"New York, NY (USA)",11 FEB 2017,1158
9,8:27.10,Ben BLANKENSHIP,15 DEC 1988,USA,9,,"New York, NY (USA)",11 FEB 2017,1153
10,8:28.53,Paul CHELIMO,27 OCT 1990,USA,1,,"Albuquerque, NM (USA)",04 MAR 2017,1144
11,8:30.42,Andrew BAYER,03 FEB 1990,USA,10,,"New York, NY (USA)",11 FEB 2017,1133
12,8:35.45,Brian SHRADER,22 JUL 1991,USA,11,,"New York, NY (USA)",11 FEB 2017,1105
13,8:38.60,Donald CABRAL,12 DEC 1989,USA,12,,"New York, NY (USA)",11 FEB 2017,1087
14,8:38.66,William KINCAID,21 SEP 1992,USA,2,,"Albuquerque, NM (USA)",04 MAR 2017,1087
15,8:38.81,Ryan HILL,31 JAN 1990,USA,3,,"Albuquerque, NM (USA)",04 MAR 2017,1086
16,8:39.54,Hillary BOR,22 NOV 1989,USA,4,,"Albuquerque, NM (USA)",04 MAR 2017,1082
17,8:40.25,Brian SHRADER,22 JUL 1991,USA,5,,"Albuquerque, NM (USA)",04 MAR 2017,1078
18,8:40.37,Ben BLANKENSHIP,15 DEC 1988,USA,6,,"Albuquerque, NM (USA)",04 MAR 2017,1077
19,8:41.41,Riley MASTERS,05 APR 1990,USA,7,,"Albuquerque, NM (USA)",04 MAR 2017,1071
20,8:42.97,Caleb HOOVER,22 JUL 1992,USA,8,,"Albuquerque, NM (USA)",04 MAR 2017,1063
21,8:43.08,Mason FERLIC,05 AUG 1993,USA,9,,"Albuquerque, NM (USA)",04 MAR 2017,1062
22,8:43.17,Kemoy CAMPBELL,14 JAN 1991,JAM,13,,"New York, NY (USA)",11 FEB 2017,1062
23,8:45.00,Tabor STEVENS,21 JUN 1991,USA,10,,"Albuquerque, NM (USA)",04 MAR 2017,1052
24,8:45.16,Brodey HASTY,15 NOV 1999,USA,1f2,,"New York, NY (USA)",12 MAR 2017,1051
25,8:46.08,Noah AFFOLDER,11 FEB 1999,USA,2f2,,"New York, NY (USA)",12 MAR 2017,1046
26,8:46.40,Louis SERAFINI,20 SEP 1991,USA,1,,"Cambridge, MA (USA)",22 JAN 2017,1044
27,8:47.40,David PRINCIPE,10 NOV 1998,USA,3f2,,"New York, NY (USA)",12 MAR 2017,1038
28,8:53.59,Connor LANE,30 APR 1999,USA,4f2,,"New York, NY (USA)",12 MAR 2017,1005
29,8:55.49,Amos SANG,10 JAN 1988,KEN,2,,"Cambridge, MA (USA)",22 JAN 2017,995
30,8:58.35,Gabe FENDEL,30 SEP 1999,USA,5f2,,"New York, NY (USA)",12 MAR 2017,979
31,8:58.41,Collin LEIBOLD,13 DEC 1987,USA,11,,"Albuquerque, NM (USA)",04 MAR 2017,979
32,9:00.31,Ruben SANCA,13 DEC 1986,CPV,3,,"Cambridge, MA (USA)",22 JAN 2017,969
33,9:00.88,Jeremy GREENWALD,20 JUL 1993,USA,12,,"Albuquerque, NM (USA)",04 MAR 2017,966
34,9:01.25,Craig LUTZ,07 NOV 1992,USA,13,,"Albuquerque, NM (USA)",04 MAR 2017,964
35,9:04.60,Jordan BRANNAN,,USA,6f2,,"New York, NY (USA)",12 MAR 2017,946
36,9:04.80,Daniel WINN,30 JUL 1991,USA,14,,"Albuquerque, NM (USA)",04 MAR 2017,945
37,9:07.25,Danny KILREA,24 JUN 2000,USA,7f2,,"New York, NY (USA)",12 MAR 2017,933
38,9:11.54,Rusty KUJDYCH,,USA,8f2,,"New York, NY (USA)",12 MAR 2017,910
39,9:11.83,Thomas FAFARD,06 DEC 1998,CAN,1f1,,"New York, NY (USA)",12 MAR 2017,909
40,9:12.18,Patrick O'BRIEN,,USA,1f2,,"Reggie Lewis Center, Boston, MA (USA)",04 MAR 2017,907
41,9:12.59,Ryan OOSTING,09 MAY 2001,NED,2f1,,"New York, NY (USA)",12 MAR 2017,905
42,9:13.55,Will BRISMAN,16 AUG 1999,USA,2f2,,"Reggie Lewis Center, Boston, MA (USA)",04 MAR 2017,900
43,9:13.61,Andrew MAH,01 FEB 2000,USA,3f2,,"Reggie Lewis Center, Boston, MA (USA)",04 MAR 2017,900
44,9:14.30,Brendan MURRAY,,USA,4f2,,"Reggie Lewis Center, Boston, MA (USA)",04 MAR 2017,896
45,9:14.50,Brian DOYLE,23 JUL 1992,USA,15,,"Albuquerque, NM (USA)",04 MAR 2017,895
46,9:15.02,Arjun JHA,,USA,3f1,,"New York, NY (USA)",12 MAR 2017,893
47,9:15.59,Jeremy Hoyne GROSVENOR,,USA,9f2,,"New York, NY (USA)",12 MAR 2017,890
48,9:15.87,Alec SCHRANK,,USA,1f2,,"New York, NY (USA)",10 MAR 2017,888
49,9:16.15,Chris POLANCO,,USA,5f2,,"Reggie Lewis Center, Boston, MA (USA)",04 MAR 2017,887
50,9:16.85,Andrew MAH,01 FEB 2000,USA,10f2,,"New York, NY (USA)",12 MAR 2017,883
51,9:17.19,Ryan OOSTING,09 MAY 2001,NED,6f2,,"Reggie Lewis Center, Boston, MA (USA)",04 MAR 2017,882
52,9:17.90,Paul DELLINGER,,USA,4f1,,"New York, NY (USA)",12 MAR 2017,878
53,9:18.46,Ben MATEJKA,,USA,5f1,,"New York, NY (USA)",12 MAR 2017,875
54,9:18.51,Brendan MURRAY,,USA,11f2,,"New York, NY (USA)",12 MAR 2017,875
55,9:18.70,Andrew PAYNE,,USA,6f1,,"New York, NY (USA)",12 MAR 2017,874
56,9:19.00,Michael GRABOWSKI,09 JAN 1999,USA,7f1,,"New York, NY (USA)",12 MAR 2017,873
57,9:19.60,Philip LAMBERT,07 MAR 2000,USA,2f2,,"New York, NY (USA)",10 MAR 2017,870
58,9:19.69,Anthony RUSSO,,USA,8f1,,"New York, NY (USA)",12 MAR 2017,869
59,9:20.83,Ben MATEJKA,,USA,1f2,,"Boston, MA (USA)",26 FEB 2017,864
60,9:20.88,Andrew MAH,01 FEB 2000,USA,2f2,,"Boston, MA (USA)",26 FEB 2017,863
61,9:21.45,Saurav VELLELETH,,USA,3f2,,"New York, NY (USA)",10 MAR 2017,860
62,9:21.47,Alex MORTIMER,05 JUL 1998,USA,9f1,,"New York, NY (USA)",12 MAR 2017,860
63,9:23.01,Ryan LOCKETT,20 JAN 2000,USA,1f1,,"New York, NY (USA)",10 MAR 2017,853
64,9:23.24,Patrick O'BRIEN,,USA,12f2,,"New York, NY (USA)",12 MAR 2017,852
