Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,1:56.04,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,1234
2,1:56.84,,Hasna BENHASSI,01 JUN 1978,MAR,2sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1219
3,1:56.98,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,3sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1217
4,1:57.62,,Mayte MARTÍNEZ,17 MAY 1976,ESP,3,,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,1205
5,1:57.63,,Yuliya KREVSUN,08 DEC 1980,UKR,1,,Bangkok (THA),14 AUG 2007,1205
6,1:58.11,,Svetlana USOVICH,14 OCT 1980,BLR,1sf1,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1196
7,1:58.14,,Olga KOTLYAROVA,12 APR 1976,RUS,1,,Tula (RUS),03 AUG 2007,1196
8,1:58.41,,Brigita LANGERHOLC,23 JUL 1976,SLO,4sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1191
9,1:58.61,,Kenia SINCLAIR,14 JUL 1980,JAM,2,,"Eugene, OR (USA)",10 JUN 2007,1187
10,1:58.62,,Lucia KLOCOVÁ,20 NOV 1983,SVK,3sf1,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1187
11,1:58.63,,Svetlana KLYUKA,27 DEC 1978,RUS,2,,Tula (RUS),03 AUG 2007,1187
11,1:58.63,,Elisa CUSMA,24 JUL 1981,ITA,4sf1,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1187
13,1:58.67,,Tetyana PETLYUK,22 FEB 1982,UKR,1,,"Schleyer Halle, Stuttgart (GER) (i)",03 FEB 2007,1208
14,1:58.75,,Alice SCHMIDT,03 OCT 1981,USA,3,,"Eugene, OR (USA)",10 JUN 2007,1185
15,1:58.76,,Marilyn OKORO,23 SEP 1984,GBR,3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",23 SEP 2007,1185
16,1:58.80,,Oksana ZBROZHEK,12 JAN 1978,RUS,1,,Warszawa (POL),17 JUN 2007,1184
17,1:58.99,,Jolanda ČEPLAK,12 SEP 1976,SLO,1,,Karlsruhe (GER) (i),11 FEB 2007,1202
18,1:59.07,,Hazel CLARK,03 OCT 1977,USA,1,,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1179
19,1:59.15,,Treniere MOSER,27 OCT 1981,USA,2,,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1177
20,1:59.29,,Alysia MONTAÑO,23 APR 1986,USA,1,,"Sacramento, CA (USA)",09 JUN 2007,1175
21,1:59.35,,Katie ERDMAN,24 AUG 1983,USA,2,,"Sacramento, CA (USA)",09 JUN 2007,1174
22,1:59.37,,Tamsyn MANOU,20 JUL 1978,AUS,3,,Zaragoza (ESP),28 JUL 2007,1174
23,1:59.39,,Jennifer MEADOWS,17 APR 1981,GBR,5sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1173
24,1:59.46,,Elodie GUEGAN,19 DEC 1985,FRA,6sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1172
25,1:59.51,,Mina AIT HAMMOU,18 JUL 1978,MAR,3sf2,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1171
26,1:59.52,,Yekaterina KOSTETSKAYA,31 DEC 1986,RUS,2,,Bangkok (THA),14 AUG 2007,1171
27,1:59.59,,Mariya ZHURAVLYOVA,07 NOV 1986,RUS,1h,,Tula (RUS),18 JUN 2007,1170
28,1:59.64,,Ewelina SĘTOWSKA-DRYK,05 MAR 1980,POL,2,,Warszawa (POL),17 JUN 2007,1169
29,1:59.75,,Diane CUMMINS,19 JAN 1974,CAN,1,,Rio de Janeiro (BRA),24 JUL 2007,1167
30,1:59.76,,Agnes SAMARIA,11 AUG 1972,NAM,4h6,,"Yanmar Stadium Nagai, Osaka (JPN)",25 AUG 2007,1167
31,1:59.81,,Tatyana DUDCHENKO,18 NOV 1983,RUS,3,,Tula (RUS),03 AUG 2007,1166
32,1:59.82,,Mihaela STĂNCESCU-NEACŞU,03 MAY 1979,ROU,1,,Pireaus (GRE) (i),21 FEB 2007,1189
33,1:59.84,,Marian BURNETT,22 FEB 1976,GUY,2,,Kingston (JAM),24 JUN 2007,1165
34,1:59.90,,Anna ALMINOVA,17 JAN 1985,RUS,1,,Tula (RUS),19 JUN 2007,1164
35,1:59.91,,Nicole TETER,08 NOV 1973,USA,2,,"Eugene, OR (USA)",27 MAY 2007,1164
36,2:00.02,,Rosibel GARCÍA,13 FEB 1981,COL,2,,Rio de Janeiro (BRA),24 JUL 2007,1162
37,2:00.07,,Teodora KOLAROVA,29 MAY 1981,BUL,2,,Pireaus (GRE) (i),21 FEB 2007,1184
