Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,1:57.67,Ajee WILSON,08 MAY 1994,USA,1,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1204
2,1:57.74,Sahily DIAGO MESA,26 AUG 1995,CUB,1,,La Habana (CUB),25 MAY 2014,1203
3,1:57.92,Eunice Jepkoech SUM,10 APR 1988,KEN,2,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1200
4,1:58.14,Sahily DIAGO MESA,26 AUG 1995,CUB,1,,La Habana (CUB),09 MAY 2014,1196
5,1:58.15,Marina ARZAMASOVA,17 DEC 1987,BLR,1,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1196
6,1:58.21,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Le Grande Stade, Marrakesh (MAR)",13 SEP 2014,1194
7,1:58.48,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1190
8,1:58.55,Yekaterina POISTOGOVA,01 MAR 1991,RUS,1f2,,Sochi (RUS),30 MAY 2014,1188
9,1:58.63,Winnie NANYONDO,23 AUG 1993,UGA,3,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1187
10,1:58.70,Ajee WILSON,08 MAY 1994,USA,1,,"Sacramento, CA (USA)",29 JUN 2014,1186
10,1:58.70,Janeth JEPKOSGEI,13 DEC 1983,KEN,4,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1186
12,1:58.79,Yekaterina POISTOGOVA,01 MAR 1991,RUS,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1184
13,1:58.80,Lynsey SHARP,11 JUL 1990,GBR,2,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1184
14,1:58.84,Brenda MARTINEZ,08 SEP 1987,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1183
15,1:58.94,Lynsey SHARP,11 JUL 1990,GBR,2,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1181
15,1:58.94,Eunice Jepkoech SUM,10 APR 1988,KEN,3,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1181
17,1:59.02,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1180
17,1:59.02,Margarita MUKASHEVA,04 JAN 1986,KAZ,1,,Incheon (KOR),01 OCT 2014,1180
19,1:59.04,Laura ROESLER,19 DEC 1991,USA,2,,"Sacramento, CA (USA)",29 JUN 2014,1179
20,1:59.13,Yekaterina POISTOGOVA,01 MAR 1991,RUS,1,,"Luzhniki, South Arena, Moskva (RUS)",12 JUN 2014,1178
21,1:59.14,Lynsey SHARP,11 JUL 1990,GBR,1,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1178
22,1:59.19,Tintu LUKA,26 APR 1989,IND,2,,Incheon (KOR),01 OCT 2014,1177
23,1:59.24,Brenda MARTINEZ,08 SEP 1987,USA,1,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2014,1176
23,1:59.24,Tigst ASSEFA,03 DEC 1996,ETH,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1176
25,1:59.27,Winnie NANYONDO,23 AUG 1993,UGA,1,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1175
26,1:59.30,Molly LUDLOW,04 AUG 1987,USA,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1175
27,1:59.31,Yekaterina POISTOGOVA,01 MAR 1991,RUS,5,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1175
28,1:59.32,Molly LUDLOW,04 AUG 1987,USA,6,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1174
29,1:59.33,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1174
30,1:59.35,Molly LUDLOW,04 AUG 1987,USA,3,,"Sacramento, CA (USA)",29 JUN 2014,1174
31,1:59.39,Winnie NANYONDO,23 AUG 1993,UGA,2,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2014,1173
32,1:59.42,Eunice Jepkoech SUM,10 APR 1988,KEN,2,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1173
33,1:59.44,Laura ROESLER,19 DEC 1991,USA,7,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1172
34,1:59.45,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Le Grande Stade, Marrakesh (MAR)",14 AUG 2014,1172
35,1:59.48,Rose Mary ALMANZA,13 JUL 1992,CUB,1,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2014,1172
35,1:59.48,Jing ZHAO,09 JUL 1988,CHN,3,,Incheon (KOR),01 OCT 2014,1172
37,1:59.49,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1171
38,1:59.51,Agatha JERUTO,02 APR 1994,KEN,1f1,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1171
39,1:59.54,Svetlana ROGOZINA,26 DEC 1992,RUS,1,,Kazan (RUS),24 JUL 2014,1170
40,1:59.56,Brenda MARTINEZ,08 SEP 1987,USA,3,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1170
41,1:59.63,Joanna JÓŹWIK,30 JAN 1991,POL,3,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1169
42,1:59.65,Marina ARZAMASOVA,17 DEC 1987,BLR,2,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1168
43,1:59.67,Lynsey SHARP,11 JUL 1990,GBR,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1168
44,1:59.68,Ajee WILSON,08 MAY 1994,USA,2,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1168
44,1:59.68,Ajee WILSON,08 MAY 1994,USA,1,,"Hampden Park, Glasgow (GBR)",12 JUL 2014,1168
46,1:59.69,Yekaterina POISTOGOVA,01 MAR 1991,RUS,4,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1168
47,1:59.70,Rose Mary ALMANZA,13 JUL 1992,CUB,3,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2014,1168
47,1:59.70,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,1,,Victoria (CAN),08 JUL 2014,1168
49,1:59.72,Lynsey SHARP,11 JUL 1990,GBR,1,,"Moratalaz, Madrid (ESP)",19 JUL 2014,1167
50,1:59.73,Janeth JEPKOSGEI,13 DEC 1983,KEN,6,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1167
51,1:59.74,Janeth JEPKOSGEI,13 DEC 1983,KEN,2,,"Le Grande Stade, Marrakesh (MAR)",14 AUG 2014,1167
52,1:59.75,Chanelle PRICE,22 AUG 1990,USA,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1167
53,1:59.76,Rose Mary ALMANZA,13 JUL 1992,CUB,1,,La Habana (CUB),20 MAR 2014,1167
53,1:59.76,Rose Mary ALMANZA,13 JUL 1992,CUB,2,,La Habana (CUB),25 MAY 2014,1167
55,1:59.77,Jess JUDD,07 JAN 1995,GBR,3,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1166
55,1:59.77,Molly LUDLOW,04 AUG 1987,USA,3,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1166
57,1:59.81,Marina ARZAMASOVA,17 DEC 1987,BLR,7,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1166
58,1:59.84,Agatha JERUTO,02 APR 1994,KEN,3,,"Le Grande Stade, Marrakesh (MAR)",14 AUG 2014,1165
59,1:59.85,Marina ARZAMASOVA,17 DEC 1987,BLR,2,,"Luzhniki, South Arena, Moskva (RUS)",12 JUN 2014,1165
60,1:59.86,Olga KOMANDINA,21 SEP 1989,RUS,3,,"Luzhniki, South Arena, Moskva (RUS)",12 JUN 2014,1165
61,1:59.88,Agatha JERUTO,02 APR 1994,KEN,1h2,,"Le Grande Stade, Marrakesh (MAR)",13 AUG 2014,1164
62,1:59.91,Brenda MARTINEZ,08 SEP 1987,USA,1f1,,"Los Angeles, CA (USA)",15 MAY 2014,1164
63,1:59.92,Olha LYAKHOVA,18 MAR 1992,UKR,2f1,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1164
64,1:59.93,Lenka MASNÁ,22 APR 1985,CZE,4,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1163
