Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:11.49,Mercy CHERONO,07 MAY 1991,KEN,1,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1196
2,9:12.59,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1193
3,9:12.90,Irene JELAGAT,10 DEC 1988,KEN,3,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1192
4,9:13.27,Mercy CHERONO,07 MAY 1991,KEN,1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1190
5,9:13.48,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1190
6,9:13.85,Mimi BELETE,09 JUN 1988,BRN,3,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1189
7,9:14.28,Genzebe DIBABA,08 FEB 1991,ETH,4,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1187
8,9:16.95,Betsy SAINA,30 JUN 1988,KEN,5,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1179
9,9:20.25,Shannon ROWBURY,19 SEP 1984,USA,4,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1168
10,9:20.81,Alemitu HAROYE,09 MAY 1995,ETH,6,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1166
11,9:22.10,Sally KIPYEGO,19 DEC 1985,KEN,5,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1162
12,9:23.32,Belaynesh OLJIRA,26 JUN 1990,ETH,6,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1158
13,9:23.52,Susan KUIJKEN,08 JUL 1986,NED,7,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1158
14,9:24.89,Margaret Wangari MURIUKI,21 MAR 1986,KEN,7,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1153
15,9:26.63,Betsy SAINA,30 JUN 1988,KEN,8,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1148
16,9:28.80,Renata PLIŚ,05 FEB 1985,POL,8,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1141
17,9:30.39,Clémence CALVIN,17 MAY 1990,FRA,9,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1136
18,9:33.47,Maryam Yusuf JAMAL,16 SEP 1984,BRN,10,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1126
19,9:35.05,Jordan HASAY,21 SEP 1991,USA,9,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1122
20,9:40.01,Buze DIRIBA,09 FEB 1994,ETH,10,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1106
21,9:40.04,Maryam Yusuf JAMAL,16 SEP 1984,BRN,11,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1106
22,9:41.76,Gabriele GRUNEWALD,25 JUN 1986,USA,11,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1101
23,9:42.23,Renata PLIŚ,05 FEB 1985,POL,12,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1099
24,9:42.51,Chelsea SODARO,09 MAY 1989,USA,13,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1098
25,9:43.22,Emelia GORECKA,29 JAN 1994,GBR,12,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1096
26,9:44.46,Laura THWEATT,17 DEC 1988,USA,14,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1092
27,9:49.75,Laura WHITTLE,27 JUN 1985,GBR,13,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1076
28,9:52.21,Genevieve LACAZE,04 AUG 1989,AUS,14,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1069
29,9:53.54,Bethan KNIGHTS,28 SEP 1995,USA,1,,"Seattle, WA (USA)",21 JUN 2014,1065
30,9:54.61,Brianna FELNAGLE,09 DEC 1986,USA,15,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1062
31,9:55.05,Hannah DEBALSI,25 FEB 1998,USA,2,,"Seattle, WA (USA)",21 JUN 2014,1060
