Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:53.00,Ericka VANDERLENDE,,USA,1,,"Seattle, WA (USA)",15 JUN 2019,1066
2,9:56.13,Katelynne HART,02 NOV 2001,USA,2,,"Seattle, WA (USA)",15 JUN 2019,1057
3,9:57.54,Brynn BROWN,27 AUG 2003,USA,3,,"Seattle, WA (USA)",15 JUN 2019,1053
4,10:11.99,Sydney MASCIARELLI,18 JUN 2003,USA,1f2,,"Greensboro, NC (USA)",15 JUN 2019,1010
5,10:19.70,Nina LAUWAERT,06 AUG 1988,BEL,1,,Beveren (BEL),30 JUL 2019,987
6,10:20.75,Sydney THORVALDSON,07 MAR 2003,USA,4,,"Seattle, WA (USA)",15 JUN 2019,984
7,10:22.06,Sarah CONNELLY,,USA,2f2,,"Greensboro, NC (USA)",15 JUN 2019,980
8,10:22.29,Emily CARTER,,USA,3f2,,"Greensboro, NC (USA)",15 JUN 2019,979
9,10:23.10,Adelyn ACKLEY,,USA,1f1,,"Greensboro, NC (USA)",15 JUN 2019,977
10,10:23.28,Lauren PING,,USA,2f1,,"Greensboro, NC (USA)",15 JUN 2019,977
11,10:25.01,Jenna HUTCHINS,25 MAR 2004,USA,1f1,,"Knoxville, TN (USA)",19 APR 2019,972
12,10:25.89,Kate DICKOW,,USA,4f2,,"Greensboro, NC (USA)",15 JUN 2019,969
13,10:25.93,Grace CONNOLLY,22 JAN 2001,USA,1,,"Sharon HS, Sharon, MA (USA)",11 MAY 2019,969
14,10:26.87,Sasha NEGLIA,,USA,2f1,,"Knoxville, TN (USA)",19 APR 2019,966
15,10:27.53,Noelle ADRIAENS,,USA,5f2,,"Greensboro, NC (USA)",15 JUN 2019,964
16,10:27.77,Ella KURTO,,USA,6f2,,"Greensboro, NC (USA)",15 JUN 2019,964
17,10:29.03,Abigail VANDERKOOI,,USA,7f2,,"Greensboro, NC (USA)",15 JUN 2019,960
18,10:30.87,Abby LOVEYS,,USA,5,,"Seattle, WA (USA)",15 JUN 2019,955
19,10:34.05,Meagen LOWE,,USA,6,,"Seattle, WA (USA)",15 JUN 2019,946
20,10:34.18,Britt VANTHILLO,30 JUL 1991,BEL,1,,Edegem (BEL),30 JUN 2019,945
21,10:34.58,Lore TACK,06 NOV 1987,BEL,2,,Edegem (BEL),30 JUN 2019,944
22,10:36.15,Alyssa HENDRIX,,USA,3f1,,"Greensboro, NC (USA)",15 JUN 2019,940
23,10:37.55,Leigh WALTERS,,USA,4f1,,"Greensboro, NC (USA)",15 JUN 2019,936
24,10:37.57,Charlotte VAN HESE,27 NOV 1995,BEL,3,,Edegem (BEL),30 JUN 2019,935
25,10:39.49,Emma BUCHER,,USA,3f1,,"Knoxville, TN (USA)",19 APR 2019,930
26,10:40.17,Sophia JACOBS-TOWNSLEY,,USA,8f2,,"Greensboro, NC (USA)",15 JUN 2019,928
27,10:42.52,Kaitlynn WOLFE,,USA,1,,"Richmond, VA (USA)",10 MAY 2019,921
28,10:43.71,Kelsey HARRINGTON,,USA,5f1,,"Greensboro, NC (USA)",15 JUN 2019,918
29,10:43.74,Laura WEBB,,USA,2,,"Richmond, VA (USA)",10 MAY 2019,918
30,10:43.79,Ava PAREKH,,USA,1f2,,"Greensboro, NC (USA)",13 JUN 2019,918
31,10:46.12,Julia TRETHAWAY,,USA,9f2,,"Greensboro, NC (USA)",15 JUN 2019,911
32,10:46.92,Sasha NEGLIA,,USA,10f2,,"Greensboro, NC (USA)",15 JUN 2019,909
33,10:47.72,Bethany GRAHAM,,USA,11f2,,"Greensboro, NC (USA)",15 JUN 2019,907
34,10:48.36,Katrijn VAN DE RIVIERE,19 AUG 1990,BEL,1,,Ertvelde (BEL),17 JUL 2019,905
35,10:48.58,Sarah MURROW,,USA,1f2,,"Greensboro, NC (USA)",15 JUN 2019,904
36,10:49.02,Mary HEINEN,,USA,2f2,,"Greensboro, NC (USA)",15 JUN 2019,903
37,10:49.50,Lauryn MICK,,USA,6f1,,"Greensboro, NC (USA)",15 JUN 2019,902
38,10:49.63,Audrey DADAMIO,,USA,7f1,,"Greensboro, NC (USA)",15 JUN 2019,902
39,10:49.85,Ava HASSEBROCK,,USA,3,,"Richmond, VA (USA)",10 MAY 2019,901
40,10:50.16,Landri WILCOX,,USA,4f1,,"Knoxville, TN (USA)",19 APR 2019,900
41,10:50.67,Tsion YARED,,USA,7,,"Seattle, WA (USA)",15 JUN 2019,899
42,10:51.29,Samantha ROGERS,,USA,1,,"Mobile, AL (USA)",06 APR 2019,897
43,10:51.64,Laura BAEYENS,,USA,8f1,,"Greensboro, NC (USA)",15 JUN 2019,896
44,10:51.88,Riley STEWART,,USA,3f2,,"Greensboro, NC (USA)",15 JUN 2019,895
45,10:52.72,Eva JESS,,USA,4f2,,"Greensboro, NC (USA)",15 JUN 2019,893
46,10:52.89,Alexa KEISER,,USA,1f1,,"Greensboro, NC (USA)",15 JUN 2019,892
47,10:53.14,Jenna ZYDANOWICZ,,USA,2f1,,"Greensboro, NC (USA)",15 JUN 2019,892
48,10:54.33,Ann Marie JONES,,JAM,5f1,,"Knoxville, TN (USA)",19 APR 2019,888
49,10:54.89,Kaylie ARMITAGE,,USA,12f2,,"Greensboro, NC (USA)",15 JUN 2019,887
50,10:56.63,Kelsey HARRINGTON,,USA,4,,"Richmond, VA (USA)",10 MAY 2019,882
51,10:56.90,Rebecca CLARK,21 SEP 2000,USA,8,,"Seattle, WA (USA)",15 JUN 2019,881
52,10:57.21,Zoe SHETTY,,USA,13f2,,"Greensboro, NC (USA)",15 JUN 2019,880
53,10:57.24,Lainey PHELPS,,USA,1f2,,"Mountain Brooks, AL (USA)",13 APR 2019,880
54,10:58.38,Chloe SCRIMGEOUR,,USA,3f1,,"Greensboro, NC (USA)",15 JUN 2019,877
55,10:58.66,Adriana CATALANO,,USA,2f2,,"Greensboro, NC (USA)",13 JUN 2019,877
56,10:58.80,Ava DOBSON,,USA,9f1,,"Greensboro, NC (USA)",15 JUN 2019,876
57,10:59.44,Grace HARTMAN,,USA,5f2,,"Greensboro, NC (USA)",15 JUN 2019,874
58,11:00.11,Caroline WEBB,,USA,6f2,,"Greensboro, NC (USA)",15 JUN 2019,873
59,11:00.79,Elise HALL,16 JAN 2001,USA,10f1,,"Greensboro, NC (USA)",15 JUN 2019,871
60,11:00.84,Madelyn BOYD,,USA,4f1,,"Greensboro, NC (USA)",15 JUN 2019,871
61,11:01.25,McKenna TRAPHEAGEN,,USA,5f1,,"Greensboro, NC (USA)",15 JUN 2019,869
62,11:03.26,Madelynne CADEAU,,USA,7f2,,"Greensboro, NC (USA)",15 JUN 2019,864
63,11:03.92,Maria KAYLOR,,USA,6f1,,"Greensboro, NC (USA)",15 JUN 2019,862
64,11:03.94,Bailey BRINKERHOFF,,USA,14f2,,"Greensboro, NC (USA)",15 JUN 2019,862
65,11:04.44,Anne SCHREURS,03 NOV 1992,BEL,1,,Tessenderlo (BEL),04 SEP 2019,861
66,11:04.47,Makenna VEEN,,USA,8f2,,"Greensboro, NC (USA)",15 JUN 2019,861
67,11:04.58,McKinley WHEELER,,USA,1f2,,"Greensboro, NC (USA)",13 JUN 2019,860
68,11:05.30,Mallory GRUBB,,USA,9f2,,"Greensboro, NC (USA)",15 JUN 2019,858
69,11:05.35,Olive ALLEN,,USA,11f1,,"Greensboro, NC (USA)",15 JUN 2019,858
70,11:07.08,Liza NEELY,,USA,5,,"Richmond, VA (USA)",10 MAY 2019,853
71,11:07.79,Lily JANJIGIAN,,USA,10f2,,"Greensboro, NC (USA)",15 JUN 2019,852
72,11:08.24,Sheridan WHEELER,,USA,2f2,,"Greensboro, NC (USA)",13 JUN 2019,850
73,11:09.24,Aysia MAURICE,2004,CAN,7f1,,"Greensboro, NC (USA)",15 JUN 2019,848
74,11:09.82,Anna PETR,,USA,11f2,,"Greensboro, NC (USA)",15 JUN 2019,846
75,11:10.55,Meghan FORD,,USA,12f1,,"Greensboro, NC (USA)",15 JUN 2019,844
76,11:10.63,Annie ALLEN,,USA,12f2,,"Greensboro, NC (USA)",15 JUN 2019,844
77,11:11.14,Alexis BROOKSHIRE,,USA,13f2,,"Greensboro, NC (USA)",15 JUN 2019,843
78,11:11.53,Ailene EDWARDS,,USA,6,,"Richmond, VA (USA)",10 MAY 2019,841
79,11:11.62,Ava GRAHAM,,USA,8f1,,"Greensboro, NC (USA)",15 JUN 2019,841
80,11:11.84,Erin FEGANS,,USA,2,,"Mobile, AL (USA)",06 APR 2019,841
81,11:12.43,Tori MARIANO,,USA,9f1,,"Greensboro, NC (USA)",15 JUN 2019,839
82,11:12.76,Lindsey BURDETTE,,USA,1f1,,"San Francisco, CA (USA)",30 MAR 2019,838
83,11:12.77,Abby LOPEZ,,USA,15f2,,"Greensboro, NC (USA)",15 JUN 2019,838
84,11:13.44,Kerri WALSH,,USA,7f1,,"Knoxville, TN (USA)",19 APR 2019,836
85,11:15.05,Kelli WILSON,,USA,13f1,,"Greensboro, NC (USA)",15 JUN 2019,832
86,11:16.60,Lucinda DOOGAN,,USA,10f1,,"Greensboro, NC (USA)",15 JUN 2019,828
87,11:18.53,Meghan DAVIS,,USA,3,,"Sharon HS, Sharon, MA (USA)",11 MAY 2019,823
88,11:19.82,Chloe TRUDEL,,USA,14f2,,"Greensboro, NC (USA)",15 JUN 2019,819
