Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:16.78,Jenny SIMPSON,23 AUG 1986,USA,1,,"Des Moines, IA (USA)",27 APR 2018,1179
2,9:31.89,Rachel SCHNEIDER,18 JUL 1991,USA,2,,"Des Moines, IA (USA)",27 APR 2018,1131
3,9:32.82,Brenda MARTINEZ,08 SEP 1987,USA,3,,"Des Moines, IA (USA)",27 APR 2018,1129
4,9:37.86,Stephanie GARCIA,03 MAY 1988,USA,4,,"Des Moines, IA (USA)",27 APR 2018,1113
5,9:51.23,Alexa EFRAIMSON,20 FEB 1997,USA,5,,"Des Moines, IA (USA)",27 APR 2018,1072
6,9:54.0h,Katrina COOGAN,15 NOV 1993,USA,1,,"Chelmsford, MA (USA)",04 JUL 2018,1063
7,9:54.40,Taryn O'NEILL,18 NOV 2000,CAN,1,,"Shoreline, WA (USA)",08 JUN 2018,1062
8,9:54.95,Camila NOE,,USA,2,,"Shoreline, WA (USA)",08 JUN 2018,1061
9,9:55.45,Sara VAUGHN,16 MAY 1986,USA,6,,"Des Moines, IA (USA)",27 APR 2018,1059
10,9:56.40,Katelynne HART,02 NOV 2001,USA,3,,"Shoreline, WA (USA)",08 JUN 2018,1056
11,9:58.10,Shannon OSIKA,15 JUN 1993,USA,7,,"Des Moines, IA (USA)",27 APR 2018,1051
12,9:59.40,Jacqueline GAUGHAN,1999,USA,4,,"Shoreline, WA (USA)",08 JUN 2018,1047
13,9:59.92,Ericka VANDERLENDE,,USA,5,,"Shoreline, WA (USA)",08 JUN 2018,1046
14,10:00.70,Therese HAISS,05 SEP 1995,USA,8,,"Des Moines, IA (USA)",27 APR 2018,1043
15,10:01.28,Alex WILSON,16 JUN 1993,USA,9,,"Des Moines, IA (USA)",27 APR 2018,1041
16,10:02.35,Jessica KAMILOS,03 AUG 1993,USA,10,,"Des Moines, IA (USA)",27 APR 2018,1038
17,10:03.29,London CULBREATH,01 MAR 2002,USA,6,,"Shoreline, WA (USA)",08 JUN 2018,1035
18,10:04.53,Maddy DENNER,31 JUL 2000,USA,1f2,,"Greensboro, NC (USA)",16 JUN 2018,1032
19,10:05.19,Emily COVERT,,USA,2f2,,"Greensboro, NC (USA)",16 JUN 2018,1030
20,10:05.68,Elena DENNER,,USA,3f2,,"Greensboro, NC (USA)",16 JUN 2018,1028
21,10:07.0h,Holly REES,05 JUN 1993,GBR,2,,"Chelmsford, MA (USA)",04 JUL 2018,1024
22,10:07.04,Eleanor FULTON,17 MAY 1993,USA,11,,"Des Moines, IA (USA)",27 APR 2018,1024
23,10:08.73,Erin TESCHUK,25 OCT 1994,CAN,12,,"Des Moines, IA (USA)",27 APR 2018,1019
24,10:09.65,Kelsey CHMIEL,01 AUG 2001,USA,4f2,,"Greensboro, NC (USA)",16 JUN 2018,1017
25,10:14.84,Olivia O'KEEFFE,,USA,7,,"Shoreline, WA (USA)",08 JUN 2018,1001
26,10:21.45,Abbey GREEN,,USA,5f2,,"Greensboro, NC (USA)",16 JUN 2018,982
27,10:21.48,Molly BORN,,USA,8,,"Shoreline, WA (USA)",08 JUN 2018,982
28,10:21.76,Olivia THEIS,25 MAY 2000,USA,6f2,,"Greensboro, NC (USA)",16 JUN 2018,981
29,10:24.46,Victoria STARCHER,23 MAY 2002,USA,7f2,,"Greensboro, NC (USA)",16 JUN 2018,973
30,10:25.45,Jaden THEIS,,USA,8f2,,"Greensboro, NC (USA)",16 JUN 2018,970
31,10:27.41,Rebecca STORY,12 OCT 1999,USA,9,,"Shoreline, WA (USA)",08 JUN 2018,965
32,10:33.65,Katie DAMMER,,USA,10,,"Shoreline, WA (USA)",08 JUN 2018,947
33,10:34.41,Ryann HELMERS,,USA,1f1,,"Greensboro, NC (USA)",16 JUN 2018,944
34,10:40.60,Katherine THRONSON,23 AUG 2000,USA,11,,"Shoreline, WA (USA)",08 JUN 2018,927
35,10:43.29,Sam BUSH,,USA,2f1,,"Greensboro, NC (USA)",16 JUN 2018,919
36,10:43.41,Sarah CONNELLY,,USA,9f2,,"Greensboro, NC (USA)",16 JUN 2018,919
37,10:49.15,Sydney MASCIARELLI,18 JUN 2003,USA,3f1,,"Greensboro, NC (USA)",16 JUN 2018,903
38,10:56.95,Samantha ROGERS,,USA,1,,"Mobile, AL (USA)",07 APR 2018,881
39,10:58.85,Presley MILES,,USA,1f2,,"Birmingham, AL (USA)",13 APR 2018,876
40,10:58.88,Sophia JACOBS-TOWNSLEY,,USA,1,,"Greensboro, NC (USA)",16 JUN 2018,876
41,11:01.71,McKenzie HOUGE,,USA,2,,"Mobile, AL (USA)",07 APR 2018,868
42,11:01.89,Julia PALIN,09 AUG 2000,USA,2,,"Greensboro, NC (USA)",16 JUN 2018,868
43,11:04.25,Presley MILES,,USA,1f1,,"Greensboro, NC (USA)",15 JUN 2018,861
44,11:04.48,Erin FEGANS,,USA,3,,"Mobile, AL (USA)",07 APR 2018,861
45,11:06.40,Lina MAY,,USA,4,,"Mobile, AL (USA)",07 APR 2018,855
46,11:06.84,Rylee PUSTILNIK,2001,USA,3,,"Greensboro, NC (USA)",16 JUN 2018,854
47,11:07.64,Grace JOHNSON,,USA,4,,"Greensboro, NC (USA)",16 JUN 2018,852
48,11:08.47,Anna BRISTLE,13 JAN 2000,USA,5,,"Greensboro, NC (USA)",16 JUN 2018,850
49,11:08.54,Megan USZYNSKI,,USA,5,,"Mobile, AL (USA)",07 APR 2018,850
50,11:10.34,Kylie RAYMOND,,USA,6,,"Greensboro, NC (USA)",16 JUN 2018,845
51,11:11.91,Lauren HENDRY,,USA,6,,"Mobile, AL (USA)",07 APR 2018,840
52,11:12.86,Jenny SEAS,,USA,7,,"Greensboro, NC (USA)",16 JUN 2018,838
53,11:12.88,Erika PLUMMER,,USA,7,,"Mobile, AL (USA)",07 APR 2018,838
53,11:12.88,Meghan DAVIS,,USA,8,,"Greensboro, NC (USA)",16 JUN 2018,838
55,11:14.93,Maddie KLEIN,,USA,9,,"Greensboro, NC (USA)",16 JUN 2018,832
56,11:16.64,Naomi HARDING,,USA,10,,"Greensboro, NC (USA)",16 JUN 2018,828
