Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,10:53.67,Kate HEDLUND,,USA,1,,"Ellington, CT (USA)",29 JUN 2020,890
2,10:54.45,Hannah MINIUTTI,,USA,1,,"Milton HS, Alpharetta, GA (USA)",06 MAR 2020,888
3,11:15.77,Kelly Ann SUTTERFIELD,,USA,2,,"Milton HS, Alpharetta, GA (USA)",06 MAR 2020,830
