Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:42.44,Wakana KABASAWA,24 MAR 1999,JPN,1,,"National Stadium, Tokyo (JPN)",22 APR 2023,1099
2,9:52.64,Mikuni YADA,29 OCT 1999,JPN,2,,"National Stadium, Tokyo (JPN)",22 APR 2023,1068
