Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:51.35,Brie OAKLEY,25 MAR 1999,USA,1,,"Seattle, WA (USA)",17 JUN 2017,1071
2,10:01.18,Claudia LANE,18 MAY 2001,USA,2,,"Seattle, WA (USA)",17 JUN 2017,1042
3,10:04.73,London CULBREATH,01 MAR 2002,USA,3,,"Seattle, WA (USA)",17 JUN 2017,1031
4,10:05.26,Lauren GREGORY,25 JUL 1999,USA,4,,"Seattle, WA (USA)",17 JUN 2017,1030
5,10:10.44,Kelsey CHMIEL,01 AUG 2001,USA,1f2,,"Greensboro, NC (USA)",17 JUN 2017,1014
6,10:14.34,Olivia THEIS,25 MAY 2000,USA,2f2,,"Greensboro, NC (USA)",17 JUN 2017,1003
7,10:14.57,Hayley JACKSON,1999,USA,5,,"Seattle, WA (USA)",17 JUN 2017,1002
8,10:19.29,Katelynne HART,02 NOV 2001,USA,6,,"Seattle, WA (USA)",17 JUN 2017,988
9,10:19.31,Emily VENTERS,06 JUN 1999,USA,7,,"Seattle, WA (USA)",17 JUN 2017,988
10,10:19.85,Clara SAVCHIK,31 AUG 2000,USA,8,,"Seattle, WA (USA)",17 JUN 2017,987
11,10:22.65,Jessica LAWSON,25 JAN 1999,USA,3f2,,"Greensboro, NC (USA)",17 JUN 2017,978
12,10:25.50,India JOHNSON,,USA,9,,"Seattle, WA (USA)",17 JUN 2017,970
13,10:33.12,Rachel VICK,,USA,4f2,,"Greensboro, NC (USA)",17 JUN 2017,948
14,10:33.44,Erika ADLER,,USA,10,,"Seattle, WA (USA)",17 JUN 2017,947
15,10:36.58,Ella KETCHUM,,USA,5f2,,"Greensboro, NC (USA)",17 JUN 2017,938
16,10:37.21,Grace MCLAUGHLIN,,USA,6f2,,"Greensboro, NC (USA)",17 JUN 2017,936
17,10:38.52,Kayla WINDEMULLER,01 AUG 2000,USA,7f2,,"Greensboro, NC (USA)",17 JUN 2017,933
18,10:38.94,Jaden THEIS,,USA,1f1,,"Greensboro, NC (USA)",17 JUN 2017,932
19,10:39.07,Jacqueline GAUGHAN,1999,USA,11,,"Seattle, WA (USA)",17 JUN 2017,931
20,10:39.70,Rebecca STORY,12 OCT 1999,USA,12,,"Seattle, WA (USA)",17 JUN 2017,929
21,10:43.12,Marlee STARLIPER,21 JUL 2002,USA,8f2,,"Greensboro, NC (USA)",17 JUN 2017,920
22,10:44.46,Mia NAHOM,27 FEB 1999,USA,2f1,,"Greensboro, NC (USA)",17 JUN 2017,916
23,10:49.04,Niamh HAYES,,USA,9f2,,"Greensboro, NC (USA)",17 JUN 2017,903
24,10:49.61,Rebecca DURHAM,,USA,1f1,,"Greensboro, NC (USA)",17 JUN 2017,902
25,10:50.16,Anna FENSKE,,USA,3f1,,"Greensboro, NC (USA)",17 JUN 2017,900
26,10:51.40,Nicole FEGANS,,USA,1,,"Mobile, AL (USA)",01 APR 2017,897
27,10:54.74,Danielle ORIE,13 JAN 1999,USA,4f1,,"Greensboro, NC (USA)",17 JUN 2017,887
28,10:54.92,Abigail GREEN,,USA,10f2,,"Greensboro, NC (USA)",17 JUN 2017,887
29,10:55.11,Grace CONNOLLY,22 JAN 2001,USA,5f1,,"Greensboro, NC (USA)",17 JUN 2017,886
30,10:55.19,Isabel ZIMMERMANN,,USA,2f1,,"Greensboro, NC (USA)",17 JUN 2017,886
31,10:55.73,Morgan Claire ROSE,,USA,1f2,,"Greensboro, NC (USA)",17 JUN 2017,885
32,10:58.17,Brianna O'BRIEN,25 MAR 1999,USA,6f1,,"Greensboro, NC (USA)",17 JUN 2017,878
33,10:58.91,Sara LEATHERWOOD,,USA,2f2,,"Greensboro, NC (USA)",17 JUN 2017,876
34,10:59.06,Victoria STARCHER,23 MAY 2002,USA,7f1,,"Greensboro, NC (USA)",17 JUN 2017,875
35,11:02.53,Presley MILES,,USA,2,,"Mobile, AL (USA)",01 APR 2017,866
36,11:02.83,Kaitlynn WOLFE,,USA,1,,"Greensboro, NC (USA)",16 JUN 2017,865
37,11:06.43,Samantha ROGERS,,USA,3,,"Mobile, AL (USA)",01 APR 2017,855
