Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,19.55,-0.1,Usain BOLT,21 AUG 1986,JAM,1,,"National Stadium, Beijing (CHN)",27 AUG 2015,1292
2,19.57,+0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1289
3,19.80,+2.0,Rasheed DWYER,29 JAN 1989,JAM,1sf1,,"CIBC, Toronto (CAN)",23 JUL 2015,1252
4,19.87,-0.1,Anaso JOBODWANA,30 JUL 1992,RSA,3,,"National Stadium, Beijing (CHN)",27 AUG 2015,1241
4,19.87,-0.1,Alonso EDWARD,08 DEC 1989,PAN,4,,"National Stadium, Beijing (CHN)",27 AUG 2015,1241
6,19.88,+0.3,Andre DE GRASSE,10 NOV 1994,CAN,1,,"CIBC, Toronto (CAN)",24 JUL 2015,1239
6,19.88,-0.4,Ramil GULIYEV,29 MAY 1990,TUR,1,,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2015,1241
8,19.93,+0.4,Isiah YOUNG,05 JAN 1990,USA,2,,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1231
9,19.94,+0.6,Wayde VAN NIEKERK,15 JUL 1992,RSA,1f2,,Luzern (SUI),14 JUL 2015,1229
10,19.97,-0.4,Femi OGUNODE,15 MAY 1991,QAT,1,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1227
11,19.99,+0.6,Dedric DUKES,04 FEB 1992,USA,1,,"Starkville, MS (USA)",16 MAY 2015,1222
12,20.02,+1.5,Ameer WEBB,19 MAR 1991,USA,1f1,,"Norwalk, CA (USA)",06 JUN 2015,1217
12,20.02,+0.3,Roberto SKYERS,12 NOV 1991,CUB,4,,"CIBC, Toronto (CAN)",24 JUL 2015,1217
12,20.02,-0.1,Zharnel HUGHES,13 JUL 1995,GBR,5,,"National Stadium, Beijing (CHN)",27 AUG 2015,1217
15,20.03,+2.0,Trayvon BROMELL,10 JUL 1995,USA,1sf3,,"Eugene, OR (USA)",10 JUN 2015,1215
15,20.03,+2.0,Wallace SPEARMON,24 DEC 1984,USA,2sf1,,"CIBC, Toronto (CAN)",23 JUL 2015,1215
17,20.04,+1.1,Julian FORTE,07 JAN 1993,JAM,1sf2,,Kingston (JAM),27 JUN 2015,1214
18,20.05,+2.0,Miguel FRANCIS,28 MAR 1995,ANT,3sf1,,"CIBC, Toronto (CAN)",23 JUL 2015,1212
19,20.09,+0.8,Lykourgos-Stefanos TSAKONAS,08 MAR 1990,GRE,1,,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1206
20,20.11,+0.4,Beejay LEE,05 MAR 1993,USA,4,,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1203
21,20.12,+1.5,Remontay MCCLAIN,21 SEP 1992,USA,2f1,,"Norwalk, CA (USA)",06 JUN 2015,1201
22,20.13,+0.6,Kenji FUJIMITSU,01 MAY 1986,JPN,3f2,,Luzern (SUI),14 JUL 2015,1200
23,20.14,+1.9,Carvin NKANATA,06 MAY 1991,KEN,1f1,,"Clermont, FL (USA)",18 APR 2015,1198
23,20.14,+1.0,Kei TAKASE,25 NOV 1988,JPN,1,,Kumagaya (JPN),17 MAY 2015,1198
23,20.14,+2.0,Tevin HESTER,10 JAN 1994,USA,2sf3,,"Eugene, OR (USA)",10 JUN 2015,1198
26,20.16,+1.8,Terrel COTTON,19 JUL 1988,USA,2h5,,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1195
27,20.17,+1.8,Tremayne ACY,21 JAN 1995,USA,2sf2,,"Eugene, OR (USA)",10 JUN 2015,1193
28,20.18,+0.9,Nickel ASHMEADE,07 APR 1990,JAM,3,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1192
28,20.18,+1.8,Noah LYLES,18 JUL 1997,USA,1,,"Eugene, OR (USA)",27 JUN 2015,1192
28,20.18,-0.4,Brendon RODNEY,09 APR 1992,CAN,3h5,,"National Stadium, Beijing (CHN)",25 AUG 2015,1194
31,20.20,+0.4,Churandy MARTINA,03 JUL 1984,NED,3sf1,,"National Stadium, Beijing (CHN)",26 AUG 2015,1189
32,20.21,-1.2,Christophe LEMAITRE,11 JUN 1990,FRA,1,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1194
33,20.22,+1.3,Aaron ERNEST,08 NOV 1993,USA,1qf3,,"Jacksonville, FL (USA)",30 MAY 2015,1186
33,20.22,+1.0,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,4sf2,,"CIBC, Toronto (CAN)",23 JUL 2015,1186
35,20.23,+0.6,Shavez HART,06 SEP 1992,BAH,2,,"Starkville, MS (USA)",16 MAY 2015,1184
35,20.23,-0.4,Akani SIMBINE,21 SEP 1993,RSA,4h5,,"National Stadium, Beijing (CHN)",25 AUG 2015,1186
37,20.24,+1.8,Michael NORMAN,03 DEC 1997,USA,2,,"Eugene, OR (USA)",27 JUN 2015,1182
37,20.24,-0.1,Warren WEIR,31 OCT 1989,JAM,2h6,,"National Stadium, Beijing (CHN)",25 AUG 2015,1182
39,20.25,+1.8,Harry ADAMS,27 NOV 1989,USA,3h5,,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1181
40,20.26,+1.8,Kendal WILLIAMS,23 SEP 1995,USA,2,,"Tallahassee, FL (USA)",16 MAY 2015,1179
41,20.27,+0.8,Daniel TALBOT,01 MAY 1991,GBR,6sf3,,"National Stadium, Beijing (CHN)",26 AUG 2015,1178
42,20.29,-0.1,Justin WALKER,30 NOV 1990,USA,1f2,,"Montverde, FL (USA)",06 JUN 2015,1175
42,20.29,+1.8,Kahlil HENDERSON,18 NOV 1994,USA,3sf2,,"Eugene, OR (USA)",10 JUN 2015,1175
44,20.30,+1.8,Bryce ROBINSON,13 NOV 1993,USA,1f1,,"Lubbock, TX (USA)",30 APR 2015,1173
44,20.30,+1.8,Aldrich BAILEY JR,06 FEB 1994,USA,2f1,,"Austin, TX (USA)",02 MAY 2015,1173
44,20.30,+0.7,Aaron BROWN,27 MAY 1992,CAN,3f1,,"National Stadium, Kingston (JAM)",09 MAY 2015,1173
47,20.31,-0.4,Jeremy DODSON,30 AUG 1987,SAM,5h5,,"National Stadium, Beijing (CHN)",25 AUG 2015,1174
48,20.32,+2.0,Reynier MENA,21 NOV 1996,CUB,5sf1,,"CIBC, Toronto (CAN)",23 JUL 2015,1170
49,20.33,0.0,José Carlos HERRERA,05 FEB 1986,MEX,1h1,,Ciudad de México (MEX),29 MAR 2015,1169
50,20.34,+1.4,Timothy FAUST,1992,USA,1,,"East Lansing, MI (USA)",17 MAY 2015,1167
50,20.34,+2.0,Teray SMITH,28 SEP 1994,BAH,5sf3,,"Eugene, OR (USA)",10 JUN 2015,1167
50,20.34,-0.4,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1,,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1169
53,20.36,+1.0,Curtis MITCHELL,11 MAR 1989,USA,1h4,,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1164
54,20.37,-1.9,Bernardo BALOYES,06 JAN 1994,COL,2f2,,Medellín (COL),09 MAY 2015,1173
54,20.37,+1.4,D.J. ZAHN,31 JAN 1993,USA,2,,"East Lansing, MI (USA)",17 MAY 2015,1162
54,20.37,+1.8,Sean MCLEAN,23 MAR 1992,USA,4h5,,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1162
57,20.38,+0.4,Jeffrey JOHN,06 JUN 1992,FRA,1f1,,Paris (FRA),05 JUL 2015,1161
57,20.38,-1.1,Jak Ali HARVEY,04 MAY 1989,TUR,1,,Ankara (TUR),05 SEP 2015,1167
59,20.39,+0.6,Cameron ECHOLS-LUPER,09 APR 1995,USA,1h1,,"Ames, IA (USA)",16 MAY 2015,1159
59,20.39,+1.5,Bryshon NELLUM,01 MAY 1989,USA,3f1,,"Norwalk, CA (USA)",06 JUN 2015,1159
59,20.39,+1.6,Tyquendo TRACEY,10 JUN 1993,JAM,2sf1,,Kingston (JAM),27 JUN 2015,1159
59,20.39,-0.3,Wilfried KOFFI HUA,12 OCT 1987,CIV,4h1,,"National Stadium, Beijing (CHN)",25 AUG 2015,1160
63,20.40,+0.3,Michael MATHIEU,24 JUN 1984,BAH,1f1,,"Coral Gables, FL (USA)",11 APR 2015,1158
63,20.40,0.0,Delano WILLIAMS,23 DEC 1993,GBR,4,,George Town (CAY),16 MAY 2015,1158
65,20.41,+1.6,Bruno DE BARROS,07 JAN 1987,BRA,2h2,,"CIBC, Toronto (CAN)",23 JUL 2015,1156
66,20.42,+0.9,Tre HOUSTON,23 MAR 1990,BER,1,,"San Marcos, TX (USA)",05 JUN 2015,1155
66,20.42,-0.2,Jimmy VICAUT,27 FEB 1992,FRA,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",14 JUN 2015,1156
66,20.42,+1.4,Shota IIZUKA,25 JUN 1991,JPN,1h3,,Nagoya (JPN),26 JUN 2015,1155
66,20.42,+1.7,Kyle GREAUX,26 APR 1988,TTO,1f2,,Port-of-Spain (TTO),28 JUN 2015,1155
66,20.42,+0.2,Mosito LEHATA,08 APR 1989,LES,2,,"Stade Raymond Petit, Tomblaine (FRA)",01 JUL 2015,1155
66,20.42,+1.0,Julian REUS,29 APR 1988,GER,1,,Nürnberg (GER),26 JUL 2015,1155
72,20.43,+0.6,Joseph MORRIS,04 OCT 1989,USA,f2,,"Tempe, AZ (USA)",11 APR 2015,1153
73,20.44,+0.3,Aldemir JUNIOR,08 JUN 1992,BRA,1,,Sao Bernardo do Campo (BRA),17 MAY 2015,1152
74,20.45,+0.9,Karol ZALEWSKI,07 AUG 1993,POL,1f1,,Gdansk (POL),06 JUN 2015,1150
74,20.45,-0.9,Serhiy SMELYK,19 APR 1987,UKR,1f2,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1155
74,20.45,+0.7,Jonathan BORLÉE,22 FEB 1988,BEL,1,,Heusden-Zolder (BEL),18 JUL 2015,1150
74,20.45,+0.8,Julius MORRIS,14 APR 1994,MNT,2sf2,,San José (CRC),07 AUG 2015,1150
74,20.45,+0.8,Tega ODELE,06 DEC 1995,NGR,1h6,,Brazzaville (CGO),16 SEP 2015,1150
74,20.45,-1.2,Divine ODUDURU,07 OCT 1996,NGR,2,,Brazzaville (CGO),17 SEP 2015,1157
80,20.46,-0.1,Rondel SORRILLO,24 JAN 1986,TTO,1f4,,"Gainesville, FL (USA)",03 APR 2015,1149
80,20.46,-0.1,Just'N THYMES,24 JAN 1994,USA,1f4,,"Gainesville, FL (USA)",03 APR 2015,1149
80,20.46,+1.6,Ahmed ALI,15 NOV 1993,USA,1f1,,"Norman, OK (USA)",18 APR 2015,1149
80,20.46,+1.0,Maurice MITCHELL,22 DEC 1989,USA,2h4,,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1149
80,20.46,+1.8,Ryan CLARK,14 SEP 1996,USA,3,,"Eugene, OR (USA)",27 JUN 2015,1149
85,20.47,+0.8,Chijindu UJAH,05 MAR 1994,GBR,4,,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1147
85,20.47,+2.0,Senoj-Jay GIVANS,30 DEC 1993,JAM,6sf3,,"Eugene, OR (USA)",10 JUN 2015,1147
85,20.47,+1.8,Antoine ADAMS,31 AUG 1988,SKN,3,,San José (CRC),09 AUG 2015,1147
88,20.48,+1.8,Mike Mokamba NYANG'AU,28 AUG 1996,KEN,1,,Nairobi (KEN),01 AUG 2015,1146
