Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:22.85,Edinah JEBITOK,10 NOV 2001,KEN,1,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1171
2,4:24.29,Ksanet ALEM,27 JUN 2004,ETH,2,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1161
3,4:25.78,Marta PÉREZ,19 APR 1993,ESP,3,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1150
4,4:26.08,Abby NICHOLS,,USA,1,,"Saint Louis University High School, Saint Louis, MO (USA)",01 JUN 2023,1148
5,4:26.52,Kristlin GEAR,20 JUL 1999,USA,2,,"Saint Louis University High School, Saint Louis, MO (USA)",01 JUN 2023,1144
6,4:27.67,Alex TEUBEL,16 JUN 1993,USA,3,,"Saint Louis University High School, Saint Louis, MO (USA)",01 JUN 2023,1136
7,4:28.62,Weronika LIZAKOWSKA,02 NOV 1998,POL,4,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1129
8,4:28.89,Berenice CLEYET-MERLE,24 OCT 1994,FRA,5,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1127
9,4:30.27,Georgia GRIFFITH,05 DEC 1996,AUS,,,"Cooks Gardens, Wanganui (NZL)",28 JAN 2023,1117
10,4:30.53,Jennifer RANDALL,,USA,4,,"Saint Louis University High School, Saint Louis, MO (USA)",01 JUN 2023,1115
11,4:30.74,Aleksandra PŁOCIŃSKA,05 OCT 1999,POL,6,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1114
12,4:32.30,Sarah BILLINGS,07 MAR 1998,AUS,,,"Cooks Gardens, Wanganui (NZL)",28 JAN 2023,1103
13,4:32.44,Mebriht MEKONEN,12 FEB 2005,ETH,7,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1102
14,4:32.73,Nozomi TANAKA,04 SEP 1999,JPN,1,,"National Stadium, Tokyo (JPN)",22 APR 2023,1099
15,4:32.91,Laura PELLICORO,24 DEC 2000,ITA,1f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1098
16,4:32.92,Rebekah GREENE,26 DEC 1993,NZL,1,,"Cooks Gardens, Wanganui (NZL)",28 JAN 2023,1098
17,4:33.24,Sophie O'SULLIVAN,23 DEC 2001,IRL,1f9,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1096
18,4:33.41,Anna GIBSON,,USA,2f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1095
19,4:33.53,Juliette WHITTAKER,01 DEC 2003,USA,3f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1094
20,4:33.77,Olivia HOWELL,2001,USA,1,,"Loftus Sports Center, South Bend, IN (USA)",04 FEB 2023,1092
21,4:33.84,Jennifer RANDALL,,USA,1,,"Hayward Field, Eugene, OR (USA)",21 APR 2023,1092
22,4:33.87,Kaylee MITCHELL,,USA,4f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1091
23,4:34.00,Olivia MARKEZICH,,USA,2,,"Loftus Sports Center, South Bend, IN (USA)",04 FEB 2023,1090
24,4:34.10,Isabella THORNTON-BOTT,14 MAR 1998,AUS,1f6,,"Dempsey Indoor, Seattle, WA (USA)",28 JAN 2023,1090
25,4:34.15,Abbe GOLDSTEIN,18 JUN 1999,USA,2f9,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1089
26,4:34.27,Laura PELLICORO,24 DEC 2000,ITA,2f6,,"Dempsey Indoor, Seattle, WA (USA)",28 JAN 2023,1088
27,4:34.32,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,5f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1088
28,4:34.37,Stefanie PARSONS,1999,CAN,3f9,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1088
29,4:34.83,Lexy HALLADAY,23 JUL 2001,USA,1f3,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1084
30,4:34.93,Mia BARNETT,04 SEP 2003,USA,6f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1084
31,4:34.94,Carina VILJOEN,15 APR 1997,RSA,1,,"Green Point Stadium, Cape Town (RSA)",24 APR 2023,1084
32,4:35.07,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,4f9,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1083
33,4:35.25,Maddy ELMORE,,USA,2f3,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1081
34,4:35.37,Laura PELLICORO,24 DEC 2000,ITA,5f9,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1081
35,4:35.48,Olivia HOWELL,2001,USA,1,,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2023,1080
36,4:35.65,Kayley DELAY,,USA,3f3,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1079
37,4:35.66,Alicja KONIECZEK,02 NOV 1994,POL,3f6,,"Dempsey Indoor, Seattle, WA (USA)",28 JAN 2023,1079
38,4:35.88,Laurie BARTON,13 FEB 1998,USA,2,,"Hayward Field, Eugene, OR (USA)",21 APR 2023,1077
39,4:36.33,Allison CASH,01 NOV 1994,USA,3,,"Hayward Field, Eugene, OR (USA)",21 APR 2023,1074
40,4:36.34,Sadie SARGENT,,USA,7f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1074
41,4:36.69,Allison CASH,01 NOV 1994,USA,4f6,,"Dempsey Indoor, Seattle, WA (USA)",28 JAN 2023,1071
42,4:36.74,Riley CHAMBERLAIN,,USA,8f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1071
43,4:36.75,Alexandra CARLSON,,USA,2,,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2023,1071
44,4:37.06,Angelina ELLIS,,USA,3,,"Loftus Sports Center, South Bend, IN (USA)",04 FEB 2023,1069
45,4:37.34,Katherine THRONSON,23 AUG 2000,USA,4,,"Loftus Sports Center, South Bend, IN (USA)",04 FEB 2023,1067
46,4:37.36,Sophie O'SULLIVAN,23 DEC 2001,IRL,9f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1067
47,4:37.52,Valerie CONSTIEN,21 MAR 1996,USA,1,,"Colorado-Indoor Practice Facility, Boulder, CO (USA)",27 JAN 2023,1065
48,4:37.66,Katie MCCUNE,,USA,5,,"Saint Louis University High School, Saint Louis, MO (USA)",01 JUN 2023,1064
49,4:37.77,Taylor ROHATINKSY,,USA,10f4,,"Dempsey Indoor, Seattle, WA (USA)",25 FEB 2023,1064
50,4:37.79,Tatum DAVID,,USA,6,,"Saint Louis University High School, Saint Louis, MO (USA)",01 JUN 2023,1064
51,4:38.11,Katelyn MITCHEM,,USA,1f6,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1061
52,4:38.29,Marisa HOWARD,10 AUG 1992,USA,6f9,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1060
53,4:38.35,Maggi CONGDON,,USA,1f8,,"Dempsey Indoor, Seattle, WA (USA)",11 FEB 2023,1060
54,4:38.46,Maddy ELMORE,,USA,5f6,,"Dempsey Indoor, Seattle, WA (USA)",28 JAN 2023,1059
55,4:38.53,Sadie ENGELHARDT,21 AUG 2006,USA,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2023,1058
56,4:38.89,Anna JUUL,18 NOV 1998,DEN,3,,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2023,1056
57,4:39.00,Tiana LOSTRACCO,08 NOV 2001,CAN,5,,"Loftus Sports Center, South Bend, IN (USA)",04 FEB 2023,1055
