Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:16.71,Faith KIPYEGON,10 JAN 1994,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1217
2,4:18.20,Sifan HASSAN,01 JAN 1993,NED,2,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1206
3,4:22.10,Shannon ROWBURY,19 SEP 1984,USA,3,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1177
4,4:22.18,Jenny SIMPSON,23 AUG 1986,USA,4,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1176
5,4:22.67,Mercy CHERONO,07 MAY 1991,KEN,5,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1173
6,4:23.07,Abeba AREGAWI,05 JUL 1990,SWE,6,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1170
7,4:23.50,Rababe ARAFI,12 JAN 1991,MAR,7,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1167
8,4:24.31,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,8,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1161
9,4:25.32,Renata PLIŚ,05 FEB 1985,POL,9,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1153
10,4:25.79,Fiona BENSON,25 MAY 1992,CAN,1,,"Portland, OR (USA)",08 AUG 2015,1150
11,4:26.84,Axumawit EMBAYE,18 OCT 1994,ETH,10,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1142
12,4:27.32,Sofia ENNAOUI,30 AUG 1995,POL,11,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1139
13,4:28.66,Nancy CHEPKWEMOI,08 OCT 1993,KEN,12,,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1129
14,4:28.84,Stephanie GARCIA,03 MAY 1988,USA,1,,"Raleigh, NC (USA)",07 AUG 2015,1127
15,4:29.06,Amanda ECCLESTON,18 JUN 1990,USA,2,,"Raleigh, NC (USA)",07 AUG 2015,1126
16,4:29.39,Heather WILSON,13 JUN 1990,USA,3,,"Raleigh, NC (USA)",07 AUG 2015,1123
17,4:29.99,Amanda ECCLESTON,18 JUN 1990,USA,1,,"Huntington, NY (USA)",09 SEP 2015,1119
18,4:30.24,Kerri GALLAGHER,31 MAY 1989,USA,2,,"Huntington, NY (USA)",09 SEP 2015,1117
19,4:30.37,Heather KAMPF,19 JAN 1987,USA,3,,"Huntington, NY (USA)",09 SEP 2015,1116
20,4:30.43,Gabriele GRUNEWALD,25 JUN 1986,USA,2,,"Portland, OR (USA)",08 AUG 2015,1116
21,4:30.64,Ciara MAGEEAN,12 MAR 1992,IRL,1,,Dublin (IRL),24 JUL 2015,1114
22,4:31.04,Rachel SCHNEIDER,18 JUL 1991,USA,1,,"West Chester, PA (USA)",13 AUG 2015,1112
23,4:31.19,Heather WILSON,13 JUN 1990,USA,2,,Dublin (IRL),24 JUL 2015,1110
24,4:31.4h,Nicole TULLY,30 OCT 1986,USA,1,,"Concord, MA (USA)",04 JUN 2015,1109
24,4:31.4h,Hannah FIELDS,04 FEB 1993,USA,2,,"Concord, MA (USA)",04 JUN 2015,1109
26,4:31.79,Shelby HOULIHAN,08 FEB 1993,USA,3,,Dublin (IRL),24 JUL 2015,1106
27,4:31.8h,Rachel SCHNEIDER,18 JUL 1991,USA,3,,"Concord, MA (USA)",04 JUN 2015,1106
28,4:31.93,Kate VAN BUSKIRK,09 JUN 1987,CAN,4,,Dublin (IRL),24 JUL 2015,1105
29,4:32.0h,Amanda ECCLESTON,18 JUN 1990,USA,4,,"Concord, MA (USA)",04 JUN 2015,1105
30,4:32.1h,Cory Ann MCGEE,29 MAY 1992,USA,5,,"Concord, MA (USA)",04 JUN 2015,1104
31,4:32.32,Ashley HIGGINSON,17 MAR 1989,USA,3,,"West Chester, PA (USA)",13 AUG 2015,1102
32,4:32.39,Genevieve LACAZE,04 AUG 1989,AUS,5,,Dublin (IRL),24 JUL 2015,1102
33,4:32.4h,Emily LIPARI,19 NOV 1992,USA,6,,"Concord, MA (USA)",04 JUN 2015,1102
34,4:32.6h,Genevieve LACAZE,04 AUG 1989,AUS,7,,"Concord, MA (USA)",04 JUN 2015,1100
35,4:32.7h,Dana MECKE,20 SEP 1987,USA,8,,"Concord, MA (USA)",04 JUN 2015,1100
35,4:32.7h,Heather WILSON,13 JUN 1990,USA,8,,"Concord, MA (USA)",04 JUN 2015,1100
37,4:32.8h,Gabriela STAFFORD,13 SEP 1995,CAN,10,,"Concord, MA (USA)",04 JUN 2015,1099
38,4:33.05,Heather WILSON,13 JUN 1990,USA,2,,"West Chester, PA (USA)",13 AUG 2015,1097
39,4:33.43,Treniere MOSER,27 OCT 1981,USA,4,,"Huntington, NY (USA)",09 SEP 2015,1094
40,4:33.86,Heather WILSON,13 JUN 1990,USA,5,,"Huntington, NY (USA)",09 SEP 2015,1091
41,4:34.02,Morgan UCENY,10 MAR 1985,USA,4,,"Raleigh, NC (USA)",07 AUG 2015,1090
42,4:34.42,Kerri GALLAGHER,31 MAY 1989,USA,1,,"Philadelphia, PA (USA)",25 APR 2015,1087
43,4:34.9h,Amanda MERGAERT,04 SEP 1991,USA,11,,"Concord, MA (USA)",04 JUN 2015,1084
44,4:35.1h,Kristy LEGG,08 FEB 1990,GBR,12,,"Concord, MA (USA)",04 JUN 2015,1083
