Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:12.33,Sifan HASSAN,01 JAN 1993,NED,1,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1250
2,4:17.60,Laura WEIGHTMAN,01 JUL 1991,GBR,2,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1210
3,4:17.87,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,3,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1208
4,4:18.31,Gudaf TSEGAY,23 JUN 1997,ETH,4,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1205
5,4:18.42,Rababe ARAFI,12 JAN 1991,MAR,5,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1204
6,4:18.58,Axumawit EMBAYE,18 OCT 1994,ETH,6,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1203
7,4:18.65,Winnie NANYONDO,23 AUG 1993,UGA,7,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1203
8,4:19.03,Ciara MAGEEAN,12 MAR 1992,IRL,8,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1200
9,4:20.91,Rachel SCHNEIDER,18 JUL 1991,USA,9,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1186
10,4:21.11,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1184
11,4:22.47,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,2,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1174
12,4:23.35,Alemaz SAMUEL,05 JUL 1999,ETH,10,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1168
13,4:24.71,Eilish MCCOLGAN,25 NOV 1990,GBR,3,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1158
14,4:24.72,Linden HALL,20 JUN 1991,AUS,4,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1158
15,4:24.93,Jessica HULL,22 OCT 1996,AUS,5,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1156
16,4:26.14,Aisha PRAUGHT-LEER,14 DEC 1989,JAM,11,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1147
17,4:27.00,Jemma REEKIE,06 MAR 1998,GBR,6,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1141
18,4:27.76,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,12,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1135
