Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:16.05,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1222
2,4:16.56,Hellen OBIRI,13 DEC 1989,KEN,1,,"Olympic Stadium, London (GBR)",09 JUL 2017,1218
3,4:18.03,Laura MUIR,09 MAY 1993,GBR,2,,"Olympic Stadium, London (GBR)",09 JUL 2017,1207
4,4:19.55,Winny CHEBET,20 DEC 1990,KEN,3,,"Olympic Stadium, London (GBR)",09 JUL 2017,1196
5,4:19.58,Angelika CICHOCKA,15 MAR 1988,POL,4,,"Olympic Stadium, London (GBR)",09 JUL 2017,1196
6,4:19.98,Jenny SIMPSON,23 AUG 1986,USA,5,,"Olympic Stadium, London (GBR)",09 JUL 2017,1193
7,4:20.88,Laura WEIGHTMAN,01 JUL 1991,GBR,6,,"Olympic Stadium, London (GBR)",09 JUL 2017,1186
8,4:22.40,Ciara MAGEEAN,12 MAR 1992,IRL,7,,"Olympic Stadium, London (GBR)",09 JUL 2017,1175
9,4:23.15,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,8,,"Olympic Stadium, London (GBR)",09 JUL 2017,1169
10,4:23.96,Linden HALL,20 JUN 1991,AUS,9,,"Olympic Stadium, London (GBR)",09 JUL 2017,1163
11,4:24.01,Kate GRACE,24 OCT 1988,USA,10,,"Olympic Stadium, London (GBR)",09 JUL 2017,1163
12,4:24.68,Stephanie GARCIA,03 MAY 1988,USA,11,,"Olympic Stadium, London (GBR)",09 JUL 2017,1158
13,4:25.15,Nelly JEPKOSGEI,14 JUL 1991,BRN,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1154
14,4:25.39,Stephanie TWELL,17 AUG 1989,GBR,12,,"Olympic Stadium, London (GBR)",09 JUL 2017,1153
15,4:25.89,Claudia Mihaela BOBOCEA,11 JUN 1992,ROU,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1149
15,4:25.89,Katie SNOWDEN,09 MAR 1994,GBR,13,,"Olympic Stadium, London (GBR)",09 JUL 2017,1149
17,4:26.42,Malika AKKAOUI,25 DEC 1987,MAR,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1145
18,4:27.51,Margherita MAGNANI,26 FEB 1987,ITA,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1137
19,4:27.79,Caroline CHEPKEMOI,01 MAR 1993,KEN,6,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1135
20,4:28.14,Axumawit EMBAYE,18 OCT 1994,ETH,7,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1133
21,4:28.16,Esther CHEBET,09 OCT 1997,UGA,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1132
