Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:29.35,Katharina TROST,28 JUN 1995,GER,1,,"Stadion Manfort, Leverkusen (GER)",16 AUG 2020,1124
2,4:31.73,Marta PEN FREITAS,31 JUL 1993,POR,1,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1107
3,4:31.91,Caterina GRANZ,14 MAR 1994,GER,2,,"Stadion Manfort, Leverkusen (GER)",16 AUG 2020,1105
4,4:32.26,Marta PÉREZ,19 APR 1993,ESP,2,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1103
5,4:32.50,Nadia POWER,11 JAN 1998,IRL,3,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1101
6,4:32.72,Emma COBURN,19 OCT 1990,USA,1,,"Colorado Mesa Univ., Grand Junction, CO (USA)",27 JUN 2020,1100
7,4:33.02,Simona VRZALOVÁ,07 APR 1988,CZE,1,,"Vitkovice, Ostrava (CZE)",02 SEP 2020,1097
8,4:33.39,Cory Ann MCGEE,29 MAY 1992,USA,2,,"Colorado Mesa Univ., Grand Junction, CO (USA)",27 JUN 2020,1095
9,4:33.57,Keely SMALL,09 JUN 2001,AUS,1f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1093
10,4:34.05,Jenny BLUNDELL,09 MAY 1994,AUS,2f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1090
11,4:34.24,Mariana MACHADO,12 NOV 2000,POR,4,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1089
12,4:34.40,Águeda MARQUÉS,19 MAR 1999,ESP,5,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1088
13,4:34.50,Danielle JONES,21 AUG 1996,USA,3,,"Colorado Mesa Univ., Grand Junction, CO (USA)",27 JUN 2020,1087
14,4:34.82,Klaudia KAZIMIERSKA,03 SEP 2001,POL,1,,"Stadion Iskra, Bialogard (POL)",26 SEP 2020,1085
15,4:35.20,Alina REH,23 MAY 1997,GER,3,,"Stadion Manfort, Leverkusen (GER)",16 AUG 2020,1082
16,4:35.42,Lucía RODRÍGUEZ,26 JUL 1998,ESP,6,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1080
17,4:36.31,Celia ANTÓN,23 JAN 1997,ESP,7,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1074
18,4:36.44,Giulia APRILE,11 OCT 1995,ITA,1,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1073
19,4:38.33,Aisha PRAUGHT-LEER,14 DEC 1989,JAM,4,,"Colorado Mesa Univ., Grand Junction, CO (USA)",27 JUN 2020,1060
20,4:38.48,Vera HOFFMANN,02 NOV 1996,LUX,1,,"Stade Municipal, Diekirch (LUX)",22 AUG 2020,1059
21,4:39.23,Imogen GARDINER,23 AUG 2002,AUS,3f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1053
22,4:39.42,Micol MAJORI,04 JUN 1998,ITA,2,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1052
23,4:39.71,Kate SPENCER,23 JUN 1995,AUS,4f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1050
24,4:39.99,Imogen STEWART,27 JUL 2005,AUS,5f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1048
25,4:40.02,Klara LUKAN,08 SEP 2000,SLO,1,,"Stadion Park Šiška, Ljubljana (SLO)",16 JUL 2020,1048
26,4:40.47,Isabella THORNTON-BOTT,14 MAR 1998,AUS,6f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1045
27,4:40.59,Anna GIBSON,,USA,1,,"Poston Butte HS, San Tan Valley, AZ (USA)",11 JUN 2020,1044
28,4:40.71,Lauren REID,21 JUL 1985,AUS,1,,"Kerryn McCann Athletic Centre, Wollongong (AUS)",11 JAN 2020,1043
29,4:40.94,Meredith RIZZO,07 FEB 1995,USA,1,,"Columbia International University, Columbia, SC (USA)",12 DEC 2020,1041
30,4:40.96,Martina TOZZI,01 FEB 1999,ITA,3,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1041
31,4:41.01,Miriam COSTA,06 DEC 1997,ESP,8,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1041
32,4:41.74,Madeleine MURRAY,19 OCT 1993,GBR,1f1,,"Rawlinson Track – Melbourne Uni, Melbourne (AUS)",18 FEB 2020,1036
33,4:41.79,Allie SCHADLER,07 JUL 1999,USA,2,,"Poston Butte HS, San Tan Valley, AZ (USA)",11 JUN 2020,1036
34,4:42.51,Abigail NORDBERG,26 NOV 1990,AUS,2,,"Kerryn McCann Athletic Centre, Wollongong (AUS)",11 JAN 2020,1031
34,4:42.51,Lenuta Petronela SIMIUC,27 SEP 1994,ROU,3,,"Poston Butte HS, San Tan Valley, AZ (USA)",11 JUN 2020,1031
36,4:42.53,Holly CAMPBELL,27 JUN 1997,AUS,7f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1030
37,4:43.03,Lucinda ROURKE,01 FEB 2004,AUS,2f1,,"Rawlinson Track – Melbourne Uni, Melbourne (AUS)",18 FEB 2020,1027
38,4:43.32,Ludovica CAVALLI,20 DEC 2000,ITA,4,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1025
39,4:43.68,Martyna GALANT,26 JAN 1995,POL,4,,"Stadion Manfort, Leverkusen (GER)",16 AUG 2020,1022
40,4:43.70,Jaylah HANCOCK-CAMERON,28 MAY 2002,AUS,8f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1022
41,4:43.74,Calli THACKERY,09 JAN 1993,GBR,3f1,,"Rawlinson Track – Melbourne Uni, Melbourne (AUS)",18 FEB 2020,1022
42,4:43.82,Antje PFÜLLER,15 JAN 2002,GER,5,,"Stadion Manfort, Leverkusen (GER)",16 AUG 2020,1021
43,4:44.24,Katherine CAMP,06 FEB 1992,NZL,1,,"Aorangi Stadium, Timaru (NZL)",11 JAN 2020,1019
44,4:44.79,Isabella THORNTON-BOTT,14 MAR 1998,AUS,3,,"Kerryn McCann Athletic Centre, Wollongong (AUS)",11 JAN 2020,1015
45,4:44.87,Louise SHANAHAN,26 JAN 1997,IRL,1,,"University of Stirling Track, Stirling (GBR)",18 SEP 2020,1014
46,4:44.93,Tabor SCHOLL,04 FEB 1997,USA,4,,"Poston Butte HS, San Tan Valley, AZ (USA)",11 JUN 2020,1014
47,4:45.25,Ruby SMEE,05 DEC 2000,AUS,1,,"Domain Athletic Centre, Hobart (AUS)",28 NOV 2020,1012
48,4:45.34,Tomoka KIMURA,12 NOV 1994,JPN,4f1,,"Rawlinson Track – Melbourne Uni, Melbourne (AUS)",18 FEB 2020,1011
49,4:45.36,Silvia OGGIONI,18 AUG 1995,ITA,5,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1011
50,4:45.63,Maggie MONTOYA,02 MAY 1995,USA,1,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,1009
51,4:45.98,Alice MAGNELL-MILLÁN,18 JUN 2005,SWE,1,,"Slottsskogsvallen, Göteborg (SWE)",25 JUL 2020,1007
52,4:46.57,María GONZÁLEZ,12 JAN 2001,ESP,9,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1003
53,4:46.66,Camille Eugenie CHENAUX,19 FEB 1991,ITA,10,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1002
54,4:47.29,Dominique SCOTT,24 JUN 1992,RSA,5,,"Colorado Mesa Univ., Grand Junction, CO (USA)",27 JUN 2020,998
55,4:48.05,Brooke RAUBER,12 JUL 2002,USA,1f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,992
56,4:48.15,Julia NIELSEN,02 JUN 2001,SWE,2,,"Slottsskogsvallen, Göteborg (SWE)",25 JUL 2020,992
57,4:48.64,Elisa PALMERO,10 JUL 1999,ITA,6,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,988
58,4:48.77,Niamh BRIDSON-HUBBARD,19 JUL 1998,GBR,2,,"University of Stirling Track, Stirling (GBR)",18 SEP 2020,988
59,4:49.05,Carlee HANSEN,,USA,2f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,986
60,4:49.27,Lexy HALLADAY,23 JUL 2001,USA,3f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,984
61,4:49.42,Riley STEWART,,USA,4f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,983
62,4:49.61,Abigail VANDERKOOI,,USA,5f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,982
63,4:50.14,Katie JOHNSON,30 APR 2005,GBR,3,,"University of Stirling Track, Stirling (GBR)",18 SEP 2020,978
64,4:50.32,Ella BORSHEIM,,USA,6f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,977
65,4:50.38,Federica BALDINI,21 JUL 1998,ITA,7,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,977
65,4:50.38,Selamawit TEFERI,24 MAR 1994,ISR,1,,Tel Aviv (ISR),06 DEC 2020,977
67,4:50.64,Rosalía TÁRRAGA,03 NOV 1996,ESP,11,,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,975
68,4:50.77,Mia BARNETT,04 SEP 2003,USA,7f2,,"Poston Butte HS, San Tan Valley, AZ (USA)",12 JUN 2020,974
69,4:50.79,Sienna SCAHILL,08 JAN 2007,AUS,1f2,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,974
70,4:51.03,Gaia COLLI,01 APR 1999,ITA,8,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,972
71,4:51.33,Belinda MARTIN,27 JAN 1974,AUS,4,,"Kerryn McCann Athletic Centre, Wollongong (AUS)",11 JAN 2020,970
72,4:51.56,Ava PAREKH,,USA,1,,"Hope Academy, Chicago, IL (USA)",01 AUG 2020,969
73,4:51.70,Amy HARDING-DELOOZE,21 AUG 1998,AUS,2f2,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,968
74,4:51.80,Francesca BERTONI,29 DEC 1993,ITA,9,,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,967
