Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:19.89,Jessica HULL,22 OCT 1996,AUS,1,,"Jesuit High School Track, Portland, OR (USA)",02 JUL 2022,1193
2,4:21.10,Linden HALL,20 JUN 1991,AUS,1,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1184
3,4:21.89,Nikki HILTZ,23 OCT 1994,USA,1,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1178
4,4:23.52,Hanna KLEIN,06 APR 1993,GER,2,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1166
5,4:23.65,Eleanor FULTON,17 MAY 1993,USA,2,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1165
6,4:23.94,Winnie NANYONDO,23 AUG 1993,UGA,3,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1163
7,4:24.09,Taryn RAWLINGS,17 APR 1996,USA,4,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1162
8,4:24.95,Taryn RAWLINGS,17 APR 1996,USA,1,,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1156
9,4:25.29,Marta ZENONI,09 MAR 1999,ITA,5,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1153
10,4:25.72,Katie SNOWDEN,09 MAR 1994,GBR,6,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1150
11,4:26.04,Allie WILSON,31 MAR 1996,USA,2,,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1148
12,4:26.09,Elise VANDERELST,27 JAN 1998,BEL,7,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1147
13,4:26.77,Josette NORRIS,15 DEC 1995,USA,8,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1143
14,4:27.66,Elly HENES,13 OCT 1998,USA,3,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1136
15,4:27.81,Georgia GRIFFITH,05 DEC 1996,AUS,1,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1135
16,4:28.12,Elly HENES,13 OCT 1998,USA,3,,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1133
17,4:28.28,Sintayehu VISSA,29 JUL 1996,ITA,9,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1132
18,4:28.59,Hanna HERMANSSON,18 MAY 1989,SWE,10,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1129
19,4:28.82,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,11,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1128
20,4:28.93,Nikki HILTZ,23 OCT 1994,USA,1,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",20 AUG 2022,1127
21,4:28.97,Faith CHEROTICH,13 JUL 2004,KEN,12,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1127
22,4:29.03,Sarah HEALY,13 FEB 2001,IRL,2,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1126
22,4:29.03,Carina VILJOEN,15 APR 1997,RSA,4,,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1126
24,4:29.22,Marta GARCÍA,01 JAN 1998,ESP,13,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1125
25,4:29.52,Diana MEZULIÁNÍKOVÁ,10 APR 1992,CZE,14,,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1123
26,4:29.74,Federica DEL BUONO,12 DEC 1994,ITA,3,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1121
27,4:29.81,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,4,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1120
28,4:30.55,Kaela EDWARDS,08 DEC 1993,USA,2,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",20 AUG 2022,1115
29,4:30.67,Elizabeth BIRD,04 OCT 1994,GBR,1,,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1114
30,4:30.78,Amy-Eloise MARKOVC,05 AUG 1995,GBR,1f1,,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1113
31,4:31.24,Georgie HARTIGAN,01 MAR 1996,IRL,5,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1110
32,4:31.30,Eleanor FULTON,17 MAY 1993,USA,2,,"Jesuit High School Track, Portland, OR (USA)",02 JUL 2022,1110
33,4:31.47,Emily LIPARI,19 NOV 1992,USA,5,,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1108
34,4:31.50,Sarah HEALY,13 FEB 2001,IRL,2,,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1108
35,4:31.54,Molly SUGHROUE,02 SEP 1995,USA,2f1,,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1108
36,4:31.69,Carina VILJOEN,15 APR 1997,RSA,3,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",20 AUG 2022,1107
37,4:31.78,Gabrielle JENNINGS,15 SEP 1998,USA,4,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1106
38,4:31.83,Madeline STRANDEMO,12 JUL 1995,USA,3f1,,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1106
39,4:32.27,Katie CAMARENA,,USA,1f9,,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1103
40,4:32.33,Susan Lokayo EJORE,09 NOV 1995,KEN,1,,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1102
41,4:32.34,Anna GIBSON,,USA,2f9,,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1102
42,4:32.41,Addy TOWNSEND,14 DEC 1997,CAN,4f1,,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1102
43,4:32.56,Elizabeth BIRD,04 OCT 1994,GBR,3f9,,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1101
44,4:32.67,Lauren GREGORY,25 JUL 1999,USA,4f9,,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1100
45,4:32.69,Alexina TUEBEL,,USA,1f1,,"Lied Recreation Center, Ames, IA (USA)",12 FEB 2022,1100
46,4:32.70,Sintayehu VISSA,29 JUL 1996,ITA,1f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",22 JAN 2022,1100
47,4:32.72,Alex TEUBEL,16 JUN 1993,USA,2,,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1100
48,4:32.81,Christina ARAGON,17 JUN 1997,USA,5,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1099
49,4:33.19,Katie CAMARENA,,USA,6,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1096
50,4:33.24,Madison HEISTERMAN,2000,CAN,5f9,,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1096
51,4:33.41,Emily BROOKS-RICHARDS,21 JUL 1995,USA,7,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1095
52,4:33.42,Hannah NUTTALL,07 JUL 1997,GBR,3,,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1094
53,4:33.56,Taylor ROE,13 OCT 2000,USA,1,,"Lied Recreation Center, Ames, IA (USA)",26 FEB 2022,1093
54,4:33.59,Madie BOREMAN,10 JUL 1998,USA,1f3,,"Dempsey Indoor, Seattle, WA (USA)",26 FEB 2022,1093
55,4:33.66,Georgia BELL,17 OCT 1993,GBR,1,,"Tooting Bec Athletics Track, London (GBR)",24 AUG 2022,1093
56,4:33.67,Hanna HERMANSSON,18 MAY 1989,SWE,1f6,,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1093
57,4:33.74,Martina MERLO,19 FEB 1993,ITA,1f2,,"Arena Civica, Milano (ITA)",11 JUN 2022,1092
58,4:33.75,Olivia HOWELL,2001,USA,1f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1092
59,4:33.78,Olivia HOWELL,2001,USA,1,,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",26 FEB 2022,1092
60,4:33.86,Jennifer RANDALL,,USA,3,,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1091
61,4:33.97,Courtney WAYMENT,04 AUG 1998,USA,6f9,,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1091
62,4:34.26,Katie CAMARENA,,USA,2f6,,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1089
63,4:34.34,Sarah BILLINGS,07 MAR 1998,AUS,4,,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1088
64,4:34.39,Anna GIBSON,,USA,5,,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1088
64,4:34.39,Madeline STRANDEMO,12 JUL 1995,USA,8,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1088
66,4:34.40,Molly SUGHROUE,02 SEP 1995,USA,1f3,,"Lied Recreation Center, Ames, IA (USA)",12 FEB 2022,1088
