Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:37.63,,Yekaterina SHARMINA,06 AUG 1986,RUS,1,,Moskva (RUS) (i),12 JAN 2008,1160
2,2:38.24,,Mariya ZHURAVLYOVA,07 NOV 1986,RUS,2,,Moskva (RUS) (i),12 JAN 2008,1152
3,2:39.31,,Anastasiya FESENKO,17 JUN 1982,RUS,3,,Moskva (RUS) (i),12 JAN 2008,1138
4,2:39.55,,Yevgeniya ZINUROVA,16 NOV 1982,RUS,4,,Moskva (RUS) (i),12 JAN 2008,1135
5,2:40.98,,Tatyana POPOVA,05 JAN 1984,RUS,5,,Moskva (RUS) (i),12 JAN 2008,1118
6,2:41.30,,Anna ALMINOVA,17 JAN 1985,RUS,1f1,,Moskva (RUS) (i),27 DEC 2008,1114
7,2:41.39,,Irina MARACHEVA,24 SEP 1984,RUS,6,,Moskva (RUS) (i),12 JAN 2008,1112
8,2:42.33,,Margarita PLAKSINA,01 OCT 1977,RUS,7,,Moskva (RUS) (i),12 JAN 2008,1101
9,2:42.67,,Zhanna SMOLINA,19 JAN 1978,RUS,2,,Yekaterinburg (RUS) (i),17 FEB 2008,1097
10,2:42.88,,Lyubov PULYAYEVA,26 APR 1982,RUS,8,,Moskva (RUS) (i),12 JAN 2008,1094
11,2:43.40,,Yelena KOFANOVA,08 AUG 1988,RUS,2f1,,Moskva (RUS) (i),27 DEC 2008,1088
12,2:43.93,,Anna KHADIYEVA,19 JUN 1980,RUS,3,,Yekaterinburg (RUS) (i),17 FEB 2008,1081
13,2:44.22,,Irina DMITRIYEVA,11 FEB 1982,RUS,9,,Moskva (RUS) (i),12 JAN 2008,1077
14,2:44.99,,Anna LUCHKINA,13 JAN 1986,RUS,10,,Moskva (RUS) (i),12 JAN 2008,1068
15,2:45.70,,Oksana KOLESNIK,04 AUG 1988,RUS,1,,St. Petersburg (RUS) (i),20 DEC 2008,1059
16,2:45.71,,Darya YACHMENYOVA,09 SEP 1990,RUS,2,,St. Petersburg (RUS) (i),20 DEC 2008,1059
17,2:45.75,,Natalya POPKOVA,21 SEP 1988,RUS,11,,Moskva (RUS) (i),12 JAN 2008,1059
18,2:45.86,,Nadezhda VOROBYEVA,30 MAY 1977,RUS,4,,Yekaterinburg (RUS) (i),17 FEB 2008,1058
19,2:46.19,,Yekaterina ZAVYALOVA,01 MAR 1991,RUS,12,,Moskva (RUS) (i),12 JAN 2008,1054
20,2:46.34,,Trisha NICKOLEY,09 JAN 1986,USA,1,,"Lincoln, NE (USA) (i)",26 JAN 2008,1052
21,2:47.07,,Tasmin FANNING,27 AUG 1987,USA,1f1,,"Blacksburg, VA (USA) (i)",11 JAN 2008,1043
22,2:47.34,,Natalya IGNATOVA,06 MAY 1981,RUS,1,,Yekaterinburg (RUS) (i),07 JAN 2008,1040
23,2:47.90,,Elizabeth MALOY,10 AUG 1985,USA,2f1,,"Blacksburg, VA (USA) (i)",11 JAN 2008,1033
24,2:47.94,,Marie-Louise ASSELIN,01 DEC 1988,CAN,1,,"State College, PA (USA) (i)",26 JAN 2008,1032
25,2:47.95,,Miesha MARZELL-ARNOLD,12 APR 1975,USA,1,,"State College, PA (USA) (i)",12 JAN 2008,1032
