Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:33.75,Lucia STAFFORD,17 AUG 1998,CAN,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1209
2,2:34.53,Laura MUIR,09 MAY 1993,GBR,1,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1199
3,2:34.64,Danielle JONES,21 AUG 1996,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1198
4,2:35.03,Heather MACLEAN,31 AUG 1995,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1193
5,2:35.35,Claudia Mihaela BOBOCEA,11 JUN 1992,ROU,2,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1189
6,2:35.69,Sofia ENNAOUI,30 AUG 1995,POL,3,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1184
7,2:35.97,Ajee WILSON,08 MAY 1994,USA,1,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1181
8,2:36.31,Allie WILSON,31 MAR 1996,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1176
9,2:36.37,Sage HURTA-KLECKER,23 JUN 1998,USA,2,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1176
10,2:37.09,Elena BELLÒ,18 JAN 1997,ITA,4,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1167
11,2:37.46,Katie SNOWDEN,09 MAR 1994,GBR,5,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1162
12,2:37.48,Gemma FINCH,01 AUG 1997,GBR,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1162
13,2:37.85,Maureen KOSTER,03 JUL 1992,NED,6,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1157
14,2:38.95,Wilma NIELSEN,02 JUN 2001,SWE,3,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1143
15,2:39.20,Madeleine KELLY,28 DEC 1995,CAN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1140
16,2:39.31,Kristie SCHOFFIELD,05 APR 1999,USA,7,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1138
17,2:39.83,Sophia GORRIARAN,20 JUN 2005,USA,4,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1132
18,2:40.04,Jazz SHUKLA,24 AUG 1998,CAN,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1129
19,2:40.43,Petja KLOJČNIK,13 NOV 2004,SLO,8,,"Utilita Arena Birmingham, Birmingham (GBR)",25 FEB 2023,1124
20,2:40.94,Valery TOBIAS,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1118
21,2:41.10,Presley WEEMS,14 AUG 1997,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1116
22,2:41.93,Jessy LACOURSE,05 FEB 1997,CAN,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1106
23,2:41.98,Sadie Jane HICKSON,1998,CAN,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1105
24,2:42.52,Claudia SAUNDERS,19 MAY 1994,FRA,1,,"Ashenfelter Indoor Track, State College, PA (USA)",04 FEB 2023,1098
25,2:42.82,Charlene LIPSEY,16 JUL 1991,USA,5,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1095
26,2:43.27,Aleksandra PŁOCIŃSKA,05 OCT 1999,POL,1f1,,"Hala COS OPO, Spala (POL)",28 JAN 2023,1089
27,2:43.32,Jazz SHUKLA,24 AUG 1998,CAN,1f3,,"Dennis Fairall Fieldhouse, Windsor (CAN)",14 JAN 2023,1089
28,2:43.39,Nina WHITFORD,2000,CAN,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1088
29,2:43.83,Anna CONNOR,10 JAN 1986,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1082
30,2:43.85,Valery TOBIAS,,USA,1,,"Sports Performance Center, Lubbock, TX (USA)",25 FEB 2023,1082
31,2:44.30,Cameron ORMOND,25 JUN 2001,CAN,1f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1077
32,2:44.31,Sadie Jane HICKSON,1998,CAN,2f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1076
33,2:44.49,Sadie Jane HICKSON,1998,CAN,1,,"Field House, Saskatoon (CAN)",10 MAR 2023,1074
34,2:44.51,Ellie SHEA,06 SEP 2005,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1074
35,2:44.63,Anna CAMP BENNETT,1998,USA,6,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1072
36,2:44.84,Cameron ORMOND,25 JUN 2001,CAN,2f3,,"Dennis Fairall Fieldhouse, Windsor (CAN)",14 JAN 2023,1070
37,2:45.25,Emma DAGENAIS,1997,CAN,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",03 DEC 2022,1065
37,2:45.25,Sadie Jane HICKSON,1998,CAN,3f3,,"Dennis Fairall Fieldhouse, Windsor (CAN)",14 JAN 2023,1065
39,2:45.27,Gina MCNAMARA,05 DEC 1994,USA,7,,"Armory Track&Field Center, New York, NY (USA)",28 JAN 2023,1065
40,2:45.42,Cameron ORMOND,25 JUN 2001,CAN,2,,"Field House, Saskatoon (CAN)",10 MAR 2023,1063
41,2:45.55,Rachael WALTERS,24 APR 1996,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,1061
42,2:45.57,Emma DAGENAIS,1997,CAN,3,,"Field House, Saskatoon (CAN)",10 MAR 2023,1061
43,2:46.18,Valentina ROSAMILIA,27 JAN 2003,SUI,1f1,,"Halle End der Welt, Magglingen (SUI)",29 JAN 2023,1054
44,2:46.38,Aleksandra WIŚNIEWSKA,29 SEP 2004,POL,1f1,,"Arena, Toruń (POL)",29 JAN 2023,1051
45,2:46.50,Anya HIRSCHFIELD,,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,1050
46,2:46.58,Agate CAUNE,07 AUG 2004,LAT,1f3,,"Jāņa Daliņa Manēža, Valmiera (LAT)",20 JAN 2023,1049
47,2:46.60,Aníta HINRIKSDÓTTIR,13 JAN 1996,ISL,2f1,,"Halle End der Welt, Magglingen (SUI)",29 JAN 2023,1049
48,2:46.65,Olivia COOPER,2001,CAN,4,,"Field House, Saskatoon (CAN)",10 MAR 2023,1048
49,2:46.70,Sorcha SHIU,08 MAR 2005,CAN,1,,"Universiade Pavilion, Edmonton (CAN)",04 MAR 2023,1047
50,2:46.79,Erin TESCHUK,25 OCT 1994,CAN,1f1,,"Track and Field Centre, Toronto (CAN)",22 JAN 2023,1046
51,2:46.80,Halena RAHMAAN,,USA,2,,"Sports Performance Center, Lubbock, TX (USA)",25 FEB 2023,1046
52,2:46.87,Manon FAGE,28 MAY 1992,FRA,1f1,,"Coque Sport Center, Kirchberg, Luxembourg (LUX)",17 DEC 2022,1045
53,2:46.96,Mandeep SANGHA,2005,CAN,2,,"Universiade Pavilion, Edmonton (CAN)",04 MAR 2023,1044
54,2:47.00,Gabija GALVYDYTĖ,17 JAN 2000,LTU,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1044
55,2:47.04,Kassidy JOHNSON,,USA,1,,"Armory Track&Field Center, New York, NY (USA)",03 DEC 2022,1043
56,2:47.22,Martyna KRAWCZYŃSKA,21 NOV 2004,POL,1,,"Arena, Toruń (POL)",22 JAN 2023,1041
57,2:47.25,Elizabeth MARTELL,,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",03 DEC 2022,1041
58,2:47.26,Sivan AUERBACH,02 APR 2000,ISR,3,,"Sports Performance Center, Lubbock, TX (USA)",25 FEB 2023,1041
59,2:47.43,Rachel GEARING,18 DEC 1999,USA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA)",14 JAN 2023,1039
60,2:47.50,Alex O'NEILL,21 SEP 2000,IRL,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1038
61,2:47.55,Olivia COOPER,2001,CAN,1,,"Field House, Saskatoon (CAN)",24 FEB 2023,1037
62,2:47.63,Olivia COOPER,2001,CAN,1,,"Universiade Pavilion, Edmonton (CAN)",21 JAN 2023,1036
63,2:47.65,Aleeya HUTCHINS,2001,CAN,4f3,,"Dennis Fairall Fieldhouse, Windsor (CAN)",14 JAN 2023,1036
64,2:47.68,Jessy LACOURSE,05 FEB 1997,CAN,1f3,,"Tomlinson Fieldhouse, Montréal (CAN)",25 FEB 2023,1036
65,2:47.73,Avryl JOHNSON,05 SEP 1999,USA,4,,"Sports Performance Center, Lubbock, TX (USA)",25 FEB 2023,1035
66,2:47.80,Vera SJÖBERG,19 MAY 2001,SWE,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,1034
67,2:47.89,Zuzanna WIERNICKA,21 OCT 2006,POL,2f1,,"Hala COS OPO, Spala (POL)",28 JAN 2023,1033
68,2:47.90,Nina WHITFORD,2000,CAN,5,,"Field House, Saskatoon (CAN)",10 MAR 2023,1033
69,2:47.95,Mikenna VANDERHEYDEN,2000,CAN,5,,"Sports Performance Center, Lubbock, TX (USA)",25 FEB 2023,1032
70,2:48.05,Nina WHITFORD,2000,CAN,3f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1031
71,2:48.06,Halena RAHMAAN,,USA,1,,"Sports Performance Center, Lubbock, TX (USA)",17 FEB 2023,1031
72,2:48.07,Melissa ZAMMITTI,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1031
73,2:48.19,Isabella PIETRASIEWICZ,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,1029
74,2:48.21,Olga ONUFRIYENKO,08 MAR 1999,RUS,1,,"LFK CSKA, Moskva (RUS)",21 DEC 2022,1029
75,2:48.26,Hayley JACKSON,1999,USA,2f1,,"Ashenfelter Indoor Track, State College, PA (USA)",14 JAN 2023,1029
76,2:48.36,Anne Gine LØVNES,14 MAR 2003,NOR,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1027
77,2:48.43,Kaylie POLITZA,,USA,3f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1027
78,2:48.46,Julia AGOSTINELLI,2002,CAN,4f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1026
79,2:48.47,Star PRICE,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1026
79,2:48.47,Hayley JACKSON,1999,USA,1h2,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1026
79,2:48.47,Hayley JACKSON,1999,USA,6,,"Sports Performance Center, Lubbock, TX (USA)",25 FEB 2023,1026
82,2:48.52,Nicole BAUER,1993,CAN,1,,"Universiade Pavilion, Edmonton (CAN)",04 MAR 2023,1026
83,2:48.53,Avryl JOHNSON,05 SEP 1999,USA,2h2,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1025
84,2:48.59,Sydney SMITH,1997,CAN,1f1,,"Tomlinson Fieldhouse, Montréal (CAN)",27 JAN 2023,1025
85,2:48.65,Genevieve PAQUIN,17 JAN 1998,CAN,6,,"Field House, Saskatoon (CAN)",10 MAR 2023,1024
86,2:48.66,Isabel VAN CAMP,,USA,4f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1024
87,2:48.70,Avery PEARSON,24 MAR 2003,CAN,2,,"Field House, Saskatoon (CAN)",24 FEB 2023,1023
88,2:48.71,Sorcha SHIU,08 MAR 2005,CAN,2,,"Universiade Pavilion, Edmonton (CAN)",21 JAN 2023,1023
89,2:48.77,Valery TOBIAS,,USA,1h1,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1023
90,2:48.90,Madelyn HUSTON,1999,CAN,5f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1021
90,2:48.90,Addie COPPINGER,,USA,3h2,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1021
90,2:48.90,Genevieve PAQUIN,17 JAN 1998,CAN,2f3,,"Tomlinson Fieldhouse, Montréal (CAN)",25 FEB 2023,1021
93,2:48.91,Nicole BAUER,1993,CAN,2f1,,"Tomlinson Fieldhouse, Montréal (CAN)",27 JAN 2023,1021
94,2:48.98,Marie-Ève TURCOTTE,1996,CAN,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1020
94,2:48.98,Christine MANCINI,,USA,1,,"Mackal Fieldhouse, Kingston, RI (USA)",26 FEB 2023,1020
96,2:48.99,Lyubov DUBROVSKAYA,16 SEP 1997,RUS,2,,"LFK CSKA, Moskva (RUS)",21 DEC 2022,1020
96,2:48.99,Halena RAHMAAN,,USA,4h2,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1020
98,2:49.00,Sorcha SHIU,08 MAR 2005,CAN,1f1,,"Universiade Pavilion, Edmonton (CAN)",10 FEB 2023,1020
99,2:49.05,Avery PEARSON,24 MAR 2003,CAN,7,,"Field House, Saskatoon (CAN)",10 MAR 2023,1019
100,2:49.07,Sivan AUERBACH,02 APR 2000,ISR,2h1,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1019
101,2:49.08,Charlotte SINKE,2005,CAN,3,,"Universiade Pavilion, Edmonton (CAN)",04 MAR 2023,1019
102,2:49.13,Ellaney MATARESE,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,1018
103,2:49.14,Hallee KNELSEN,27 MAY 2003,CAN,6f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1018
104,2:49.18,Oksana KOTYKHOVA,12 DEC 1994,RUS,3,,"LFK CSKA, Moskva (RUS)",21 DEC 2022,1018
104,2:49.18,Stephanie MOSS,24 MAY 2002,GBR,5f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1018
106,2:49.23,Mikenna VANDERHEYDEN,2000,CAN,3h1,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1017
107,2:49.25,Yuliya POPOVA,03 MAY 2001,RUS,4,,"LFK CSKA, Moskva (RUS)",21 DEC 2022,1017
108,2:49.26,Lauren TUNNELL,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,1017
108,2:49.26,Hillary CLARK,2000,CAN,7f2,,"Dennis Fairall Fieldhouse, Windsor (CAN)",24 FEB 2023,1017
110,2:49.28,Anastasiya MIKHAYLOVSKAYA,22 MAR 2001,RUS,5,,"LFK CSKA, Moskva (RUS)",21 DEC 2022,1016
110,2:49.28,Carmie PRINSLOO,31 JAN 2002,RSA,6f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1016
112,2:49.33,Tessa HUNT,20 JUL 2000,NZL,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1016
113,2:49.38,Olimpia BREZA,14 FEB 2002,POL,2f1,,"Arena, Toruń (POL)",29 JAN 2023,1015
114,2:49.50,Yazmine WRIGHT,,USA,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1014
114,2:49.50,Oliwia BEŁCZEW,09 APR 2006,POL,3f1,,"Hala COS OPO, Spala (POL)",28 JAN 2023,1014
116,2:49.55,Amity EBARB,,USA,4h1,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1013
117,2:49.66,Anne Gine LØVNES,14 MAR 2003,NOR,5h1,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1012
118,2:49.67,Marie-Ève TURCOTTE,1996,CAN,3f1,,"Tomlinson Fieldhouse, Montréal (CAN)",27 JAN 2023,1012
119,2:49.73,Katarzyna NAPIÓRKOWSKA,12 SEP 2004,POL,1f1,,"Hala COS OPO, Spala (POL)",14 JAN 2023,1011
119,2:49.73,Nicole BAUER,1993,CAN,3,,"Universiade Pavilion, Edmonton (CAN)",21 JAN 2023,1011
121,2:49.74,Edita SKLENSKÁ,02 APR 1999,CZE,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1011
122,2:49.75,Mikenna VANDERHEYDEN,2000,CAN,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1011
122,2:49.75,Fiona VON FLÜE,19 FEB 2008,SUI,1,,"Halle End der Welt, Magglingen (SUI)",26 FEB 2023,1011
124,2:49.76,Amity EBARB,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1011
125,2:49.77,Jessy LACOURSE,05 FEB 1997,CAN,8,,"Field House, Saskatoon (CAN)",10 MAR 2023,1011
126,2:49.80,Sydney SMITH,1997,CAN,1,,"Newell Fieldhouse, Canton, NY (USA)",03 DEC 2022,1010
127,2:49.89,Hillary CLARK,2000,CAN,9,,"Field House, Saskatoon (CAN)",10 MAR 2023,1009
128,2:49.92,Camille BOUDREAU,2001,CAN,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1009
129,2:49.93,Ally RYAN,29 JUL 1999,USA,1,,"Anschutz Sports Pavillion, Lawrence, KS (USA)",03 DEC 2022,1009
130,2:49.97,Billah JEPKIRUI,,KEN,7f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1008
131,2:50.02,Kaylie POLITZA,,USA,6h1,,"Sports Performance Center, Lubbock, TX (USA)",24 FEB 2023,1008
132,2:50.13,Emily YOUNG,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,1006
133,2:50.18,Maja PERYT,07 MAY 2004,POL,2f1,,"Hala COS OPO, Spala (POL)",14 JAN 2023,1006
134,2:50.21,Julia AGOSTINELLI,2002,CAN,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1005
135,2:50.22,Julia AGOSTINELLI,2002,CAN,10,,"Field House, Saskatoon (CAN)",10 MAR 2023,1005
136,2:50.29,Maddie RUSSIN,,USA,1f2,,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA)",09 DEC 2022,1004
136,2:50.29,Nina WHITFORD,2000,CAN,5f3,,"Dennis Fairall Fieldhouse, Windsor (CAN)",14 JAN 2023,1004
138,2:50.50,Kate MCANDREW,,USA,1f1,,"Liberty Indoor Complex, Lynchburg, VA (USA)",11 FEB 2023,1002
139,2:50.53,Carley BIRRELL,2002,CAN,11,,"Field House, Saskatoon (CAN)",10 MAR 2023,1002
140,2:50.55,Camille BOUDREAU,2001,CAN,1f1,,"PEPS de l'Université Laval, Québec (CAN)",04 FEB 2023,1001
141,2:50.57,Melissa ZAMMITTI,,USA,1f1,,"The Track at New Balance, Boston, MA (USA)",10 DEC 2022,1001
142,2:50.62,Katharina PESENDORFER,11 OCT 1999,AUT,3f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 JAN 2023,1001
143,2:50.63,Mena SCATCHARD,28 JAN 2003,GBR,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1000
144,2:50.71,Tsion YARED,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,1000
145,2:50.72,Christina ESPOSITO,2001,CAN,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,999
146,2:50.73,Mariya PROKHORETS,24 NOV 1995,RUS,1,,"Samotesova Arena, Bryansk (RUS)",07 MAR 2023,999
147,2:50.75,Anastasiya MADYSHEVA,21 MAY 1998,RUS,2,,"Samotesova Arena, Bryansk (RUS)",07 MAR 2023,999
148,2:50.90,Kate MCANDREW,,USA,2,,"Mackal Fieldhouse, Kingston, RI (USA)",26 FEB 2023,997
149,2:51.00,Arden LA-ROSE,2003,CAN,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",04 FEB 2023,996
150,2:51.06,Jenna MCFADYEN,2002,CAN,2f1,,"Universiade Pavilion, Edmonton (CAN)",10 FEB 2023,995
151,2:51.19,Angeline CAAMANO,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 JAN 2023,994
152,2:51.25,Annie JACKSON,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",10 FEB 2023,993
153,2:51.26,Hillary CLARK,2000,CAN,6f3,,"Dennis Fairall Fieldhouse, Windsor (CAN)",14 JAN 2023,993
