Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:32.16,,Yuliya CHIZHENKO,30 AUG 1979,RUS,1,,Moskva (RUS) (i),25 JAN 2006,1230
2,2:32.40,,Yelena SOBOLEVA,03 OCT 1982,RUS,2,,Moskva (RUS) (i),25 JAN 2006,1227
3,2:32.91,,Yelena KANALES,07 FEB 1976,RUS,3,,Moskva (RUS) (i),25 JAN 2006,1220
4,2:35.67,,Tetyana PETLYUK,22 FEB 1982,UKR,4,,Moskva (RUS) (i),25 JAN 2006,1185
5,2:35.92,,Svetlana CHERKASOVA,20 MAY 1978,RUS,5,,Moskva (RUS) (i),25 JAN 2006,1181
6,2:36.76,,Olga KOMYAGINA,10 FEB 1974,RUS,1,,Liévin (FRA) (i),03 MAR 2006,1171
7,2:37.06,,Olesya SYREVA,25 NOV 1983,RUS,6,,Moskva (RUS) (i),25 JAN 2006,1167
8,2:37.42,,Irina VASHENTSEVA,30 SEP 1980,RUS,1,,Moskva (RUS) (i),12 JAN 2006,1162
9,2:38.50,,Anna ALMINOVA,17 JAN 1985,RUS,2,,Moskva (RUS) (i),12 JAN 2006,1149
10,2:38.77,,Irina KRAKOVIAK,16 NOV 1977,LTU,8,,Moskva (RUS) (i),25 JAN 2006,1145
11,2:38.93,,Mariya ZHURAVLYOVA,07 NOV 1986,RUS,9,,Moskva (RUS) (i),25 JAN 2006,1143
12,2:39.32,,Mayte MARTÍNEZ,17 MAY 1976,ESP,3,,Liévin (FRA) (i),03 MAR 2006,1138
13,2:39.42,,Svetlana KLYUKA,27 DEC 1978,RUS,10,,Moskva (RUS) (i),25 JAN 2006,1137
14,2:39.57,,Yekaterina VOLKOVA,16 FEB 1978,RUS,11,,Moskva (RUS) (i),25 JAN 2006,1135
14,2:39.57,,Lidia CHOJECKA,25 JAN 1977,POL,4,,Liévin (FRA) (i),03 MAR 2006,1135
16,2:39.70,,Nouria MÉRAH-BENIDA,19 OCT 1970,ALG,5,,Liévin (FRA) (i),03 MAR 2006,1134
17,2:39.81,,Liliya SHOBUKHOVA,13 NOV 1977,RUS,13,,Moskva (RUS) (i),25 JAN 2006,1132
18,2:40.05,,Zhanna SMOLINA,19 JAN 1978,RUS,3,,Yekaterinburg (RUS) (i),07 JAN 2006,1129
19,2:40.17,,Natalya KUTKINA,04 FEB 1977,RUS,5,,Yekaterinburg (RUS) (i),07 JAN 2006,1128
20,2:40.47,,Olesya CHUMAKOVA-MIKHEYEVA,23 JUL 1981,RUS,7,,Liévin (FRA) (i),03 MAR 2006,1124
21,2:42.02,,Daniela YORDANOVA,08 MAR 1976,BUL,1,,Sofia (BUL) (i),04 FEB 2006,1105
22,2:42.49,,Natalya ZORKOVA,15 JUN 1981,RUS,6,,Yekaterinburg (RUS) (i),07 JAN 2006,1099
23,2:42.76,,Natalya TSYGANOVA,07 FEB 1971,RUS,7,,Yekaterinburg (RUS) (i),07 JAN 2006,1095
24,2:44.01,,Anna YEMASHOVA,29 JAN 1983,RUS,5,,Moskva (RUS) (i),12 JAN 2006,1080
25,2:44.06,,Petra LOCHMANOVÁ,12 NOV 1980,CZE,1,,Praha (CZE) (i),24 JAN 2006,1079
26,2:44.07,,Diane CUMMINS,19 JAN 1974,CAN,1,,Winnipeg (CAN) (i),04 FEB 2006,1079
27,2:44.38,,Natalya GORELOVA,18 APR 1973,RUS,6,,Moskva (RUS) (i),12 JAN 2006,1076
28,2:45.59,,Karen HAREWOOD,19 AUG 1975,GBR,1,,Manchester (GBR) (i),07 JAN 2006,1061
29,2:45.70,,Sylwia EJDYS,15 JUL 1984,POL,1,,Spala (POL) (i),04 FEB 2006,1059
30,2:45.90,,Anne SHADLE,01 DEC 1982,USA,1,,"Lincoln, NE (USA) (i)",21 JAN 2006,1057
31,2:46.08,,Joanna KUS,04 JAN 1984,POL,2,,Spala (POL) (i),04 FEB 2006,1055
32,2:46.49,,Mariya SAVINOVA,13 AUG 1985,RUS,8,,Yekaterinburg (RUS) (i),07 JAN 2006,1050
33,2:46.78,,Anna HAZIOR,13 MAY 1983,POL,3,,Spala (POL) (i),04 FEB 2006,1046
34,2:46.95,,Hilary STELLINGWERFF,07 AUG 1981,CAN,1,,Toronto (CAN) (i),07 JAN 2006,1044
35,2:47.01,,Sascha SCOTT,25 SEP 1975,USA,1,,"Princeton, NJ (USA) (i)",18 FEB 2006,1044
36,2:47.08,,Frances KOONS,02 APR 1986,USA,1,,"New York, NY (USA) (i)",13 JAN 2006,1043
