Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:49.64,Natalya ARISTARKHOVA,31 OCT 1989,RUS,1,,Omsk (RUS),26 DEC 2015,1110
2,5:52.91,Alla KULYATINA,09 JUN 1990,RUS,2,,Omsk (RUS),26 DEC 2015,1092
3,5:55.66,Yekaterina SOKOLENKO,13 SEP 1992,RUS,3,,Omsk (RUS),26 DEC 2015,1077
4,5:57.38,Svetlana APLACHKINA,28 NOV 1992,RUS,,,Moskva (RUS),10 JAN 2016,1067
5,5:58.11,Yelena KOROBKINA,25 NOV 1990,RUS,1,,Yekaterinburg (RUS),07 JAN 2016,1063
6,5:59.40,Lyudmila LEBEDEVA,23 MAY 1990,RUS,2,,Yekaterinburg (RUS),07 JAN 2016,1056
7,6:00.67,Yuliya VASILYEVA,23 MAR 1987,RUS,3,,Yekaterinburg (RUS),07 JAN 2016,1050
8,6:02.23,Alla KULYATINA,09 JUN 1990,RUS,4,,Yekaterinburg (RUS),07 JAN 2016,1041
9,6:02.63,Rimma RODKO,04 NOV 1987,RUS,4,,Omsk (RUS),26 DEC 2015,1039
10,6:05.92,Viktoriya IVANOVA,21 NOV 1991,RUS,,,Moskva (RUS),10 JAN 2016,1022
11,6:06.55,Yekaterina SHKODRINA,14 MAY 1984,RUS,1,,Moskva (RUS),10 JAN 2016,1018
12,6:08.47,Gulshat GAYNETDINOVA,28 AUG 1992,RUS,5,,Yekaterinburg (RUS),07 JAN 2016,1008
13,6:09.45,Anna PETROVA,15 JUL 1994,RUS,6,,Yekaterinburg (RUS),07 JAN 2016,1003
14,6:15.21,Eliza MEGGER,29 AUG 1999,POL,1f1,,Spala (POL),14 FEB 2016,973
15,6:15.72,Svetlana SHESTAKOVA,30 APR 1992,RUS,2,,Moskva (RUS),10 JAN 2016,970
16,6:16.38,Anna BELOKOBYLSKAYA,10 OCT 1995,RUS,5,,Omsk (RUS),26 DEC 2015,967
17,6:19.40,Marina KOVALYOVA,19 AUG 1984,RUS,6,,Omsk (RUS),26 DEC 2015,952
18,6:20.40,Alina SERGEYEVA,15 SEP 1994,RUS,,,Moskva (RUS),10 JAN 2016,946
19,6:22.44,Eliza MEGGER,29 AUG 1999,POL,1,,Toruń (POL),16 JAN 2016,936
20,6:22.80,Ewelina GAWLAK,30 MAY 1994,POL,1,,Ostrava (CZE),30 JAN 2016,934
21,6:23.40,Eliza MEGGER,29 AUG 1999,POL,1,,Toruń (POL),30 JAN 2016,931
22,6:24.18,Cameron ORMOND,25 JUN 2001,CAN,1,,Toronto (CAN),23 JAN 2016,927
23,6:25.89,Nina TROSHKINA,27 JAN 1996,RUS,7,,Omsk (RUS),26 DEC 2015,919
24,6:28.58,Sylvie ŠTIGLEROVÁ,31 MAR 1999,CZE,2,,Ostrava (CZE),30 JAN 2016,905
