Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,44.82,,Tyrell RICHARD,04 AUG 1997,USA,1f2,,"Birmingham, AL (USA) (i)",09 MAR 2019,1255
2,45.03,,Kahmari MONTGOMERY,16 AUG 1997,USA,2f2,,"Birmingham, AL (USA) (i)",09 MAR 2019,1241
3,45.05,,Karsten WARHOLM,28 FEB 1996,NOR,1,,"Emirates Arena, Glasgow (GBR) (i)",02 MAR 2019,1239
4,45.16,,Wilbert LONDON,17 AUG 1997,USA,3f2,,"Birmingham, AL (USA) (i)",09 MAR 2019,1232
5,45.25,,Quincy HALL,31 JUL 1998,USA,4f2,,"Birmingham, AL (USA) (i)",09 MAR 2019,1225
6,45.26,,Bralon TAPLIN,08 MAY 1992,GRN,1f9,,"College Station, TX (USA) (i)",16 FEB 2019,1225
7,45.35,,Obi IGBOKWE,28 JAN 1997,USA,1f2,,"Clemson, SC (USA) (i)",08 FEB 2019,1218
8,45.38,,Jonathan JONES,06 FEB 1999,BAR,1f1,,"Lubbock, TX (USA) (i)",08 FEB 2019,1216
9,45.60,,Ashton HICKS,05 MAY 2000,USA,2f2,,"Lubbock, TX (USA) (i)",23 FEB 2019,1201
10,45.66,,Óscar HUSILLOS,18 JUL 1993,ESP,2,,"Emirates Arena, Glasgow (GBR) (i)",02 MAR 2019,1197
11,45.67,,Derrick MOKALENG,18 JUN 1997,RSA,2f1,,"Lubbock, TX (USA) (i)",08 FEB 2019,1196
12,45.68,,Devin DIXON,22 SEP 1997,USA,2f2,,"Clemson, SC (USA) (i)",08 FEB 2019,1196
13,45.82,,Bryce DEADMON,26 MAR 1997,USA,2f1,,"Lubbock, TX (USA) (i)",25 JAN 2019,1186
13,45.82,,Izaiah BROWN,01 JAN 1997,USA,1f3,,"Ann Arbor, MI (USA) (i)",23 FEB 2019,1186
15,46.04,,Jacory PATTERSON,02 FEB 2000,USA,1f2,,"Blacksburg, VA (USA) (i)",23 FEB 2019,1171
16,46.07,,Jhon Alejandro PERLAZA,26 AUG 1994,COL,2f1,,"Birmingham, AL (USA) (i)",09 MAR 2019,1169
16,46.07,,Benjamin Lobo VEDEL,23 SEP 1997,DEN,2f1,,"Birmingham, AL (USA) (i)",09 MAR 2019,1169
18,46.09,,Taj BURGESS,1999,USA,1f2,,"Boston, MA (USA) (i)",03 MAR 2019,1168
19,46.12,,Myles PRINGLE,05 SEP 1997,USA,1f1,,"University Park, PA (USA) (i)",26 JAN 2019,1166
20,46.13,,Luka JANEŽIČ,14 NOV 1995,SLO,1f1,,Wien (AUT) (i),26 JAN 2019,1165
20,46.13,,Tony VAN DIEPEN,17 APR 1996,NED,3,,"Emirates Arena, Glasgow (GBR) (i)",02 MAR 2019,1165
22,46.15,,Arinze CHANCE,20 JAN 1996,GUY,1f1,,"Columbia, SC (USA) (i)",18 JAN 2019,1164
23,46.17,,Trequan BARNES,,USA,2f1,,"University Park, PA (USA) (i)",26 JAN 2019,1162
24,46.19,,Pavel MASLÁK,21 FEB 1991,CZE,1f2,,"Arena, Toruń (POL) (i)",06 FEB 2019,1161
25,46.21,,Nathan STROTHER,06 SEP 1995,USA,1f1,,"Gallur, Madrid (ESP) (i)",08 FEB 2019,1160
26,46.25,,Karayme BARTLEY,10 SEP 1995,JAM,2f3,,"Ann Arbor, MI (USA) (i)",23 FEB 2019,1157
27,46.26,,Mikhail LITVIN,05 JAN 1996,KAZ,1,,Ust-Kamenogorsk (KAZ) (i),19 JAN 2019,1156
27,46.26,,Jan TESAŘ,26 MAR 1990,CZE,f2,,Praha (CZE) (i),02 FEB 2019,1156
27,46.26,,Cameron CHALMERS,06 FEB 1997,GBR,1,,Birmingham (GBR) (i),10 FEB 2019,1156
27,46.26,,Jamal WALTON,25 NOV 1998,CAY,1f8,,"College Station, TX (USA) (i)",16 FEB 2019,1156
31,46.31,,Tyreek MATHIS,1998,USA,3f1,,"Lubbock, TX (USA) (i)",08 FEB 2019,1153
32,46.36,,Mar'Yea HARRIS,24 NOV 1997,USA,3f3,,"Ann Arbor, MI (USA) (i)",23 FEB 2019,1150
33,46.37,,Owen SMITH,07 NOV 1994,GBR,2,,Birmingham (GBR) (i),10 FEB 2019,1149
34,46.39,,Howard FIELDS,25 JAN 1999,USA,2h3,,"Lubbock, TX (USA) (i)",22 FEB 2019,1148
35,46.44,,Champion ALLISON,05 NOV 1998,USA,2h2,,"Fayetteville, AR (USA) (i)",22 FEB 2019,1144
36,46.45,,Chantz SAWYERS,06 JUN 1999,JAM,1h7,,"Fayetteville, AR (USA) (i)",22 FEB 2019,1144
37,46.47,,Asa GUEVARA,20 DEC 1995,TTO,2f8,,"College Station, TX (USA) (i)",16 FEB 2019,1142
37,46.47,,Wellington VENTURA,10 JAN 2000,USA,2f2,,"Boston, MA (USA) (i)",03 MAR 2019,1142
39,46.49,,Winston GEORGE,19 MAY 1987,GUY,1f1,,"Boston, MA (USA) (i)",24 FEB 2019,1141
40,46.50,,Ilolo IZU,,USA,2h6,,"Fayetteville, AR (USA) (i)",22 FEB 2019,1140
41,46.52,,Rashard CLARK,04 NOV 1994,USA,1f1,,"Lubbock, TX (USA) (i)",01 FEB 2019,1139
42,46.53,,Willington WRIGHT,16 SEP 2000,USA,1f3,,"Boston, MA (USA) (i)",24 FEB 2019,1138
43,46.55,,Trevor STEWART,20 MAY 1997,USA,1f2,,"Fayetteville, AR (USA) (i)",08 FEB 2019,1137
43,46.55,,Justin ROBINSON,30 MAR 2002,USA,1f2,,"New York, NY (USA) (i)",10 MAR 2019,1137
45,46.57,,Matthew MOORER,16 FEB 2000,USA,1f1,,"Lubbock, TX (USA) (i)",23 FEB 2019,1136
46,46.59,,Michele TRICCA,26 APR 1993,ITA,1f1,,Magglingen (SUI) (i),26 JAN 2019,1134
46,46.59,,Warren HAZEL,11 FEB 1996,SKN,1f22,,"Columbia, SC (USA) (i)",01 FEB 2019,1134
48,46.61,,Umajesty Wesley WILLIAMS,13 APR 1999,USA,4f1,,"Lubbock, TX (USA) (i)",08 FEB 2019,1133
49,46.62,,Lucas BÚA,12 JAN 1994,ESP,2,,Antequera (ESP) (i),17 FEB 2019,1132
50,46.63,,Kyle COLLINS,04 SEP 1994,USA,1f1,,"Lubbock, TX (USA) (i)",18 JAN 2019,1132
50,46.63,,Vladimir ACETI,16 OCT 1998,ITA,2f1,,Magglingen (SUI) (i),26 JAN 2019,1132
50,46.63,,Vít MÜLLER,31 AUG 1996,CZE,1h4,,Ostrava (CZE) (i),16 FEB 2019,1132
53,46.64,,Hunter WOODHALL,17 FEB 1999,USA,1f4,,"Fayetteville, AR (USA) (i)",15 FEB 2019,1131
53,46.64,,Jaquez TORIAN,,USA,1f2,,"Birmingham, AL (USA) (i)",17 FEB 2019,1131
55,46.65,,Justin HAMILTON,04 MAR 1997,USA,2f22,,"Columbia, SC (USA) (i)",01 FEB 2019,1130
55,46.65,,Jermaine HOLT,1998,USA,1f1,,"Clemson, SC (USA) (i)",08 FEB 2019,1130
55,46.65,,Kenneth BEDNAREK,14 OCT 1998,USA,1f7,,"Storm Lake, IA (USA) (i)",16 FEB 2019,1130
