Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
44,46.09,,Steven MCELROY,13 APR 2003,USA,2f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 FEB 2024,1168
44,46.09,,Aleksandr MASYUTENKO,27 APR 1998,RUS,1,,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1168
46,46.10,,Takudzwa CHIYANGWA,02 MAY 2002,ZIM,1f1,,"Sports Performance Center, Lubbock, TX (USA) (i)",13 JAN 2024,1167
47,46.15,,Kyle GALE,11 JAN 2002,BAR,2f1,,"Ahearn Field House, Manhattan, KS (USA) (i)",02 FEB 2024,1164
47,46.15,,Zakithi NENE,02 APR 1998,RSA,2,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1164
49,46.18,,Jeremiah CURRY,07 JAN 2000,USA,3f6,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",03 FEB 2024,1162
50,46.19,,Demar FRANCIS,25 JAN 2001,JAM,1f5,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1161
50,46.19,,Jevon O'BRYANT,2001,USA,1h6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1161
52,46.20,,Johnnie BLOCKBURGER,12 JUL 2002,USA,1f6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 FEB 2024,1160
52,46.20,,Connor WASHINGTON,18 JAN 2003,USA,2f6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 FEB 2024,1160
54,46.21,,Dylan GIBSON,,USA,1f2,,"Convention Center, Albuquerque, NM (USA) (i)",10 FEB 2024,1160
54,46.21,,Vít MÜLLER,31 AUG 1996,CZE,2,,"Atletická hala, Ostrava (CZE) (i)",18 FEB 2024,1160
54,46.21,,Logan POPELKA,2003,USA,4f2,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2024,1160
57,46.22,,Berke AKÇAM,10 APR 2002,TUR,1,,"Ataköy Arena, Istanbul (TUR) (i)",18 FEB 2024,1159
58,46.23,,David SOMBE,24 APR 2000,FRA,1f1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1158
58,46.23,,Champion ALLISON,05 NOV 1998,USA,3,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1158
58,46.23,,Zyaire NURIDDIN,,USA,2f4,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1158
58,46.23,,Trey JACKSON,,USA,3h2,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1158
62,46.24,,Lionel SPITZ,12 JAN 2001,SUI,2f2,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1158
62,46.24,,Ilyas ÇANAKÇI,07 SEP 2001,TUR,2,,"Ataköy Arena, Istanbul (TUR) (i)",18 FEB 2024,1158
64,46.25,,Reheem HAYLES,09 MAR 2001,JAM,1h7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1157
65,46.27,,Samuel OGAZI,14 MAY 2006,NGR,1h4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1156
66,46.29,,Carl HICKS,30 AUG 2003,USA,2h5,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1154
67,46.30,,Dubem NWACHUKWU,08 FEB 2000,NGR,3f1,,"Sports Performance Center, Lubbock, TX (USA) (i)",20 JAN 2024,1154
67,46.30,,Jayden DAVIS,10 MAR 2005,USA,1f5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 FEB 2024,1154
67,46.30,,Tony VAN DIEPEN,17 APR 1996,NED,1,,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024,1154
70,46.31,,Christopher COATS,,USA,2,,"Convention Center, Albuquerque, NM (USA) (i)",24 FEB 2024,1153
71,46.32,,Eli HAZLETT,,USA,1f3,,"Convention Center, Albuquerque, NM (USA) (i)",10 FEB 2024,1152
72,46.33,,Trevor STEWART,20 MAY 1997,USA,4,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1152
73,46.34,,José FIGUEROA,14 SEP 2004,PUR,1f3,,"Convention Center, Albuquerque, NM (USA) (i)",03 FEB 2024,1151
73,46.34,,Michael ROTH,22 MAR 2002,CAN,2f3,,"Convention Center, Albuquerque, NM (USA) (i)",10 FEB 2024,1151
73,46.34,,Trevor BASSITT,26 FEB 1998,USA,3h3,,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1151
73,46.34,,British WILKERSON,,USA,2h6,,"The Track at New Balance, Boston, MA (USA) (i)",23 FEB 2024,1151
77,46.35,,Nathan METELLUS,,USA,1f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2024,1150
78,46.36,,Iñaki CAÑAL,30 SEP 1997,ESP,1f1,,"Track & Field complex QAZAQSTAN, Astana (KAZ) (i)",27 JAN 2024,1150
79,46.37,,Elián LARREGINA,20 FEB 2000,ARG,1,,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL) (i)",28 JAN 2024,1149
79,46.37,,Willington WRIGHT,16 SEP 2000,USA,2f2,,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1149
81,46.38,,Carl BENGTSTRÖM,13 JAN 2000,SWE,1f1,,"Bærum Idrettspark, Rud, Bærum (NOR) (i)",11 FEB 2024,1148
82,46.42,,Michal DESENSKÝ,01 MAR 1993,CZE,3,,"Atletická hala, Ostrava (CZE) (i)",18 FEB 2024,1146
83,46.43,,Justin BRAUN,13 FEB 2004,USA,3f8,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",20 JAN 2024,1145
83,46.43,,Josh TAYLOR,,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",10 FEB 2024,1145
85,46.45,,Grant BUCKMILLER,15 APR 2005,USA,1f1,,"The Podium, Spokane, WA (USA) (i)",27 JAN 2024,1144
85,46.45,,Solomon STRADER,22 DEC 2001,USA,3f1,,"Ahearn Field House, Manhattan, KS (USA) (i)",02 FEB 2024,1144
85,46.45,,Nikita LENCHIKOV,30 OCT 2002,RUS,2,,"Athletics Arena, St. Petersburg (RUS) (i)",10 FEB 2024,1144
88,46.46,,Will FLOYD,,USA,1f6,,"Convention Center, Albuquerque, NM (USA) (i)",10 FEB 2024,1143
89,46.49,,Yann SPILLMANN,15 JUL 2002,FRA,2f2,,"Halle Stéphane Diagana, Lyon (FRA) (i)",09 FEB 2024,1141
90,46.50,,Cheickna TRAORE,21 OCT 2000,CIV,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",13 JAN 2024,1140
90,46.50,,Ashton SCHWARTZMAN,18 JAN 2003,USA,1f13,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1140
90,46.50,,Tyrel PRENZ,15 SEP 2003,GER,2,,"Quarterback Immobilien Arena, Leipzig (GER) (i)",18 FEB 2024,1140
93,46.52,,TJ TOMLYANOVICH,,USA,2f13,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1139
94,46.54,,Karayme BARTLEY,10 SEP 1995,JAM,3f1,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1138
95,46.56,,Óscar HUSILLOS,18 JUL 1993,ESP,1,,"Pistas Expourense, Ourense (ESP) (i)",18 FEB 2024,1136
96,46.57,,Edoardo SCOTTI,09 MAY 2000,ITA,1,,"Palaindoor Ancona, Ancona (ITA) (i)",18 FEB 2024,1136
97,46.58,,David SEETE,22 MAR 2001,RSA,1f3,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1135
97,46.58,,Mason LOUIS,,USA,2f5,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1135
99,46.59,,Tibo DE SMET,28 MAY 1999,BEL,1f5,,"Topsporthal Vlaanderen, Gent (BEL) (i)",28 JAN 2024,1134
100,46.61,,Rok FERLAN,26 JUL 1997,SLO,4sf2,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1133
100,46.61,,Kai LIU,10 MAY 2006,CHN,2f2,,"Shandong Sports Training Center, Jinan (CHN) (i)",13 MAR 2024,1133
102,46.62,,Hasani BARR,2001,USA,2f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",26 JAN 2024,1132
103,46.63,,Christian PARKER,15 OCT 2004,USA,2f6,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1132
104,46.64,,Jereem RICHARDS,13 JAN 1994,TTO,4sf1,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1131
105,46.65,,George GARCIA,05 MAR 2004,USA,4f1,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1130
105,46.65,,William SPENCER,18 JUL 2001,USA,3f14,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1130
105,46.65,,Lee THOMPSON,05 MAR 1997,GBR,1sf1,,"Arena Birmingham, Birmingham (GBR) (i)",17 FEB 2024,1130
108,46.66,,Jaedyn CARPENTER,,USA,3f2,,"Convention Center, Albuquerque, NM (USA) (i)",10 FEB 2024,1130
108,46.66,,Terrence AGARD,16 APR 1990,NED,2,,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024,1130
110,46.67,,Oleksandr POHORILKO,16 APR 2000,UKR,3f1,,"Atletická hala, Ostrava (CZE) (i)",30 JAN 2024,1129
111,46.68,,Patrik ŠORM,21 NOV 1993,CZE,4f1,,"Atletická hala, Ostrava (CZE) (i)",30 JAN 2024,1128
112,46.69,,Maksim GAVRILYUK,02 JUN 2003,RUS,3,,"Athletics Arena, St. Petersburg (RUS) (i)",10 FEB 2024,1128
113,46.70,,Demarius SMITH,25 DEC 1998,USA,1f3,,"Sports Performance Center, Lubbock, TX (USA) (i)",20 JAN 2024,1127
113,46.70,,Richard JOHNSON,08 NOV 1999,USA,1f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,1127
113,46.70,,Brandon BATTLE,,USA,3f6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 FEB 2024,1127
116,46.71,,Charlie BARTHOLOMEW,04 MAY 2003,USA,1f2,,"Sports Performance Center, Lubbock, TX (USA) (i)",20 JAN 2024,1126
117,46.72,,Charles DEVANTAY,14 FEB 1998,SUI,1f1,,"Athletik Zentrum, St. Gallen (SUI) (i)",18 FEB 2024,1126
118,46.73,,Elijah MOSLEY,2002,USA,1f2,,"Convention Center, Albuquerque, NM (USA) (i)",03 FEB 2024,1125
119,46.74,,Ibrahim AYORINDE,12 JUL 2001,CAN,2f3,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",26 JAN 2024,1124
120,46.75,,Nikita RYBAK,22 JUL 2003,RUS,4,,"Athletics Arena, St. Petersburg (RUS) (i)",10 FEB 2024,1124
121,46.76,,George FRANKS,,USA,1f2,,"Armory Track&Field Center, New York, NY (USA) (i)",23 FEB 2024,1123
122,46.77,,Patrik DÖMÖTÖR,13 DEC 2000,SVK,f1,,"Atletická hala, Ostrava (CZE) (i)",11 FEB 2024,1122
123,46.78,,Marc KOCH,24 MAY 1994,GER,1f2,,"Hartwig-Gauder-Halle, Erfurt (GER) (i)",02 FEB 2024,1122
123,46.78,,Pavel MASLÁK,21 FEB 1991,CZE,4,,"Atletická hala, Ostrava (CZE) (i)",18 FEB 2024,1122
125,46.79,,Jonas PHIJFFERS,20 JUN 2003,NED,2h3,,"Omnisport, Apeldoorn (NED) (i)",17 FEB 2024,1121
125,46.79,,Lovro MESEC KOŠIR,11 AUG 1999,SLO,2f6,,"Olimpijski center, Novo Mesto (SLO) (i)",17 FEB 2024,1121
125,46.79,,Ben HIGGINS,14 NOV 2000,GBR,2,,"Arena Birmingham, Birmingham (GBR) (i)",18 FEB 2024,1121
128,46.80,,Anthony EAST,,USA,4h4,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1120
129,46.81,,Gustav Lundholm NIELSEN,03 AUG 1998,DEN,2f2,,"Stadium Miramas Métropole, Miramas (FRA) (i)",02 FEB 2024,1120
129,46.81,,Jamie OMALLA,05 OCT 2000,UGA,3h3,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1120
131,46.82,,Wilbert LONDON,17 AUG 1997,USA,3h1,,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1119
