Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:29.02,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1259
2,3:29.05,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1258
3,3:29.23,Jake WIGHTMAN,11 JUL 1994,GBR,1,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1256
4,3:29.47,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1252
5,3:29.90,Mohamed KATIR,17 FEB 1998,ESP,3,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1246
6,3:29.93,Abel KIPSANG,22 NOV 1996,KEN,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1246
7,3:30.12,Oliver HOARE,29 JAN 1997,AUS,1,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1243
8,3:30.18,Stewart MCSWEYN,01 JUN 1995,AUS,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1242
9,3:30.20,Mario GARCÍA,29 JUN 1999,ESP,4,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1242
10,3:30.21,Timothy CHERUIYOT,20 NOV 1995,KEN,2,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1242
11,3:30.27,Timothy CHERUIYOT,20 NOV 1995,KEN,2,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1241
12,3:30.53,Jake WIGHTMAN,11 JUL 1994,GBR,3,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1237
13,3:30.59,Oliver HOARE,29 JAN 1997,AUS,3,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1236
14,3:30.60,Josh KERR,08 OCT 1997,GBR,5,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1236
15,3:30.69,Timothy CHERUIYOT,20 NOV 1995,KEN,6,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1235
16,3:30.82,Abel KIPSANG,22 NOV 1996,KEN,4,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1233
17,3:31.01,Abel KIPSANG,22 NOV 1996,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1230
18,3:31.08,Jake HEYWARD,26 APR 1999,GBR,5,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1229
19,3:31.21,Abel KIPSANG,22 NOV 1996,KEN,7,,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1228
20,3:31.34,Samuel TANNER,24 AUG 2000,NZL,6,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1226
21,3:31.36,Abel KIPSANG,22 NOV 1996,KEN,4,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1225
22,3:31.45,Stewart MCSWEYN,01 JUN 1995,AUS,5,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1224
23,3:31.85,Josh KERR,08 OCT 1997,GBR,6,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1219
24,3:32.28,Josh KERR,08 OCT 1997,GBR,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1212
