Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:31.47,Timothy CHERUIYOT,20 NOV 1995,KEN,1,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1224
2,3:32.01,Reynold Kipkorir CHERUIYOT,30 JUL 2004,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1216
2,3:32.01,Reynold Kipkorir CHERUIYOT,30 JUL 2004,KEN,2,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1216
4,3:32.10,Robert FARKEN,20 SEP 1997,GER,1,,"Bungertstadion, Rehlingen (GER)",28 MAY 2023,1215
5,3:32.59,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1208
6,3:32.61,Hobbs KESSLER,15 MAR 2003,USA,3,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1208
7,3:32.70,Abel KIPSANG,22 NOV 1996,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1207
8,3:32.74,Cooper TEARE,18 AUG 1999,USA,4,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1206
9,3:32.90,Mafori Ryan MPHAHLELE,20 JUN 1998,RSA,1f3,,"Green Point Stadium, Cape Town (RSA)",17 APR 2023,1204
10,3:33.02,Tshepo TSHITE,15 JAN 1997,RSA,2f3,,"Green Point Stadium, Cape Town (RSA)",17 APR 2023,1202
10,3:33.02,Yared NUGUSE,01 JUN 1999,USA,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1202
12,3:33.16,Vincent Kibet KETER,11 MAR 2002,KEN,5,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1200
12,3:33.16,George MILLS,12 MAY 1999,GBR,2,,"Bungertstadion, Rehlingen (GER)",28 MAY 2023,1200
14,3:33.39,Oliver HOARE,29 JAN 1997,AUS,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1197
15,3:33.56,Pietro ARESE,08 OCT 1999,ITA,1,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1195
16,3:33.65,Reynold Kipkorir CHERUIYOT,30 JUL 2004,KEN,1,,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023,1193
17,3:33.87,Andrew COSCORAN,18 JUN 1996,IRL,2,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1190
18,3:33.90,Azeddine HABZ,19 JUL 1993,FRA,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1190
19,3:33.99,Kamar ETIANG,14 OCT 2002,KEN,1,,"Stade des Grands Pêchers, Montreuil (FRA)",31 MAY 2023,1189
20,3:34.00,Isaac NADER,17 AUG 1999,POR,1f1,,"Estadio Iberoamericano, Huelva (ESP)",06 JUN 2023,1188
21,3:34.06,Kyumbe MUNGUTI,28 FEB 1995,KEN,2f1,,"Estadio Iberoamericano, Huelva (ESP)",06 JUN 2023,1188
22,3:34.08,Jimmy GRESSIER,04 MAY 1997,FRA,2,,"Stade des Grands Pêchers, Montreuil (FRA)",31 MAY 2023,1187
23,3:34.12,Amon KEMBOI,,KEN,1,,"Mt. Hood Community College, Gresham, OR (USA)",04 JUN 2023,1187
24,3:34.14,Cole HOCKER,06 JUN 2001,USA,2,,"Mt. Hood Community College, Gresham, OR (USA)",04 JUN 2023,1186
25,3:34.35,John GREGOREK,07 DEC 1991,USA,3,,"Mt. Hood Community College, Gresham, OR (USA)",04 JUN 2023,1184
26,3:34.37,Pietro ARESE,08 OCT 1999,ITA,3,,"Stade des Grands Pêchers, Montreuil (FRA)",31 MAY 2023,1183
27,3:34.39,Amos BARTELSMEYER,25 JUL 1994,GER,4,,"Mt. Hood Community College, Gresham, OR (USA)",04 JUN 2023,1183
28,3:34.43,Matthew STONIER,24 SEP 2001,GBR,3,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1182
29,3:34.46,Abel KIPSANG,22 NOV 1996,KEN,5,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1182
30,3:34.53,Ismael DEBJANI,25 SEP 1990,BEL,4,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1181
31,3:34.59,Tshepo TSHITE,15 JAN 1997,RSA,5,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1180
32,3:34.63,Samuel PRAKEL,29 OCT 1994,USA,5,,"Mt. Hood Community College, Gresham, OR (USA)",04 JUN 2023,1180
33,3:34.69,Mario GARCÍA,29 JUN 1999,ESP,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1179
34,3:34.70,Narve Gilje NORDÅS,30 SEP 1998,NOR,1f1,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1179
34,3:34.70,Ossama MESLEK,08 JAN 1997,ITA,3,,"Bungertstadion, Rehlingen (GER)",28 MAY 2023,1179
36,3:34.71,Adisu GIRMA,10 DEC 1999,ETH,6,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1179
37,3:34.95,Matthew STONIER,24 SEP 2001,GBR,4,,"Bungertstadion, Rehlingen (GER)",28 MAY 2023,1175
