Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
47,7:45.28,,Garrett HEATH,03 NOV 1985,USA,,,"New York, NY (USA) (i)",11 FEB 2017,1168
48,7:45.69,,Matthew CENTROWITZ,18 OCT 1989,USA,,,"New York, NY (USA) (i)",11 FEB 2017,1165
49,7:45.71,,Colby GILBERT,17 MAR 1995,USA,1f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
50,7:46.06,,Dejen GEBREMESKEL,24 NOV 1989,ETH,6,,"Reggie Lewis Center, Boston, MA (USA) (i)",28 JAN 2017,1163
51,7:46.22,,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,2f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
52,7:46.72,,Tariq Ahmed AL AMRI,23 DEC 1990,KSA,9,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1135
53,7:46.85,,Edward CHESEREK,02 FEB 1994,KEN,1f2,,"New York, NY (USA) (i)",28 JAN 2017,1158
54,7:46.89,,Lucas BRUCHET,23 FEB 1991,CAN,3,,"Concord, MA (USA)",01 JUN 2017,1134
55,7:47.18,,Nathan BRANNEN,08 SEP 1982,CAN,3f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
56,7:47.42,,Donald CABRAL,12 DEC 1989,USA,4,,"Concord, MA (USA)",01 JUN 2017,1131
57,7:47.47,,Brandon DOUGHTY,14 MAY 1993,USA,5,,"Concord, MA (USA)",01 JUN 2017,1131
58,7:47.65,,Stewart MCSWEYN,01 JUN 1995,AUS,2,,"Paavo Nurmen Stadion, Turku (FIN)",13 JUN 2017,1129
59,7:47.66,,Dawit WOLDE,19 MAY 1991,ETH,2,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER) (i)",01 FEB 2017,1153
59,7:47.66,,Travis MAHONEY,25 JUL 1990,USA,6,,"Concord, MA (USA)",01 JUN 2017,1129
61,7:47.82,,Justyn KNIGHT,19 JUL 1996,CAN,2f1,,"Ames, IA (USA) (i)",10 FEB 2017,0
62,7:48.14,,Antonio ABADÍA,02 JUL 1990,ESP,14,,"Olympic Stadium, London (GBR)",09 JUL 2017,1126
63,7:48.39,,Hayle IBRAHIMOV,18 JAN 1990,AZE,3,,Metz (FRA) (i),12 FEB 2017,1149
64,7:48.64,,Craig LUTZ,07 NOV 1992,USA,7,,"Concord, MA (USA)",01 JUN 2017,1123
65,7:48.77,,Lopez LOMONG,01 JAN 1985,USA,2,,"New York, NY (USA)",06 JUL 2017,1123
66,7:48.79,,Riley MASTERS,05 APR 1990,USA,15,,"Olympic Stadium, London (GBR)",09 JUL 2017,1123
67,7:49.00,,Conseslus KIPRUTO,08 DEC 1994,KEN,12,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1121
68,7:49.12,,Graham CRAWFORD,29 DEC 1992,USA,3,,"New York, NY (USA)",06 JUL 2017,1121
69,7:49.17,,Edward Zakayo PINGUA,25 NOV 2001,KEN,2,,"Kasarani, Nairobi (KEN)",16 JUL 2017,1120
70,7:49.29,,Lee EMANUEL,24 JAN 1985,GBR,3f1,,"Winston Salem, NC (USA) (i)",03 FEB 2017,1143
71,7:49.39,,Kyle MERBER,19 NOV 1990,USA,2f2,,"New York, NY (USA) (i)",28 JAN 2017,1143
72,7:49.46,,Morgan PEARSON,22 SEP 1993,USA,1,,"New York, NY (USA) (i)",04 FEB 2017,1142
73,7:49.52,,Martin HEHIR,19 DEC 1992,USA,3f1,,"Ames, IA (USA) (i)",10 FEB 2017,0
