Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:27.72,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1254
2,7:28.28,,James Kwalia C'KURUI,12 JUN 1984,KEN,2,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1250
3,7:29.34,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,,Karlsruhe (GER) (i),15 FEB 2004,1270
4,7:30.62,,Boniface Kiprotich SONGOK,25 DEC 1980,KEN,3,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1235
5,7:30.77,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1260
6,7:34.67,,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,2,,Doha (QAT),14 MAY 2004,1210
7,7:34.71,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,,Liévin (FRA) (i),28 FEB 2004,1235
8,7:34.96,,Bernard LAGAT,12 DEC 1974,KEN,1,,Peania (GRE) (i),22 FEB 2004,1233
9,7:35.81,,Mushir Salim JAWHER,13 JUN 1978,BRN,4,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1202
10,7:36.66,,Luke KIPKOSGEI,27 NOV 1975,KEN,5,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1197
11,7:36.82,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,,Rieti (ITA),05 SEP 2004,1196
12,7:37.23,,John Kemboi KIBOWEN,21 APR 1969,KEN,3,,Doha (QAT),14 MAY 2004,1194
13,7:37.86,,Hicham BELLANI,15 SEP 1979,MAR,7,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1190
14,7:38.30,,Boaz CHEBOIYWO,02 AUG 1978,KEN,1,,"Fayetteville, AR (USA) (i)",14 FEB 2004,1212
15,7:38.43,,Abiyote ABATE,20 NOV 1980,ETH,2,,Karlsruhe (GER) (i),15 FEB 2004,1211
16,7:38.59,,Alistair Ian CRAGG,13 JUN 1980,IRL,2,,"Fayetteville, AR (USA) (i)",14 FEB 2004,1210
17,7:38.86,,Mark Kipkinyor BETT,22 DEC 1976,KEN,2,,Peania (GRE) (i),22 FEB 2004,1208
18,7:38.92,,Richard LIMO,18 NOV 1980,KEN,4,,Doha (QAT),14 MAY 2004,1183
19,7:39.40,,Paul Kipsiele KOECH,10 NOV 1981,KEN,5,,Doha (QAT),14 MAY 2004,1180
20,7:39.60,,Mulugeta WENDIMU,07 JAN 1985,ETH,3,,"Stade Louis II, Monaco (MON)",18 SEP 2004,1179
21,7:39.64,,José Manuel MARTÍNEZ,22 OCT 1971,ESP,2,,Madrid (ESP),17 JUL 2004,1179
22,7:39.96,,Paul BITOK,26 JUN 1970,KEN,1,,Zaragoza (ESP),08 JUN 2004,1177
23,7:40.17,,Daniel LINCOLN,22 OCT 1980,USA,3,,"Fayetteville, AR (USA) (i)",14 FEB 2004,1200
24,7:40.68,,Joseph KOSGEI,25 AUG 1974,KEN,2,,Zaragoza (ESP),08 JUN 2004,1172
25,7:41.01,,Serhiy LEBID,15 JUL 1975,UKR,3,,Peania (GRE) (i),22 FEB 2004,1195
26,7:41.06,,Markos GENETI,07 JUN 1984,ETH,2,,"Boston, MA (USA) (i)",31 JAN 2004,1195
27,7:41.18,,Sileshi SIHINE,29 JAN 1983,ETH,2,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1194
28,7:41.35,,David Biwott CHEMWENO,18 DEC 1981,KEN,3,,Zaragoza (ESP),08 JUN 2004,1168
29,7:41.78,,Moses MOSOP,07 JUL 1985,KEN,3,,Madrid (ESP),17 JUL 2004,1165
30,7:42.02,,Carles CASTILLEJO,18 AUG 1978,ESP,4,,Madrid (ESP),17 JUL 2004,1164
31,7:42.40,,Jesús ESPAÑA,21 AUG 1978,ESP,9,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1162
32,7:42.52,,Abraham CHEBII,23 DEC 1979,KEN,6,,Doha (QAT),14 MAY 2004,1161
33,7:42.84,,Monder RIZKI,16 AUG 1979,BEL,2,,Rehlingen (GER),31 MAY 2004,1159
34,7:42.96,,Craig MOTTRAM,18 JUN 1980,AUS,5,,Madrid (ESP),17 JUL 2004,1158
35,7:43.09,,Robert Sigei KIPNGETICH,03 JAN 1982,KEN,2,,Liévin (FRA) (i),28 FEB 2004,1182
36,7:43.28,,Elkanah Onkware ANGWENYI,05 FEB 1983,KEN,2,,"Gresham, OR (USA)",05 JUN 2004,1156
37,7:43.57,,Rui SILVA,03 AUG 1977,POR,2,,Stockholm (SWE) (i),12 FEB 2004,1179
38,7:43.6h,,Adil KAOUCH,01 JAN 1979,MAR,1,,Rabat (MAR),23 MAY 2004,1154
39,7:43.91,,Carlos GARCÍA,20 AUG 1975,ESP,6,,Madrid (ESP),17 JUL 2004,1152
40,7:44.00,,Abderrahim GOUMRI,21 MAY 1976,MAR,4,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1176
41,7:44.06,,Peter KAMAIS,07 NOV 1976,KEN,5,,Zaragoza (ESP),08 JUN 2004,1151
42,7:44.37,,Daham Najim BASHIR,08 NOV 1979,QAT,1,,Torino (ITA),04 JUN 2004,1149
43,7:44.43,,Ernest KIMELI,27 APR 1986,KEN,10,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1149
43,7:44.43,,Samir MOUSSAOUI,15 MAY 1975,ALG,5,,Rieti (ITA),05 SEP 2004,1149
45,7:44.46,,Kevin SULLIVAN,20 MAR 1974,CAN,3,,"Boston, MA (USA) (i)",31 JAN 2004,1173
46,7:44.70,,Manuel Ángel PEÑAS,09 NOV 1977,ESP,11,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1147
47,7:44.90,,Nick WILLIS,25 APR 1983,NZL,5,,"Boston, MA (USA) (i)",31 JAN 2004,1170
48,7:44.93,,Abdelhalim ZAHRAOUI,18 FEB 1983,MAR,1,,Algiers (ALG),24 JUN 2004,1146
49,7:44.96,,Martin KEINO,20 JUN 1972,KEN,6,,"Boston, MA (USA) (i)",31 JAN 2004,1170
50,7:45.20,,James GETANDA,05 JUL 1983,KEN,3,,"Gresham, OR (USA)",05 JUN 2004,1144
51,7:45.23,,Tariku BEKELE,28 FEB 1987,ETH,2,,Torino (ITA),04 JUN 2004,1144
52,7:45.72,,Matthew LANE,05 SEP 1977,USA,8,,"Boston, MA (USA) (i)",31 JAN 2004,1165
53,7:45.86,,Frederick CHERUIYOT,20 SEP 1970,KEN,3,,Rehlingen (GER),31 MAY 2004,1140
54,7:45.89,,Abdelhak ZAKARIA,20 JUL 1974,BRN,8,,Madrid (ESP),17 JUL 2004,1140
