Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:25.82,,Selemon BAREGA,20 JAN 2000,ETH,1,,"Arena, Toruń (POL) (i)",06 FEB 2024,1293
2,7:26.73,,Getnet WALE,16 JUL 2000,ETH,2,,"Arena, Toruń (POL) (i)",06 FEB 2024,1287
3,7:29.09,,Lamecha GIRMA,26 NOV 2000,ETH,1,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1271
4,7:30.14,,Josh KERR,08 OCT 1997,GBR,,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1264
5,7:30.88,,Grant FISHER,22 APR 1997,USA,,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1260
6,7:33.04,,Biniam MEHARY,20 DEC 2006,ETH,2,,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1246
7,7:33.80,,Samuel TEFERA,23 OCT 1999,ETH,1,,"Track & Field complex QAZAQSTAN, Astana (KAZ) (i)",27 JAN 2024,1241
8,7:34.88,,Geordie BEAMISH,24 OCT 1996,NZL,,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1234
9,7:35.35,,Cole HOCKER,06 JUN 2001,USA,,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1231
10,7:37.41,,Parker WOLFE,27 JUL 2003,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,1218
11,7:38.35,,Jack ROWE,30 JAN 1996,GBR,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1212
12,7:38.41,,Yann SCHRUB,20 MAR 1996,FRA,1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1211
13,7:38.42,,Pietro ARESE,08 OCT 1999,ITA,2,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1211
14,7:38.99,,Amon KEMBOI,,KEN,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1208
15,7:39.11,,Anass ESSAYI,18 MAY 2001,MAR,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1207
16,7:39.32,,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,4,,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1206
17,7:39.38,,Edwin KURGAT,19 MAY 1996,KEN,2,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1205
18,7:39.70,,Morgan MCDONALD,23 APR 1996,AUS,,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1203
19,7:39.92,,Darragh MCELHINNEY,09 NOV 2000,IRL,3,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1202
20,7:40.09,,Brian FAY,09 NOV 1998,IRL,3,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1201
21,7:40.19,,Benjamin FLANAGAN,11 JAN 1995,CAN,4,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1200
22,7:40.36,,Andrew COSCORAN,18 JUN 1996,IRL,5,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1199
23,7:40.63,,Habtom SAMUEL,30 NOV 2003,ERI,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1197
24,7:40.81,,Mezgebu SIME,07 OCT 2005,ETH,5,,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1196
25,7:40.95,,Hugo HAY,28 MAR 1997,FRA,6,,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1195
26,7:41.01,,Nico YOUNG,27 JUL 2002,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1195
27,7:41.05,,Ahmed JAZIRI,16 DEC 1997,TUN,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1195
28,7:41.12,,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,6,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1194
29,7:41.28,,Narve Gilje NORDÅS,30 SEP 1998,NOR,1,,"Gallur, Madrid (ESP) (i)",23 FEB 2024,1193
30,7:41.59,,John HEYMANS,09 JAN 1998,BEL,7,,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1191
31,7:41.68,,Ian SHANKLIN,1998,USA,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1191
