Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:27.26,,Yenew ALAMIREW,27 MAY 1990,ETH,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1257
2,7:27.55,,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1255
3,7:27.66,,Eliud KIPCHOGE,05 NOV 1984,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1254
4,7:28.00,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,2,,"Schleyer Halle, Stuttgart (GER) (i)",05 FEB 2011,1278
5,7:30.15,,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1238
6,7:31.41,,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1230
7,7:31.83,,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,7,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1228
8,7:32.13,,Bernard LAGAT,12 DEC 1974,USA,1,,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011,1226
9,7:32.71,,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,3,,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011,1222
10,7:33.50,,Tariku BEKELE,28 FEB 1987,ETH,8,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1217
11,7:34.70,,Essa Ismail RASHED,14 DEC 1986,QAT,10,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1209
12,7:34.82,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,11,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1209
12,7:34.82,,John KIPKOECH,29 DEC 1991,KEN,12,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1209
14,7:35.37,,Dejen GEBREMESKEL,24 NOV 1989,ETH,1,,"Boston, MA (USA) (i)",05 FEB 2011,1231
15,7:35.57,,Lucas Kimeli ROTICH,16 APR 1990,KEN,13,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1204
16,7:35.66,,Albert ROP,17 JUL 1992,KEN,5,,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011,1203
17,7:35.81,,Mo FARAH,23 MAR 1983,GBR,2,,"Boston, MA (USA) (i)",05 FEB 2011,1228
18,7:36.84,,Yusuf Kibet BIWOTT,12 NOV 1986,KEN,14,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1196
19,7:37.23,,Hais WELDAY,24 OCT 1989,ERI,15,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1194
