Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:10.89,Aleksander WIĄCEK,02 JUL 2000,POL,1,,"Arena, Toruń (POL)",29 JAN 2023,1065
2,5:18.33,Janis RAZGALIS,26 MAY 1985,LAT,1f2,,"Jāņa Daliņa Manēža, Valmiera (LAT)",21 JAN 2023,993
3,5:24.30,Edgars ŠUMSKIS,03 APR 1988,LAT,2f2,,"Jāņa Daliņa Manēža, Valmiera (LAT)",21 JAN 2023,937
4,5:25.16,Wiktor KUJAWA,03 AUG 1993,POL,2,,"Arena, Toruń (POL)",29 JAN 2023,929
5,5:27.10,Lauris LAPSA,22 FEB 2002,LAT,3f2,,"Jāņa Daliņa Manēža, Valmiera (LAT)",21 JAN 2023,912
6,5:28.86,Szymon TWARDON,20 FEB 2004,POL,1,,"Arena, Toruń (POL)",14 JAN 2023,896
7,5:29.84,Kamil SZYMANIAK,20 JUL 1990,POL,1f1,,"Arena, Toruń (POL)",22 JAN 2023,887
8,5:29.96,Adam BAJORSKI,11 SEP 2004,POL,2f1,,"Arena, Toruń (POL)",22 JAN 2023,886
