Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:05.98,Aman KEDI,16 SEP 1994,ETH,1,,Val-de-Reuil (FRA),06 FEB 2017,1114
2,5:07.22,Andi NOOT,14 SEP 1993,EST,1,,"Ülikooli Spordihoone, Tartu (EST)",17 DEC 2016,1101
3,5:08.58,Mahiedine MEKHISSI,15 MAR 1985,FRA,2,,Val-de-Reuil (FRA),06 FEB 2017,1088
4,5:08.87,Abdelkarim BEN ZAHRA,27 OCT 1998,MAR,3,,Val-de-Reuil (FRA),06 FEB 2017,1085
5,5:08.92,Amine ZAHAF,13 MAY 1997,MAR,4,,Val-de-Reuil (FRA),06 FEB 2017,1084
6,5:12.86,Emanuel ROLIM,03 JAN 1993,POR,5,,Val-de-Reuil (FRA),06 FEB 2017,1046
7,5:13.90,Roman KWIATKOWSKI,19 MAY 1995,POL,1f1,,Spala (POL),28 JAN 2017,1035
8,5:15.38,Chala BEYO,18 JAN 1996,ETH,6,,Val-de-Reuil (FRA),06 FEB 2017,1021
9,5:18.64,Damian RUDNIK,29 APR 1995,POL,2f1,,Spala (POL),28 JAN 2017,990
10,5:20.39,Adam WŁODARCZYK,26 MAY 1997,POL,3f1,,Spala (POL),28 JAN 2017,974
11,5:21.06,Wojciech SOWIK,12 FEB 1996,POL,4f1,,Spala (POL),28 JAN 2017,967
12,5:21.71,Yuriy KLOPTSOV,22 DEC 1989,RUS,1,,Omsk (RUS),24 DEC 2016,961
13,5:21.93,Ildar NADYROV,22 APR 1994,RUS,2,,Omsk (RUS),24 DEC 2016,959
14,5:22.56,César LARROSA MOLES,28 APR 1997,ESP,1,,Zaragoza (ESP),17 DEC 2016,953
15,5:24.03,Artur YELIZBARYAN,19 MAY 1993,RUS,3,,Omsk (RUS),24 DEC 2016,940
16,5:24.82,Andrey DMITRIYEV,05 JUN 1990,RUS,4,,Omsk (RUS),24 DEC 2016,932
17,5:25.03,Vildan GADELSHIN,12 APR 1995,RUS,5,,Omsk (RUS),24 DEC 2016,931
18,5:25.09,Mateusz KACZOR,03 MAR 1997,POL,5f1,,Spala (POL),28 JAN 2017,930
19,5:25.51,Aleksey VIKULOV,14 APR 1995,RUS,6,,Omsk (RUS),24 DEC 2016,926
20,5:26.12,Oskar WOJTALIK,10 JAN 1993,POL,6f1,,Spala (POL),28 JAN 2017,921
21,5:26.70,Rafał POGORZELSKI,22 DEC 1999,POL,7f1,,Spala (POL),28 JAN 2017,915
22,5:28.26,Dawid MALINA,18 NOV 1991,POL,1f1,,Ostrava (CZE),01 FEB 2017,901
23,5:28.51,Janis RAZGALIS,26 MAY 1985,LAT,1,,Tallinn (EST),25 JAN 2017,899
24,5:28.70,Jozef PELIKÁN,29 JUL 1984,SVK,1,,Ostrava (CZE),17 JAN 2017,897
25,5:29.65,Wojciech SOWIK,12 FEB 1996,POL,1,,Łódź (POL),07 JAN 2017,889
