Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:13.29,Ilgizar SAFIULIN,09 DEC 1992,RUS,1,,Omsk (RUS),27 DEC 2014,1041
2,5:21.15,Igor MAKSIMOV,26 APR 1992,RUS,2,,Omsk (RUS),27 DEC 2014,966
3,5:23.57,Dawid KLAYBOR,26 JUN 1990,POL,1,,Toruń (POL),24 JAN 2015,944
4,5:23.83,Tadeusz ZBLEWSKI,15 MAY 1984,POL,2,,Toruń (POL),24 JAN 2015,942
5,5:24.15,Artur YELIZBARYAN,19 MAY 1993,RUS,3,,Omsk (RUS),27 DEC 2014,939
6,5:24.48,Szymon TOPOLNICKI,04 FEB 1994,POL,1f1,,Spala (POL),25 JAN 2015,936
7,5:26.14,Ildar NADYROV,22 APR 1994,RUS,4,,Omsk (RUS),27 DEC 2014,920
8,5:28.8h,Oleksandr BORYSYUK,09 DEC 1985,UKR,1,,Brest (BLR),10 JAN 2015,896
