Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:17.23,Uģis JOCIS,13 SEP 1993,LAT,1,,Kuldiga (LAT),30 NOV 2019,1003
2,5:18.25,Robin ROHLÉN,05 MAY 1990,SWE,1f1,,Umea (SWE),11 JAN 2020,994
3,5:20.84,Karsten MEIER,19 DEC 1991,GER,2f1,,Umea (SWE),11 JAN 2020,969
4,5:21.26,Pavel NEBYT,07 MAR 1996,BLR,1,,"Athletics Hall, Brest (BLR)",10 JAN 2020,965
5,5:24.26,Maxim RĂILEANU,04 OCT 1994,MDA,1,,"Manejul de atletism, Chisinau (MDA)",11 JAN 2020,938
6,5:28.0h,Klaudiusz WOJCIECHOWSKI,28 AUG 2001,POL,1f1,,"Arena, Toruń (POL)",18 JAN 2020,904
7,5:28.20,Siarhei LITOUCHYK,18 FEB 1988,BLR,2,,"Athletics Hall, Brest (BLR)",10 JAN 2020,902
8,5:29.29,Rafał POGORZELSKI,22 DEC 1999,POL,1f2,,"Arena, Toruń (POL)",18 JAN 2020,892
