Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,6:03.13,Delia SCLABAS,08 NOV 2000,SUI,1,,Regensdorf (SUI),18 AUG 2015,1012
2,6:03.31,Anna Emilie MØLLER,28 JUL 1997,DEN,1,,Alleröd (DEN),08 JUL 2015,1011
3,6:03.51,Line Kalstrup SCHULZ,18 JUL 1996,DEN,1,,Aalborg (DEN),17 JUN 2015,1010
4,6:06.59,Sophie SIGFSTEAD,2000,CAN,1f2,,Sainte-Therese (CAN),08 AUG 2015,994
5,6:11.70,Agnès MC TIGHE,01 SEP 2001,GBR,1,,Riehen (SUI),29 AUG 2015,968
6,6:13.68,Sophie SIGFSTEAD,2000,CAN,1,,Winnipeg (CAN),19 JUL 2015,958
7,6:19.14,Tamara MIĆEVIĆ,19 OCT 2000,SRB,1,,Užice (SRB),17 MAY 2015,930
