Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:47.67,Águeda MARQUÉS,19 MAR 1999,ESP,1,,Ibiza (ESP),07 MAY 2022,1095
2,5:49.32,Carla GALLARDO,09 FEB 1999,ESP,2,,Ibiza (ESP),07 MAY 2022,1086
3,5:50.39,Caster SEMENYA,07 JAN 1991,RSA,1,,"McArthur Stadium, Potchefstroom (RSA)",06 APR 2022,1080
4,5:52.46,Lucía RODRÍGUEZ,26 JUL 1998,ESP,3,,Ibiza (ESP),07 MAY 2022,1069
5,5:55.28,Eva DIETERICH,29 MAR 1999,GER,1,,"Moselstadion, Trier (GER)",09 SEP 2022,1054
6,6:05.44,Miku MURAOKA,22 NOV 2004,JPN,1,,"Athletic Stadium, Saku (JPN)",23 JUL 2022,1000
7,6:05.62,Federica CORTESI,13 AUG 1999,ITA,1,,"Campo Comunale, Brescia (ITA)",09 APR 2022,999
8,6:09.00,Gaia COLLI,01 APR 1999,ITA,2,,"Campo Comunale, Brescia (ITA)",09 APR 2022,982
9,6:09.36,Fiona VON FLÜE,19 FEB 2008,SUI,1,,"Grendelmatte, Riehen (SUI)",27 AUG 2022,980
10,6:13.27,Sofia BENFARES,30 JUL 2004,GER,2,,"Moselstadion, Trier (GER)",09 SEP 2022,960
11,6:14.08,Andrea ROMERO,20 APR 2000,ESP,4,,Ibiza (ESP),07 MAY 2022,956
12,6:14.75,Aoi YAMAGUCHI,13 SEP 2004,JPN,2,,"Athletic Stadium, Saku (JPN)",23 JUL 2022,952
13,6:18.38,Fuuka OTAGAKI,21 DEC 2004,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,934
14,6:19.07,Natsuki IZUKA,01 NOV 2004,JPN,2,,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,930
15,6:20.05,Majken SÖDERLUND LARSSON,26 JUN 2007,SWE,1f1,,"Ullevi Stadium, Göteborg (SWE)",19 JUN 2022,926
16,6:20.10,Majken SÖDERLUND LARSSON,26 JUN 2007,SWE,1,,"Friidrottsarena, Uppsala (SWE)",28 AUG 2022,925
17,6:20.46,Fanny SZALKAI,2008,SWE,2f1,,"Ullevi Stadium, Göteborg (SWE)",19 JUN 2022,923
18,6:20.75,Oda ROSLAND GJERSTAD,02 SEP 2007,NOR,3f1,,"Ullevi Stadium, Göteborg (SWE)",19 JUN 2022,922
19,6:22.04,Ayari SHIOZAKI,24 JAN 2006,JPN,3,,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,916
20,6:22.26,Marta Alexandra CHYLINSKI,01 OCT 1986,BEL,1,,"VITA Atletiek, Ninove (BEL)",07 SEP 2022,914
21,6:22.66,Laly PORENTRU,2007,FRA,1,,"Stade Adolphe Cheron, St-Maur (FRA)",18 MAY 2022,912
22,6:22.80,Tiziana ROSAMILIA,04 FEB 2008,SUI,2,,"Grendelmatte, Riehen (SUI)",27 AUG 2022,912
23,6:23.07,Viola PAOLETTI,29 JAN 2007,ITA,1f2,,"Giovanni Chiggiato Stadium, Caorle (ITA)",01 OCT 2022,910
24,6:23.23,Wakana HASHIMOTO,12 OCT 2006,JPN,1,,"Athletics Stadium, Tainai (JPN)",24 JUL 2022,910
25,6:23.37,Laura MAASIK,05 OCT 1993,EST,1,,"Kohila staadion, Kohila (EST)",18 MAY 2022,909
26,6:23.57,Mai KUBOTA,04 OCT 2003,JPN,3,,"Athletic Stadium, Saku (JPN)",23 JUL 2022,908
27,6:24.38,Nana NOGAMI,20 OCT 2005,JPN,1,,"Naruto Sports Park, Tokushima (JPN)",17 JUL 2022,904
28,6:24.53,Helin MEIER,20 APR 1992,EST,2,,"Kohila staadion, Kohila (EST)",18 MAY 2022,903
29,6:24.63,Johanna ARDEL,18 DEC 1996,EST,1,,"Tamme staadion, Tartu (EST)",13 JUL 2022,903
