Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:27.50,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1207
2,5:29.42,Genzebe DIBABA,08 FEB 1991,ETH,1,,Sollentuna (SWE),26 JUN 2014,1196
3,5:34.27,Senbere TEFERI,03 MAY 1995,ETH,2,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1169
4,5:39.96,Feyne GEMEDA,28 JUN 1992,ETH,3,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1137
5,5:41.98,Renata PLIŚ,05 FEB 1985,POL,4,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1126
6,5:42.71,Kristiina MÄKI,22 SEP 1991,CZE,5,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1122
7,5:46.70,Etagegne WOLDU,10 MAY 1996,ETH,6,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1100
8,5:46.78,Katarzyna BRONIATOWSKA,22 FEB 1990,POL,7,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1100
9,5:55.48,Sonja ROMAN,11 MAR 1979,SLO,2,,Sollentuna (SWE),26 JUN 2014,1053
10,5:55.62,Amela TERZIĆ,02 JAN 1993,SRB,8,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1052
11,6:14.15,Shona MCCULLOCH,08 MAY 1999,CAN,1,,Langley (CAN),16 AUG 2014,955
12,6:15.40,Sevanne GHAZARIAN,1999,CAN,2,,Langley (CAN),16 AUG 2014,949
13,6:16.12,Nataliya BATRAK,01 OCT 1988,UKR,3,,Sollentuna (SWE),26 JUN 2014,945
14,6:17.62,Sophie SIGFSTEAD,2000,CAN,3,,Langley (CAN),16 AUG 2014,938
15,6:18.80,Vilma JONSSON,15 MAR 1999,SWE,1,,Göteborg (SWE),29 JUN 2014,932
16,6:20.75,Camilla Elise OXNEVAD ZIESLER,09 MAY 2000,NOR,2,,Göteborg (SWE),29 JUN 2014,922
17,6:22.58,Laura BOTTINI,20 MAY 1991,ITA,1,,"Campo XXV Aprile, Milano (ITA)",24 APR 2014,913
18,6:24.49,Ingvild MYKING,18 NOV 1999,NOR,3,,Göteborg (SWE),29 JUN 2014,903
