Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:57.85,Federica CORTESI,13 AUG 1999,ITA,1,,"Centro Gabre Gabric, Brescia (ITA)",08 APR 2023,1040
2,5:59.39,Federica ZANNE,14 AUG 1997,ITA,2,,"Centro Gabre Gabric, Brescia (ITA)",08 APR 2023,1032
3,5:59.58,Matilde PRATI,14 MAY 2004,ITA,1,,"Stadio Quercia, Rovereto (ITA)",16 APR 2023,1031
4,6:04.49,Giulia ZANNE,14 AUG 1997,ITA,3,,"Centro Gabre Gabric, Brescia (ITA)",08 APR 2023,1005
5,6:14.67,Linda PALUMBO,12 FEB 1999,ITA,2,,"Stadio Quercia, Rovereto (ITA)",16 APR 2023,953
6,6:22.89,Nicole ACERBONI,22 NOV 2000,ITA,4,,"Centro Gabre Gabric, Brescia (ITA)",08 APR 2023,911
7,6:23.07,Riley INNES,2008,CAN,1,,"Dr. J.M. Denison Secondary School Track, Newmarket (CAN)",13 MAY 2023,910
8,6:25.10,Chiara SPAGNOLI,12 JAN 1996,ITA,5,,"Centro Gabre Gabric, Brescia (ITA)",08 APR 2023,900
9,6:32.71,Regina PIECHOWSKA,27 JAN 2003,POL,1,,"Stadion MKS, Lubawka (POL)",29 APR 2023,863
10,6:35.24,Martyna WYROŚLAK,05 SEP 2002,POL,1,,"Golęcin Stadion, Poznan (POL)",29 APR 2023,851
11,6:36.08,Sakina EL ADEL,1996,ITA,3,,"Stadio Quercia, Rovereto (ITA)",16 APR 2023,847
12,6:37.16,Julie BENTCHAKAL,14 AUG 1999,FRA,1,,"Stade Régional G. Hebert, Reims (FRA)",30 APR 2023,842
13,6:40.03,Julia MACHURA,27 MAY 2006,POL,2,,"Golęcin Stadion, Poznan (POL)",29 APR 2023,828
14,6:41.68,Kenya CUAHUTLE,,MEX,1,,"Estadio Palillo, Ciudad de México (MEX)",28 JAN 2023,820
15,6:42.41,Debora BERTAGNOLLI,2005,ITA,4,,"Stadio Quercia, Rovereto (ITA)",16 APR 2023,817
16,6:42.95,Margherita Candida ANELLI,01 MAR 2008,ITA,1f1,,"Arena Civica, Milano (ITA)",29 APR 2023,814
17,6:43.83,Pola KOWALEWSKA,08 SEP 2007,POL,3,,"Golęcin Stadion, Poznan (POL)",29 APR 2023,810
18,6:44.38,Isotta PAIOTTI,2008,ITA,2f1,,"Arena Civica, Milano (ITA)",29 APR 2023,808
19,6:44.95,Anna RONDELLI,2009,ITA,3f1,,"Arena Civica, Milano (ITA)",29 APR 2023,805
