Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:08.39,,Yuliya ZARIPOVA,26 APR 1986,RUS,1,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1223
2,9:08.57,,Milcah CHEMOS,24 FEB 1986,KEN,2,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1222
3,9:09.39,,Marta DOMÍNGUEZ,03 NOV 1975,ESP,1,,Barcelona (ESP),25 JUL 2009,1220
4,9:11.09,,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,3,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1216
5,9:12.50,,Jenny SIMPSON,23 AUG 1986,USA,4,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1212
6,9:12.52,,Habiba GHRIBI,09 APR 1984,TUN,5,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1212
7,9:13.16,,Ruth Bosibori NYANGAU,02 JAN 1988,KEN,6,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1211
8,9:14.62,,Gladys Jerotich KIPKEMOI,15 OCT 1986,KEN,7,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1207
9,9:18.54,,Antje MÖLDNER-SCHMIDT,13 JUN 1984,GER,8,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1197
10,9:19.91,,Sofia ASSEFA,14 NOV 1987,ETH,2,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1194
11,9:22.12,,Hanane OUHADDOU,01 JAN 1982,MAR,1,,Heusden-Zolder (BEL),18 JUL 2009,1188
12,9:22.15,,Yelena ORLOVA,30 MAY 1980,RUS,2,,Cheboksary (RUS),23 JUL 2009,1188
13,9:22.64,,Zemzem AHMED,27 DEC 1984,ETH,9,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1187
14,9:25.14,,Eva ARIAS,08 OCT 1980,ESP,5h1,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1181
15,9:25.25,,Jessica AUGUSTO,08 NOV 1981,POR,10,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1180
16,9:25.62,,Sophie DUARTE,31 JUL 1981,FRA,5,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1179
17,9:26.51,,Lydia Chebet ROTICH,08 AUG 1988,KEN,3,,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1177
18,9:26.85,,Anna WILLARD,31 MAR 1984,USA,1,,"Carson, CA (USA)",16 MAY 2009,1176
19,9:26.93,,Katarzyna KOWALSKA,07 APR 1985,POL,4h2,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1176
20,9:28.64,,Sara MOREIRA,17 OCT 1985,POR,6h2,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1172
21,9:28.84,,Türkan ÖZATA-ERIŞMIŞ,05 JAN 1984,TUR,1,,Istanbul (TUR),13 JUN 2009,1171
22,9:28.88,,Mekdes BEKELE,20 JAN 1987,ETH,3,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1171
23,9:29.52,,Korahubish ITAA,28 FEB 1992,ETH,1,,Huelva (ESP),10 JUN 2009,1170
24,9:33.11,,Lisa AGUILERA,30 NOV 1979,USA,7,,Thessaloniki (GRE),12 SEP 2009,1161
25,9:33.20,,Lyubov KHARLAMOVA,02 MAR 1981,RUS,3,,Cheboksary (RUS),23 JUL 2009,1161
26,9:33.33,,Cristina CASANDRA,01 FEB 1977,ROU,1,,Bucureşti (ROU),01 AUG 2009,1160
27,9:33.34,,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,4,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1160
28,9:33.49,,Elizabeth MUENI,28 DEC 1991,KEN,5,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1160
29,9:34.31,,Netsanet ACHAMO,14 DEC 1987,ETH,3,,"Crystal Palace, London (GBR)",25 JUL 2009,1158
30,9:34.39,,Ancuţa BOBOCEL,03 OCT 1987,ROU,7h1,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1158
31,9:34.66,,Helen CLITHEROE,02 JAN 1974,GBR,4,,"Crystal Palace, London (GBR)",25 JUL 2009,1157
32,9:35.30,,Lindsey OLSON-ANDERSON,23 MAY 1985,USA,1f1,,"Palo Alto, CA (USA)",02 MAY 2009,1155
33,9:35.89,,Halima HASSEN BERISO,10 NOV 1992,ETH,3,,Rehlingen (GER),01 JUN 2009,1154
34,9:36.01,,Asli CAKIR ALPTEKIN,20 AUG 1985,TUR,3,,Istanbul (TUR),13 JUN 2009,1154
35,9:36.63,,Oxana JURAVEL,23 FEB 1986,MDA,4h3,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1152
36,9:36.74,,Bridget FRANEK,08 NOV 1987,USA,3,,"Eugene, OR (USA)",28 JUN 2009,1152
37,9:37.09,,Élodie OLIVARÈS,22 MAY 1976,FRA,2,,Sotteville-lès-Rouen (FRA),05 JUL 2009,1151
38,9:37.97,,Silje FJÖRTOFT,23 JUN 1987,NOR,6,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1149
39,9:38.10,,Irene KOKKINARIOU,14 FEB 1981,GRE,4,,Istanbul (TUR),13 JUN 2009,1148
40,9:38.40,,Miranda BOONSTRA,29 AUG 1972,NED,1,,Nijmegen (NED),29 MAY 2009,1148
41,9:38.79,,Lívia TÓTH,07 JAN 1980,HUN,3,,Barcelona (ESP),25 JUL 2009,1147
42,9:38.88,,Ulrika FLODIN,09 FEB 1975,SWE,8h2,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1147
43,9:39.28,,Minori HAYAKARI,29 NOV 1972,JPN,9h1,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1146
44,9:39.38,,Nicole BUSH,04 APR 1986,USA,2f1,,"Palo Alto, CA (USA)",02 MAY 2009,1145
45,9:39.49,,Elena ROMAGNOLO,05 OCT 1982,ITA,1,,Pescara (ITA),23 MAY 2009,1145
46,9:40.83,,Lindsay ALLEN,30 JUN 1986,USA,3f1,,"Palo Alto, CA (USA)",02 MAY 2009,1142
47,9:40.98,,Mel LAWRENCE,29 AUG 1989,USA,3,,"Fayetteville, AR (USA)",12 JUN 2009,1141
48,9:41.22,,Sabine Letícia HEITLING,02 JUL 1987,BRA,5,,"Crystal Palace, London (GBR)",25 JUL 2009,1141
49,9:41.95,,María Teresa URBINA,20 MAR 1985,ESP,8,,Heusden-Zolder (BEL),18 JUL 2009,1139
50,9:42.05,,Natalya GORCHAKOVA,17 APR 1983,RUS,2,,Castellón (ESP),30 MAY 2009,1139
