Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
50,9:56.75,,Dobrinka SHALAMANOVA,01 MAY 1983,BUL,5h1,,"Steigerwaldstadion, Erfurt (GER)",14 JUL 2005,1103
51,9:56.78,,Andrea MAYR,15 OCT 1979,AUT,1,,Ulm (GER),12 JUN 2005,1103
52,9:56.88,,Irene LIMIKA,28 AUG 1979,KEN,7,,Doha (QAT),13 MAY 2005,1103
53,9:57.12,,Ancuţa BOBOCEL,03 OCT 1987,ROU,9,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1102
54,9:59.80,,Marina IVANOVA,19 JAN 1982,RUS,2,,Tula (RUS),14 JUN 2005,1096
55,9:59.82,,Cassie HUNT,06 MAR 1985,USA,2,,"Sacramento, CA (USA)",10 JUN 2005,1096
56,10:00.54,,Michelle BARRETO DA COSTA,23 JAN 1979,BRA,1,,São Paulo (BRA),17 JUN 2005,1094
57,10:01.09,,Agnes TSCHURTSCHENTHALER,12 JAN 1982,ITA,3,,Viareggio (ITA),27 JUL 2005,1092
58,10:01.49,,Sigrid VANDEN BEMPT,10 FEB 1981,BEL,1,,Vilvoorde (BEL),06 JUL 2005,1091
59,10:01.84,,Zenaide VIEIRA,25 JUN 1985,BRA,1,,Rio de Janeiro (BRA),18 NOV 2005,1091
60,10:01.89,,Fiona CROMBIE,15 AUG 1982,NZL,2,,Ninove (BEL),30 JUL 2005,1091
61,10:02.21,,Rena WILLIAMS-CHESSER,17 MAY 1983,USA,3,,"Sacramento, CA (USA)",10 JUN 2005,1090
62,10:02.41,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,1,,Gavá (ESP),12 JUN 2005,1089
63,10:02.43,,Kelly MACDONALD-STRONG,27 SEP 1978,USA,4,,"Walnut, CA (USA)",15 APR 2005,1089
64,10:02.64,,Marina IVANOVA,30 JUN 1983,RUS,6,,Tula (RUS),11 JUL 2005,1089
65,10:02.91,,Claudia COLITA,20 NOV 1976,ROU,2,,Bucureşti (ROU),03 JUL 2005,1088
66,10:03.33,,Daneja GRANDOVEC,02 JUL 1984,SLO,4,,Gävle (SWE),18 JUN 2005,1087
67,10:04.39,,Dawn CLEARY-CROMER,24 NOV 1979,USA,2,,"Waltham, MA (USA)",11 JUN 2005,1085
68,10:04.65,,Louise MORCH,02 MAY 1982,DEN,7,,"Stadion Juliska, Praha (CZE)",27 JUN 2005,1084
69,10:04.71,,Sabine Letícia HEITLING,02 JUL 1987,BRA,1,,Windsor (CAN),30 JUL 2005,1084
70,10:05.39,,Elizabeth WORT,24 SEP 1983,USA,4,,"Sacramento, CA (USA)",10 JUN 2005,1082
71,10:05.57,,Poļina JEĻIZAROVA,01 MAY 1989,LAT,1,,Tallinn (EST),18 JUN 2005,1082
72,10:05.76,,Elena ROMAGNOLO,05 OCT 1982,ITA,4,,Viareggio (ITA),27 JUL 2005,1081
73,10:05.84,,Helen HOFSTEDE,31 DEC 1980,NED,1,,Uden (NED),25 JUN 2005,1081
74,10:06.0h,,Chelang KIGEN,1982,KEN,3,,Nairobi (KEN),18 JUN 2005,1081
75,10:06.05,,Tebogo MASEHLA,06 OCT 1979,RSA,5,,Izmir (TUR),17 AUG 2005,1081
76,10:06.10,,Jane RUDKIN,15 MAY 1980,USA,7,,St. Paul (USA),21 MAY 2005,1080
77,10:06.12,,Emily PIDGEON,01 JUN 1989,GBR,1,,Bedford (GBR),03 JUL 2005,1080
78,10:06.26,,Fionnula BRITTON,24 SEP 1984,IRL,2,,Palafrugell (ESP),28 MAY 2005,1080
79,10:06.44,,Christin JOHANSSON,26 JAN 1978,SWE,1,,Sävedalen (SWE),05 JUN 2005,1080
80,10:06.45,,Dina MALHEIRO,11 OCT 1983,POR,2,,Lisboa (POR),23 JUL 2005,1080
81,10:06.88,,Delilah DICRESCENZO,09 FEB 1983,USA,1,,"Princeton, NJ (USA)",09 APR 2005,1079
82,10:06.91,,Tamara SANFABIO,14 MAR 1978,ESP,3,,Ninove (BEL),30 JUL 2005,1079
83,10:07.11,,Diana MARTÍN,01 APR 1981,ESP,2,,Mataró (ESP),14 JUL 2005,1078
84,10:07.14,,Shannon WOMMACK,09 APR 1983,USA,5,,"Sacramento, CA (USA)",10 JUN 2005,1078
85,10:07.16,,Irene PELAYO,16 FEB 1980,ESP,1,,Santander (ESP),22 JUN 2005,1078
86,10:07.31,,Barbora KUNCOVÁ,26 APR 1982,CZE,3h1,,"Sacramento, CA (USA)",08 JUN 2005,1078
87,10:07.51,,Natalie FLORENCE,25 DEC 1981,USA,6,,"Carson, CA (USA)",26 JUN 2005,1077
88,10:07.73,,Sophie DUARTE,31 JUL 1981,FRA,5,,Viareggio (ITA),27 JUL 2005,1077
89,10:07.90,,Elizabeth HALL,28 APR 1985,GBR,6h1,,"Steigerwaldstadion, Erfurt (GER)",14 JUL 2005,1076
90,10:08.45,,Agnieszka FULBISZEWSKA,09 MAR 1980,POL,4,,Warszawa (POL),12 JUN 2005,1075
91,10:08.59,,Maria PARDALOU,21 APR 1984,GRE,8,,"Stadio Luigi Ridolfi, Firenze (ITA)",17 JUN 2005,1074
92,10:08.70,,Cassie KING,28 MAR 1984,USA,6h2,,"Sacramento, CA (USA)",08 JUN 2005,1074
93,10:08.79,,Brianna DAHM,13 MAR 1982,USA,7,,"Sacramento, CA (USA)",10 JUN 2005,1074
94,10:09.78,,Mercy KOSGEI,10 OCT 1989,KEN,2,,Tunis (TUN),04 SEP 2005,1072
95,10:09.85,,Kristina VEGH,05 AUG 1983,USA,8h1,,"Sacramento, CA (USA)",08 JUN 2005,1071
96,10:10.38,,Sophie ROBIN,09 APR 1981,FRA,1,,Passac (FRA),08 MAY 2005,1070
97,10:10.5h,,Rael MURKOMEN,,KEN,4,,Nairobi (KEN),18 JUN 2005,1070
98,10:11.5h,,Beatrice CHEPCHUMBA,25 NOV 1983,KEN,4,,Nairobi (KEN),25 JUN 2005,1068
99,10:12.0h,,Ruth Bosibori NYANGAU,02 JAN 1988,KEN,5,,Nairobi (KEN),18 JUN 2005,1066
100,10:12.10,,Lucie MÜLLEROVÁ,04 OCT 1978,CZE,1,,Caslav (CZE),17 SEP 2005,1066
101,10:12.13,,Iwona LEWANDOWSKA,19 FEB 1985,POL,6,,Warszawa (POL),12 JUN 2005,1066
102,10:12.35,,Biljana JOVIĆ,02 MAR 1985,SCG,2,,Novi Sad (SRB),23 JUL 2005,1066
103,10:12.66,,María Teresa URBINA,20 MAR 1985,ESP,7h1,,"Steigerwaldstadion, Erfurt (GER)",14 JUL 2005,1065
104,10:13.00,,Yamilka GONZÁLEZ,23 JAN 1972,ESP,1,,Benidorm (ESP),25 JUN 2005,1064
105,10:13.21,,Kara JUNE,10 AUG 1982,USA,6,,"Palo Alto, CA (USA)",01 MAY 2005,1063
106,10:13.80,,Renee BAILLIE,25 DEC 1981,USA,7,,"Walnut, CA (USA)",15 APR 2005,1062
107,10:13.88,,Andrea PARKER,10 OCT 1982,USA,13h2,,"Sacramento, CA (USA)",08 JUN 2005,1062
108,10:13.92,,Aurélie CASADO,06 JUN 1980,FRA,3,,Angers (FRA),16 JUL 2005,1062
109,10:14.3h,,Evaline CHEBICHII,,KEN,6,,Nairobi (KEN),18 JUN 2005,1061
110,10:14.55,,Lisa ANTONELLI-PRATT,12 MAR 1982,USA,14h2,,"Sacramento, CA (USA)",08 JUN 2005,1060
111,10:14.64,,Yuliya MOCHALOVA,26 MAY 1987,RUS,3,,Tula (RUS),14 JUN 2005,1060
112,10:14.68,,Xenia KAZIMIROVA,17 SEP 1984,GRE,2,,Athina (GRE),10 JUN 2005,1060
113,10:14.81,,Hanne LYNGSTAD,05 DEC 1975,NOR,7,,Thessaloniki (GRE),17 JUL 2005,1060
114,10:14.90,,Galina YEGOROVA,05 AUG 1983,RUS,4,,Tula (RUS),14 JUN 2005,1059
115,10:14.96,,Susi LUTZ,26 MAR 1987,GER,3,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",24 JUL 2005,1059
116,10:15.15,,Yoanna PARUSHEVA,23 MAY 1982,BUL,1,,"Piscataway, NJ (USA)",08 MAY 2005,1059
