Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:16.51,,Alesia TURAVA,06 DEC 1979,BLR,1,,Gdansk (POL),27 JUL 2002,1202
2,9:22.29,,Justyna BĄK,01 AUG 1974,POL,1,,Milano (ITA),05 JUN 2002,1188
3,9:33.12,,Élodie OLIVARÈS,22 MAY 1976,FRA,2,,Heusden-Zolder (BEL),20 JUL 2002,1161
4,9:33.16,,Cristina CASANDRA,01 FEB 1977,ROU,1,,Bucureşti (ROU),27 JUL 2002,1161
5,9:38.31,,Melanie SCHULZ,27 AUG 1979,GER,1,,"Wattenscheid, Bochum (GER)",06 JUL 2002,1148
6,9:43.89,,Laurence DUQUENOY,29 SEP 1969,FRA,3,,Ostrava (CZE),12 JUN 2002,1134
7,9:45.94,,Michaela MANNOVÁ,11 JAN 1982,CZE,1,,"Baton Rouge, LA (USA)",01 JUN 2002,1129
8,9:46.84,,Irene LIMIKA,28 AUG 1979,KEN,4,,Ostrava (CZE),12 JUN 2002,1127
9,9:47.35,,Elizabeth JACKSON,27 OCT 1977,USA,1,,"Palo Alto, CA (USA)",23 JUN 2002,1126
10,9:47.87,,Anália ROSA,28 FEB 1976,POR,4,,Heusden-Zolder (BEL),20 JUL 2002,1124
11,9:49.49,,Ida NILSSON,08 FEB 1981,SWE,2,,Sevilla (ESP),22 JUN 2002,1121
12,9:51.16,,Carol HENRY,20 JUN 1982,CAN,3,,"Baton Rouge, LA (USA)",01 JUN 2002,1116
13,9:51.21,,Natalya CHEREPANOVA,09 MAR 1967,RUS,1,,Cheboksary (RUS),11 JUL 2002,1116
14,9:51.38,,Lívia TÓTH,07 JAN 1980,HUN,1,,Banská Bystrica (SVK),22 JUN 2002,1116
15,9:52.61,,Lisa KARNOPP-NYE,17 NOV 1968,USA,2,,"Palo Alto, CA (USA)",23 JUN 2002,1113
16,9:52.77,,Julia BUDNIAK,04 MAR 1981,POL,2,,Gdansk (POL),27 JUL 2002,1113
17,9:53.20,,Sigrid VANDEN BEMPT,10 FEB 1981,BEL,1,,Heverlee (BEL),18 MAY 2002,1112
18,9:56.07,,Mollie DEFRANCESCO,17 FEB 1980,USA,4,,"Baton Rouge, LA (USA)",01 JUN 2002,1105
19,9:56.92,,Melissa ROLLISON,13 APR 1983,AUS,1,,Brisbane (AUS),14 APR 2002,1103
20,9:57.17,,Yamina BOUCHAOUANTE,31 JUL 1980,FRA,2,,St-Etienne (FRA),13 JUL 2002,1102
21,9:58.86,,Jana BIOLKOVÁ,18 MAY 1974,CZE,1,,Ostrava (CZE),21 JUL 2002,1098
22,9:58.9h,,Korene HINDS,18 JAN 1976,JAM,1,,"Walnut, CA (USA)",19 APR 2002,1098
23,9:58.97,,Briana SHOOK,06 JAN 1981,USA,1h,,"Baton Rouge, LA (USA)",30 MAY 2002,1098
24,9:59.66,,Lisa AGUILERA,30 NOV 1979,USA,3,,"Palo Alto, CA (USA)",23 JUN 2002,1096
25,9:59.77,,Alina CUCERZAN,28 JUL 1974,ROU,1,,Bucureşti (ROU),09 JUN 2002,1096
26,9:59.92,,Patrycja WŁODARCZYK,09 JUN 1980,POL,1,,Czestochowa (POL),07 SEP 2002,1095
27,10:01.00,,Katie SABINO,23 JAN 1979,USA,1,,"Charlottesville, VA (USA)",19 APR 2002,1093
28,10:01.53,,Yinglan JU,10 OCT 1984,CHN,1,,Tiantai (CHN),27 OCT 2002,1091
29,10:01.77,,Brianna DAHM,13 MAR 1982,USA,1,,"Louisville, KY (USA)",10 MAY 2002,1091
30,10:02.07,,Andrea ETTER,21 JAN 1975,SUI,3,,Hamburg (GER),12 JUN 2002,1090
30,10:02.07,,Chong ZHANG,16 MAR 1984,CHN,2,,Tiantai (CHN),27 OCT 2002,1090
32,10:02.28,,Céline RAJOT,22 MAR 1975,FRA,3,,Poitiers (FRA),05 JUN 2002,1090
33,10:02.42,,Galina YEGOROVA,05 AUG 1983,RUS,2,,Cheboksary (RUS),11 JUL 2002,1089
34,10:02.92,,Kelly MACDONALD-STRONG,27 SEP 1978,USA,1,,"Eugene, OR (USA)",11 MAY 2002,1088
35,10:02.95,,Clarisse CRUZ,09 JUL 1978,POR,5,,Milano (ITA),05 JUN 2002,1088
36,10:03.13,,Dawn CLEARY-CROMER,24 NOV 1979,USA,2,,"Charlottesville, VA (USA)",19 APR 2002,1088
37,10:03.16,,Analidia TORRE,10 OCT 1976,POR,6,,Milano (ITA),05 JUN 2002,1087
38,10:04.20,,Jennifer MICHEL,24 DEC 1977,USA,2,,"Eugene, OR (USA)",11 MAY 2002,1085
39,10:06.17,,Patricia GOOSSENS,1981,BEL,1,,Seraing (BEL),03 JUL 2002,1080
40,10:06.70,,Edyta LEWANDOWSKA,22 NOV 1980,POL,2,,Czestochowa (POL),07 SEP 2002,1079
41,10:07.12,,Zulema FUENTES-PILA,25 MAY 1977,ESP,4,,Sevilla (ESP),22 JUN 2002,1078
42,10:07.77,,2007-12-31 LAURA,07 APR 1980,USA,10h,,"Baton Rouge, LA (USA)",30 MAY 2002,1076
43,10:08.24,,Róisín MCGETTIGAN,23 AUG 1980,IRL,8,,"Baton Rouge, LA (USA)",01 JUN 2002,1075
44,10:08.81,,Svetlana IVANOVA,18 AUG 1983,RUS,3,,Cheboksary (RUS),11 JUL 2002,1074
45,10:09.29,,Margaret BUTLER,23 OCT 1978,CAN,2,,Montréal (CAN),09 JUL 2002,1073
46,10:09.53,,Victoria MITCHELL,25 APR 1982,AUS,1,,Melbourne (AUS),03 MAR 2002,1072
47,10:10.74,,Megan COOMBS,26 APR 1981,USA,3,,"Charlottesville, VA (USA)",20 APR 2002,1069
48,10:11.34,,Kara ORMOND,17 JUN 1977,USA,6,,"Palo Alto, CA (USA)",23 JUN 2002,1068
49,10:11.63,,Svetlana NOCHEVNAYA,1976,RUS,4,,Cheboksary (RUS),11 JUL 2002,1067
50,10:12.22,,Marget LARSON,13 SEP 1979,USA,11h,,"Baton Rouge, LA (USA)",30 MAY 2002,1066
51,10:12.35,,Daniela PETRESCU,13 APR 1968,ROU,7,,Milano (ITA),05 JUN 2002,1066
52,10:12.85,,Renee BAILLIE,25 DEC 1981,USA,4,,"Charlottesville, VA (USA)",20 APR 2002,1064
53,10:13.17,,Yamilka GONZÁLEZ,23 JAN 1972,ESP,1,,Valencia (ESP),27 JUL 2002,1064
54,10:13.31,,Melanie MATTHEWS,28 JUL 1981,USA,5,,"Charlottesville, VA (USA)",20 APR 2002,1063
