Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:58.81,,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,1,,"National Stadium, Beijing (CHN)",17 AUG 2008,1247
2,9:07.41,,Eunice JEPKORIR,17 FEB 1982,KEN,2,,"National Stadium, Beijing (CHN)",17 AUG 2008,1225
3,9:12.33,,Tatyana PETROVA,08 APR 1983,RUS,3,,"National Stadium, Beijing (CHN)",17 AUG 2008,1213
4,9:16.85,,Cristina CASANDRA,01 FEB 1977,ROU,4,,"National Stadium, Beijing (CHN)",17 AUG 2008,1201
5,9:17.35,,Ruth Bosibori NYANGAU,02 JAN 1988,KEN,5,,"National Stadium, Beijing (CHN)",17 AUG 2008,1200
6,9:17.85,,Zemzem AHMED,27 DEC 1984,ETH,6,,"National Stadium, Beijing (CHN)",17 AUG 2008,1199
7,9:18.24,,Yekaterina VOLKOVA,16 FEB 1978,RUS,2,,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1198
8,9:18.35,,Donna MACFARLANE,18 JUN 1977,AUS,3,,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1198
9,9:20.23,,Mekdes BEKELE,20 JAN 1987,ETH,2,,Huelva (ESP),13 JUN 2008,1193
10,9:21.76,,Marta DOMÍNGUEZ,03 NOV 1975,ESP,2,,Barcelona (ESP),19 JUL 2008,1189
10,9:21.76,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,7,,"National Stadium, Beijing (CHN)",17 AUG 2008,1189
12,9:22.26,,Jenny SIMPSON,23 AUG 1986,USA,8,,"National Stadium, Beijing (CHN)",17 AUG 2008,1188
13,9:22.50,,Jessica AUGUSTO,08 NOV 1981,POR,3,,Huelva (ESP),13 JUN 2008,1187
14,9:22.76,,Anna WILLARD,31 MAR 1984,USA,2,,Heusden-Zolder (BEL),20 JUL 2008,1187
15,9:24.04,,Yelena ORLOVA,30 MAY 1980,RUS,3,,Kazan (RUS),18 JUL 2008,1183
16,9:25.50,,Habiba GHRIBI,09 APR 1984,TUN,5h1,,"National Stadium, Beijing (CHN)",15 AUG 2008,1180
17,9:27.26,,Valentyna HORPYNYCH,12 MAR 1983,UKR,1,,Yalta (UKR),07 JUN 2008,1175
18,9:27.48,,Elena ROMAGNOLO,05 OCT 1982,ITA,4h3,,"National Stadium, Beijing (CHN)",15 AUG 2008,1175
19,9:28.92,,Róisín MCGETTIGAN,23 AUG 1980,IRL,2h2,,"National Stadium, Beijing (CHN)",15 AUG 2008,1171
20,9:29.14,,Helen CLITHEROE,02 JAN 1974,GBR,6h1,,"National Stadium, Beijing (CHN)",15 AUG 2008,1171
21,9:29.40,,Zulema FUENTES-PILA,25 MAY 1977,ESP,4h2,,"National Stadium, Beijing (CHN)",15 AUG 2008,1170
22,9:29.63,,Yanmei ZHU,16 OCT 1986,CHN,7h1,,"National Stadium, Beijing (CHN)",15 AUG 2008,1169
23,9:29.86,,Antje MÖLDNER-SCHMIDT,13 JUN 1984,GER,6h3,,"National Stadium, Beijing (CHN)",15 AUG 2008,1169
24,9:30.07,,Ancuţa BOBOCEL,03 OCT 1987,ROU,1,,Bucureşti (ROU),05 JUL 2008,1168
25,9:30.21,,Rasa MICHNIOVAITĖ-TROUP,01 MAR 1977,LTU,7h3,,"National Stadium, Beijing (CHN)",15 AUG 2008,1168
26,9:30.72,,Irene KOKKINARIOU,14 FEB 1981,GRE,5,,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1167
27,9:30.75,,Lindsey OLSON-ANDERSON,23 MAY 1985,USA,2,,"Eugene, OR (USA)",03 JUL 2008,1167
28,9:31.35,,Christine Kambua MUYANGA,21 MAR 1991,KEN,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUL 2008,1165
29,9:31.58,,Sofia ASSEFA,14 NOV 1987,ETH,9,,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1165
30,9:32.06,,Korene HINDS,18 JAN 1976,JAM,10,,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1163
31,9:33.93,,Minori HAYAKARI,29 NOV 1972,JPN,4,,Heusden-Zolder (BEL),20 JUL 2008,1159
32,9:34.30,,Sara MOREIRA,17 OCT 1985,POR,3,,Neerpelt (BEL),31 MAY 2008,1158
33,9:35.35,,Sophie DUARTE,31 JUL 1981,FRA,5,,Heusden-Zolder (BEL),20 JUL 2008,1155
34,9:35.54,,Veerle DEJAEGHERE,01 AUG 1973,BEL,4,,Neerpelt (BEL),31 MAY 2008,1155
35,9:35.81,,Netsanet ACHAMO,14 DEC 1987,ETH,12,,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1154
36,9:35.91,,Rosa María MORATÓ,19 JUN 1979,ESP,5,,Huelva (ESP),13 JUN 2008,1154
37,9:36.50,,Elizabeth MUENI,28 DEC 1991,KEN,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUL 2008,1152
38,9:37.08,,Barbara PARKER,08 NOV 1982,GBR,2,,"Indianapolis, IN (USA)",31 MAY 2008,1151
39,9:37.11,,Veronica WANJIRU,29 OCT 1989,KEN,5,,Neerpelt (BEL),31 MAY 2008,1151
40,9:37.81,,Korahubish ITAA,28 FEB 1992,ETH,3,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUL 2008,1149
41,9:37.88,,Svetlana IVANOVA,18 AUG 1983,RUS,1,,Bordeaux (FRA),04 JUL 2008,1149
42,9:38.28,,Sigrid VANDEN BEMPT,10 FEB 1981,BEL,7,,Neerpelt (BEL),31 MAY 2008,1148
43,9:38.44,,Halima HASSEN BERISO,10 NOV 1992,ETH,4,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUL 2008,1148
44,9:39.19,,Hatti DEAN,02 FEB 1982,GBR,10,,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1146
45,9:39.92,,Yelena ZADOROZHNAYA,03 DEC 1977,RUS,1,,Tula (RUS),06 JUL 2008,1144
46,9:40.27,,Nicole BUSH,04 APR 1986,USA,4,,"Eugene, OR (USA)",03 JUL 2008,1143
47,9:40.41,,Élodie OLIVARÈS,22 MAY 1976,FRA,2,,Bordeaux (FRA),04 JUL 2008,1143
48,9:41.60,,Yuan JIN,11 FEB 1988,CHN,3,,"Palo Alto, CA (USA)",04 MAY 2008,1140
49,9:41.68,,Mardrea HYMAN,22 DEC 1972,JAM,2,,Rio de Janeiro (BRA),18 MAY 2008,1140
49,9:41.68,,Delilah DICRESCENZO,09 FEB 1983,USA,3,,"Mangueirão, Belém (BRA)",25 MAY 2008,1140
51,9:42.10,,Zenaide VIEIRA,25 JUN 1985,BRA,3,,Rio de Janeiro (BRA),18 MAY 2008,1139
52,9:42.32,,Natalya GORCHAKOVA,17 APR 1983,RUS,4,,Kazan (RUS),18 JUL 2008,1138
53,9:42.72,,Julia HILLER,24 JUL 1987,GER,8,,Neerpelt (BEL),31 MAY 2008,1137
54,9:42.87,,Miranda BOONSTRA,29 AUG 1972,NED,9,,Neerpelt (BEL),31 MAY 2008,1137
55,9:42.99,,Mercy Wanjiku NJOROGE,10 JUN 1986,KEN,5,,"Crystal Palace, London (GBR)",25 JUL 2008,1136
56,9:43.01,,Lisa AGUILERA,30 NOV 1979,USA,5,,"Mangueirão, Belém (BRA)",25 MAY 2008,1136
57,9:43.21,,Victoria MITCHELL,25 APR 1982,AUS,3,,Sotteville-lès-Rouen (FRA),15 JUN 2008,1136
