Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:30.61,,Laura MUIR,09 MAY 1993,GBR,1,,"Emirates Arena, Glasgow (GBR) (i)",01 MAR 2019,1230
2,8:32.47,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1,,Leipzig (GER) (i),16 FEB 2019,1224
3,8:38.22,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,3,,"Emirates Arena, Glasgow (GBR) (i)",01 MAR 2019,1203
4,8:39.45,,Alina REH,23 MAY 1997,GER,4,,"Emirates Arena, Glasgow (GBR) (i)",01 MAR 2019,1199
5,8:43.76,,Alemaz SAMUEL,05 JUL 1999,ETH,1,,"Gallur, Madrid (ESP) (i)",08 FEB 2019,1184
6,8:44.68,,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,1,,"Rud, Bærum (NOR) (i)",10 FEB 2019,1181
7,8:45.97,,Alicia MONSON,13 MAY 1998,USA,1,,"New York, NY (USA) (i)",09 FEB 2019,1176
8,8:46.27,,Gudaf TSEGAY,23 JAN 1997,ETH,3,,"Messehalle, Karlsruhe (GER) (i)",02 FEB 2019,1175
9,8:46.44,,Rachel SCHNEIDER,18 JUL 1991,USA,2,,"New York, NY (USA) (i)",09 FEB 2019,1175
10,8:46.50,,Jessica O'CONNELL,10 FEB 1989,CAN,3,,"New York, NY (USA) (i)",09 FEB 2019,1174
11,8:46.60,,Aisha PRAUGHT LEER,14 DEC 1989,JAM,4,,"New York, NY (USA) (i)",09 FEB 2019,1174
12,8:47.59,,Claudia Mihaela BOBOCEA,11 JUN 1992,ROU,2,,"Gallur, Madrid (ESP) (i)",08 FEB 2019,1171
13,8:47.61,,Maureen KOSTER,03 JUL 1992,NED,5,,"Messehalle, Karlsruhe (GER) (i)",02 FEB 2019,1170
14,8:49.92,,Axumawit EMBAYE,18 OCT 1994,ETH,6,,"Messehalle, Karlsruhe (GER) (i)",02 FEB 2019,1162
15,8:50.57,,Hanna KLEIN,06 APR 1993,GER,7,,"Messehalle, Karlsruhe (GER) (i)",02 FEB 2019,1160
16,8:52.27,,Emma COBURN,19 OCT 1990,USA,5,,"New York, NY (USA) (i)",09 FEB 2019,1154
17,8:53.97,,Yolanda NGARAMBE,14 SEP 1991,SWE,1f1,,"Boston, MA (USA) (i)",08 FEB 2019,1148
18,8:53.98,,Tsigie GEBRESELAMA,30 SEP 2000,ETH,8,,"Messehalle, Karlsruhe (GER) (i)",02 FEB 2019,1148
18,8:53.98,,Weini KELATI FREZGHI,01 DEC 1996,ERI,6,,"New York, NY (USA) (i)",09 FEB 2019,1148
20,8:54.08,,Svetlana APLACHKINA,28 NOV 1992,RUS,1,,Moskva (RUS) (i),13 FEB 2019,1148
21,8:54.58,,Vanessa FRASER,27 JUL 1995,USA,2f1,,"Boston, MA (USA) (i)",08 FEB 2019,1146
22,8:54.92,,Rababe ARAFI,12 JAN 1991,MAR,1,,Eaubonne (FRA) (i),12 FEB 2019,1145
23,8:55.03,,Meskerem MAMO,13 APR 1999,ETH,3,,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1145
24,8:55.28,,Ejgayehu TAYE,10 FEB 2000,ETH,4,,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1144
25,8:56.04,,Luiza GEGA,05 NOV 1988,ALB,1,,Istanbul (TUR) (i),16 FEB 2019,1141
26,8:56.63,,Tigist KETEMA,15 SEP 1998,ETH,2,,Eaubonne (FRA) (i),12 FEB 2019,1139
27,8:56.68,,Amanda ECCLESTON,18 JUN 1990,USA,1,,"New York, NY (USA) (i)",26 JAN 2019,1139
28,8:56.87,,Heather KAMPF,19 JAN 1987,USA,2,,"New York, NY (USA) (i)",26 JAN 2019,1138
29,8:57.10,,Hawi FEYSA,01 FEB 1999,ETH,6,,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1138
30,8:57.19,,Eilish MCCOLGAN,25 NOV 1990,GBR,7,,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1137
31,8:57.30,,Ellinor PURRIER,20 FEB 1995,USA,7,,"New York, NY (USA) (i)",09 FEB 2019,1137
32,8:57.51,,Lauren PAQUETTE,27 JUN 1986,USA,8,,"New York, NY (USA) (i)",09 FEB 2019,1136
33,8:57.58,,Mel LAWRENCE,29 AUG 1989,USA,9,,"New York, NY (USA) (i)",09 FEB 2019,1136
34,8:58.28,,Julia VAN VELTHOVEN,12 MAR 1994,NED,1,,Apeldoorn (NED) (i),26 JAN 2019,1134
35,8:59.57,,Ophélie CLAUDE-BOXBERGER,18 OCT 1988,FRA,3,,Eaubonne (FRA) (i),12 FEB 2019,1129
36,8:59.86,,Amy-Eloise NEALE,05 AUG 1995,GBR,3,,Birmingham (GBR) (i),09 FEB 2019,1128
37,8:59.96,,Emily LIPARI,19 NOV 1992,USA,1,,"Winston Salem, NC (USA) (i)",02 FEB 2019,1128
38,9:00.57,,Celia ANTÓN,23 JAN 1997,ESP,8,,"Emirates Arena, Glasgow (GBR) (i)",01 MAR 2019,1126
39,9:00.86,,Riko MATSUZAKI,24 DEC 1992,JPN,3f1,,"Boston, MA (USA) (i)",08 FEB 2019,1125
40,9:01.14,,Jessica HULL,22 OCT 1996,AUS,1,,"Birmingham, AL (USA) (i)",09 MAR 2019,1124
41,9:01.32,,Margherita MAGNANI,26 FEB 1987,ITA,1,,Ancona (ITA) (i),17 FEB 2019,1123
42,9:01.75,,Taylor WERNER,01 MAY 1998,USA,2,,"Birmingham, AL (USA) (i)",09 MAR 2019,1122
43,9:01.76,,Sara SUTHERLAND,31 JAN 1992,USA,2,,"Winston Salem, NC (USA) (i)",02 FEB 2019,1122
